Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2019-06-13,1.72,2.21,Golden State Warriors,Toronto Raptors,110.0,114.0,-4.0,False
2019-06-10,1.98,1.88,Toronto Raptors,Golden State Warriors,105.0,106.0,-1.0,False
2019-06-07,1.47,2.82,Golden State Warriors,Toronto Raptors,92.0,105.0,-13.0,False
2019-06-05,1.67,2.29,Golden State Warriors,Toronto Raptors,109.0,123.0,-14.0,False
2019-06-02,1.75,2.16,Toronto Raptors,Golden State Warriors,104.0,109.0,-5.0,False
2019-05-30,1.79,2.1,Toronto Raptors,Golden State Warriors,118.0,109.0,9.0,True
2019-05-25,1.79,2.1,Toronto Raptors,Milwaukee Bucks,100.0,94.0,6.0,True
2019-05-23,1.31,3.69,Milwaukee Bucks,Toronto Raptors,99.0,105.0,-6.0,False
2019-05-21,2.31,1.66,Toronto Raptors,Milwaukee Bucks,120.0,102.0,18.0,True
2019-05-20,2.13,1.77,Portland Trail Blazers,Golden State Warriors,117.0,119.0,-2.0,False
2019-05-19,1.74,2.17,Toronto Raptors,Milwaukee Bucks,118.0,112.0,6.0,True
2019-05-18,1.7,2.24,Portland Trail Blazers,Golden State Warriors,99.0,110.0,-11.0,False
2019-05-17,1.39,3.18,Milwaukee Bucks,Toronto Raptors,125.0,103.0,22.0,True
2019-05-16,1.32,3.63,Golden State Warriors,Portland Trail Blazers,114.0,111.0,3.0,True
2019-05-15,1.35,3.4,Milwaukee Bucks,Toronto Raptors,108.0,100.0,8.0,True
2019-05-14,1.31,3.69,Golden State Warriors,Portland Trail Blazers,116.0,94.0,22.0,True
2019-05-12,1.4,3.13,Toronto Raptors,Philadelphia 76ers,92.0,90.0,2.0,True
2019-05-12,1.4,3.1,Denver Nuggets,Portland Trail Blazers,96.0,100.0,-4.0,False
2019-05-10,1.3,3.71,Houston Rockets,Golden State Warriors,113.0,118.0,-5.0,False
2019-05-09,1.57,2.51,Portland Trail Blazers,Denver Nuggets,119.0,108.0,11.0,True
2019-05-09,2.03,1.84,Philadelphia 76ers,Toronto Raptors,112.0,101.0,11.0,True
2019-05-08,1.39,3.14,Golden State Warriors,Houston Rockets,104.0,99.0,5.0,True
2019-05-08,1.25,4.18,Milwaukee Bucks,Boston Celtics,116.0,91.0,25.0,True
2019-05-07,1.47,2.81,Denver Nuggets,Portland Trail Blazers,124.0,98.0,26.0,True
2019-05-07,1.39,3.16,Toronto Raptors,Philadelphia 76ers,125.0,89.0,36.0,True
2019-05-06,1.92,1.93,Houston Rockets,Golden State Warriors,112.0,108.0,4.0,True
2019-05-06,1.88,1.98,Boston Celtics,Milwaukee Bucks,101.0,113.0,-12.0,False
2019-05-05,1.68,2.28,Portland Trail Blazers,Denver Nuggets,112.0,116.0,-4.0,False
2019-05-05,1.74,2.17,Philadelphia 76ers,Toronto Raptors,96.0,101.0,-5.0,False
2019-05-04,1.62,2.39,Houston Rockets,Golden State Warriors,126.0,121.0,5.0,True
