Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2009-06-14,1.59,2.44,Orlando Magic,Los Angeles Lakers,86.0,99.0,-13.0,False
2009-06-11,1.82,1.99,Orlando Magic,Los Angeles Lakers,91.0,99.0,-8.0,False
2009-06-09,1.49,2.71,Orlando Magic,Los Angeles Lakers,108.0,104.0,4.0,True
2009-06-07,1.29,3.71,Los Angeles Lakers,Orlando Magic,101.0,96.0,5.0,True
2009-06-04,1.34,3.4,Los Angeles Lakers,Orlando Magic,100.0,75.0,25.0,True
2009-05-30,1.74,2.15,Orlando Magic,Cleveland Cavaliers,103.0,90.0,13.0,True
2009-05-29,1.46,2.79,Denver Nuggets,Los Angeles Lakers,92.0,119.0,-27.0,False
2009-05-28,1.23,4.33,Cleveland Cavaliers,Orlando Magic,112.0,102.0,10.0,True
2009-05-27,1.37,3.2,Los Angeles Lakers,Denver Nuggets,103.0,94.0,9.0,True
2009-05-26,2.0,1.82,Orlando Magic,Cleveland Cavaliers,116.0,114.0,2.0,True
2009-05-25,1.49,2.69,Denver Nuggets,Los Angeles Lakers,120.0,101.0,19.0,True
2009-05-24,1.81,2.02,Orlando Magic,Cleveland Cavaliers,99.0,89.0,10.0,True
2009-05-23,1.6,2.41,Denver Nuggets,Los Angeles Lakers,97.0,103.0,-6.0,False
2009-05-22,1.15,5.92,Cleveland Cavaliers,Orlando Magic,96.0,95.0,1.0,True
2009-05-21,1.39,3.11,Los Angeles Lakers,Denver Nuggets,103.0,106.0,-3.0,False
2009-05-20,1.2,4.92,Cleveland Cavaliers,Orlando Magic,106.0,107.0,-1.0,False
2009-05-19,1.32,3.46,Los Angeles Lakers,Denver Nuggets,105.0,103.0,2.0,True
2009-05-17,1.67,2.27,Boston Celtics,Orlando Magic,82.0,101.0,-19.0,False
2009-05-17,1.07,9.4,Los Angeles Lakers,Houston Rockets,89.0,70.0,19.0,True
2009-05-14,4.85,1.21,Houston Rockets,Los Angeles Lakers,95.0,80.0,15.0,True
2009-05-14,1.31,3.61,Orlando Magic,Boston Celtics,83.0,75.0,8.0,True
2009-05-13,1.16,5.71,Denver Nuggets,Dallas Mavericks,124.0,110.0,14.0,True
2009-05-12,1.06,9.82,Los Angeles Lakers,Houston Rockets,118.0,78.0,40.0,True
2009-05-12,1.73,2.15,Boston Celtics,Orlando Magic,92.0,88.0,4.0,True
2009-05-11,1.69,2.23,Dallas Mavericks,Denver Nuggets,119.0,117.0,2.0,True
2009-05-11,5.63,1.15,Atlanta Hawks,Cleveland Cavaliers,74.0,84.0,-10.0,False
2009-05-10,1.44,2.9,Orlando Magic,Boston Celtics,94.0,95.0,-1.0,False
2009-05-10,4.22,1.26,Houston Rockets,Los Angeles Lakers,99.0,87.0,12.0,True
2009-05-09,4.75,1.22,Atlanta Hawks,Cleveland Cavaliers,82.0,97.0,-15.0,False
2009-05-09,1.59,2.46,Dallas Mavericks,Denver Nuggets,105.0,106.0,-1.0,False
2009-05-08,2.06,1.79,Houston Rockets,Los Angeles Lakers,94.0,108.0,-14.0,False
2009-05-08,1.48,2.69,Orlando Magic,Boston Celtics,117.0,96.0,21.0,True
2009-05-07,1.06,10.6,Cleveland Cavaliers,Atlanta Hawks,105.0,85.0,20.0,True
2009-05-06,1.12,6.96,Los Angeles Lakers,Houston Rockets,111.0,98.0,13.0,True
2009-05-06,1.51,2.67,Boston Celtics,Orlando Magic,112.0,94.0,18.0,True
2009-05-05,1.32,3.55,Denver Nuggets,Dallas Mavericks,117.0,105.0,12.0,True
2009-05-05,1.08,8.95,Cleveland Cavaliers,Atlanta Hawks,99.0,72.0,27.0,True
2009-05-04,1.2,5.02,Los Angeles Lakers,Houston Rockets,92.0,100.0,-8.0,False
2009-05-04,1.81,2.01,Boston Celtics,Orlando Magic,90.0,95.0,-5.0,False
2009-05-03,1.34,3.45,Denver Nuggets,Dallas Mavericks,109.0,95.0,14.0,True
2009-05-03,1.41,3.04,Atlanta Hawks,Miami Heat,91.0,78.0,13.0,True
2009-05-02,1.34,3.28,Boston Celtics,Chicago Bulls,109.0,99.0,10.0,True
2009-05-01,1.48,2.74,Miami Heat,Atlanta Hawks,98.0,72.0,26.0,True
