Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2021-07-20,1.55,2.6,Milwaukee Bucks,Phoenix Suns,105.0,98.0,7.0,True
2021-07-17,1.59,2.48,Phoenix Suns,Milwaukee Bucks,119.0,123.0,-4.0,False
2021-07-14,1.51,2.7,Milwaukee Bucks,Phoenix Suns,109.0,103.0,6.0,True
2021-07-11,1.51,2.69,Milwaukee Bucks,Phoenix Suns,120.0,100.0,20.0,True
2021-07-08,1.53,2.62,Phoenix Suns,Milwaukee Bucks,118.0,108.0,10.0,True
2021-07-06,1.51,2.71,Phoenix Suns,Milwaukee Bucks,118.0,105.0,13.0,True
2021-07-03,1.63,2.38,Atlanta Hawks,Milwaukee Bucks,107.0,118.0,-11.0,False
2021-07-01,1.54,2.61,Milwaukee Bucks,Atlanta Hawks,123.0,112.0,11.0,True
2021-06-30,1.98,1.88,Los Angeles Clippers,Phoenix Suns,103.0,130.0,-27.0,False
2021-06-29,4.22,1.26,Atlanta Hawks,Milwaukee Bucks,110.0,88.0,22.0,True
2021-06-28,1.36,3.34,Phoenix Suns,Los Angeles Clippers,102.0,116.0,-14.0,False
2021-06-27,2.66,1.53,Atlanta Hawks,Milwaukee Bucks,102.0,113.0,-11.0,False
2021-06-26,1.91,1.94,Los Angeles Clippers,Phoenix Suns,80.0,84.0,-4.0,False
2021-06-25,1.28,3.86,Milwaukee Bucks,Atlanta Hawks,125.0,91.0,34.0,True
2021-06-24,1.98,1.88,Los Angeles Clippers,Phoenix Suns,106.0,92.0,14.0,True
2021-06-23,1.28,3.87,Milwaukee Bucks,Atlanta Hawks,113.0,116.0,-3.0,False
2021-06-22,1.51,2.72,Phoenix Suns,Los Angeles Clippers,104.0,103.0,1.0,True
2021-06-20,1.37,3.3,Philadelphia 76ers,Atlanta Hawks,96.0,103.0,-7.0,False
2021-06-20,1.59,2.46,Phoenix Suns,Los Angeles Clippers,120.0,114.0,6.0,True
2021-06-19,1.78,2.13,Brooklyn Nets,Milwaukee Bucks,111.0,115.0,-4.0,False
2021-06-18,2.23,1.74,Los Angeles Clippers,Utah Jazz,131.0,119.0,12.0,True
2021-06-18,2.26,1.72,Atlanta Hawks,Philadelphia 76ers,99.0,104.0,-5.0,False
2021-06-17,1.52,2.66,Milwaukee Bucks,Brooklyn Nets,104.0,89.0,15.0,True
2021-06-16,1.27,4.07,Utah Jazz,Los Angeles Clippers,111.0,119.0,-8.0,False
2021-06-16,1.34,3.45,Philadelphia 76ers,Atlanta Hawks,106.0,109.0,-3.0,False
2021-06-15,2.03,1.85,Brooklyn Nets,Milwaukee Bucks,114.0,108.0,6.0,True
2021-06-14,1.48,2.8,Los Angeles Clippers,Utah Jazz,118.0,104.0,14.0,True
2021-06-14,2.22,1.71,Atlanta Hawks,Philadelphia 76ers,103.0,100.0,3.0,True
2021-06-13,2.27,1.68,Denver Nuggets,Phoenix Suns,118.0,125.0,-7.0,False
2021-06-13,2.13,1.76,Milwaukee Bucks,Brooklyn Nets,107.0,96.0,11.0,True
2021-06-12,1.51,2.68,Los Angeles Clippers,Utah Jazz,132.0,106.0,26.0,True
2021-06-11,1.79,2.09,Denver Nuggets,Phoenix Suns,102.0,116.0,-14.0,False
2021-06-11,2.16,1.76,Atlanta Hawks,Philadelphia 76ers,111.0,127.0,-16.0,False
2021-06-10,1.7,2.23,Utah Jazz,Los Angeles Clippers,117.0,111.0,6.0,True
2021-06-10,1.65,2.34,Milwaukee Bucks,Brooklyn Nets,86.0,83.0,3.0,True
2021-06-09,1.43,2.98,Phoenix Suns,Denver Nuggets,123.0,98.0,25.0,True
2021-06-08,1.68,2.27,Utah Jazz,Los Angeles Clippers,112.0,109.0,3.0,True
2021-06-08,1.4,3.13,Philadelphia 76ers,Atlanta Hawks,118.0,102.0,16.0,True
2021-06-07,1.45,2.87,Phoenix Suns,Denver Nuggets,122.0,105.0,17.0,True
2021-06-07,2.02,1.89,Brooklyn Nets,Milwaukee Bucks,125.0,86.0,39.0,True
2021-06-06,1.4,3.09,Los Angeles Clippers,Dallas Mavericks,126.0,111.0,15.0,True
2021-06-06,1.52,2.67,Philadelphia 76ers,Atlanta Hawks,124.0,128.0,-4.0,False
2021-06-05,1.58,2.48,Brooklyn Nets,Milwaukee Bucks,115.0,107.0,8.0,True
2021-06-04,2.26,1.71,Dallas Mavericks,Los Angeles Clippers,97.0,104.0,-7.0,False
2021-06-03,1.67,2.29,Los Angeles Lakers,Phoenix Suns,100.0,113.0,-13.0,False
2021-06-03,1.5,2.71,Portland Trail Blazers,Denver Nuggets,115.0,126.0,-11.0,False
2021-06-02,1.3,3.76,Los Angeles Clippers,Dallas Mavericks,100.0,105.0,-5.0,False
2021-06-02,1.22,4.64,Utah Jazz,Memphis Grizzlies,126.0,110.0,16.0,True
2021-06-02,2.33,1.93,New York Knicks,Atlanta Hawks,89.0,103.0,-14.0,False
2021-06-02,1.42,2.99,Philadelphia 76ers,Washington Wizards,129.0,112.0,17.0,True
2021-06-01,1.56,2.58,Phoenix Suns,Los Angeles Lakers,115.0,85.0,30.0,True
2021-06-01,1.81,2.07,Denver Nuggets,Portland Trail Blazers,147.0,140.0,7.0,True
2021-06-01,1.11,7.44,Brooklyn Nets,Boston Celtics,123.0,109.0,14.0,True
2021-05-31,2.89,1.45,Memphis Grizzlies,Utah Jazz,113.0,120.0,-7.0,False
2021-05-31,4.04,1.27,Washington Wizards,Philadelphia 76ers,122.0,114.0,8.0,True
2021-05-30,2.42,1.61,Dallas Mavericks,Los Angeles Clippers,81.0,106.0,-25.0,False
2021-05-30,4.32,1.24,Boston Celtics,Brooklyn Nets,126.0,141.0,-15.0,False
2021-05-30,1.36,3.33,Los Angeles Lakers,Phoenix Suns,92.0,100.0,-8.0,False
2021-05-30,1.5,2.71,Atlanta Hawks,New York Knicks,113.0,96.0,17.0,True
2021-05-29,2.81,1.47,Memphis Grizzlies,Utah Jazz,111.0,121.0,-10.0,False
2021-05-29,2.85,1.45,Washington Wizards,Philadelphia 76ers,103.0,132.0,-29.0,False
2021-05-29,1.5,2.7,Portland Trail Blazers,Denver Nuggets,115.0,95.0,20.0,True
2021-05-29,2.6,1.54,Miami Heat,Milwaukee Bucks,103.0,120.0,-17.0,False
2021-05-28,2.27,1.68,Dallas Mavericks,Los Angeles Clippers,108.0,118.0,-10.0,False
2021-05-28,3.62,1.32,Boston Celtics,Brooklyn Nets,125.0,119.0,6.0,True
2021-05-28,1.53,2.63,Atlanta Hawks,New York Knicks,105.0,94.0,11.0,True
2021-05-27,1.6,2.45,Portland Trail Blazers,Denver Nuggets,115.0,120.0,-5.0,False
2021-05-27,1.36,3.3,Los Angeles Lakers,Phoenix Suns,109.0,95.0,14.0,True
2021-05-27,2.01,1.85,Miami Heat,Milwaukee Bucks,84.0,113.0,-29.0,False
2021-05-26,1.19,4.95,Utah Jazz,Memphis Grizzlies,141.0,129.0,12.0,True
2021-05-26,1.76,2.14,New York Knicks,Atlanta Hawks,101.0,92.0,9.0,True
2021-05-26,1.25,4.13,Philadelphia 76ers,Washington Wizards,120.0,95.0,25.0,True
2021-05-25,1.33,3.53,Los Angeles Clippers,Dallas Mavericks,121.0,127.0,-6.0,False
2021-05-25,2.1,1.77,Phoenix Suns,Los Angeles Lakers,102.0,109.0,-7.0,False
2021-05-25,1.22,4.64,Brooklyn Nets,Boston Celtics,130.0,108.0,22.0,True
2021-05-24,1.76,2.13,Denver Nuggets,Portland Trail Blazers,128.0,109.0,19.0,True
2021-05-24,1.51,2.7,Milwaukee Bucks,Miami Heat,132.0,98.0,34.0,True
2021-05-23,1.29,3.86,Utah Jazz,Memphis Grizzlies,109.0,112.0,-3.0,False
2021-05-23,1.85,2.0,New York Knicks,Atlanta Hawks,105.0,107.0,-2.0,False
2021-05-23,1.76,2.15,Phoenix Suns,Los Angeles Lakers,99.0,90.0,9.0,True
2021-05-23,1.29,3.77,Philadelphia 76ers,Washington Wizards,125.0,118.0,7.0,True
2021-05-22,1.88,1.97,Denver Nuggets,Portland Trail Blazers,109.0,123.0,-14.0,False
2021-05-22,1.26,4.1,Brooklyn Nets,Boston Celtics,104.0,93.0,11.0,True
2021-05-22,1.41,3.07,Los Angeles Clippers,Dallas Mavericks,103.0,113.0,-10.0,False
2021-05-22,1.45,2.88,Milwaukee Bucks,Miami Heat,109.0,107.0,2.0,True
2021-05-21,1.5,2.73,Golden State Warriors,Memphis Grizzlies,112.0,117.0,-5.0,False
2021-05-20,1.63,2.38,Washington Wizards,Indiana Pacers,142.0,115.0,27.0,True
2021-05-19,1.41,3.06,Los Angeles Lakers,Golden State Warriors,103.0,100.0,3.0,True
