Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2017-06-12,1.26,4.2,Golden State Warriors,Cleveland Cavaliers,129.0,120.0,9.0,True
2017-06-09,2.67,1.52,Cleveland Cavaliers,Golden State Warriors,137.0,116.0,21.0,True
2017-06-07,2.37,1.64,Cleveland Cavaliers,Golden State Warriors,113.0,118.0,-5.0,False
2017-06-04,1.25,4.32,Golden State Warriors,Cleveland Cavaliers,132.0,113.0,19.0,True
2017-06-01,1.31,3.7,Golden State Warriors,Cleveland Cavaliers,113.0,91.0,22.0,True
2017-05-25,5.1,1.19,Boston Celtics,Cleveland Cavaliers,102.0,135.0,-33.0,False
2017-05-23,1.04,13.58,Cleveland Cavaliers,Boston Celtics,112.0,99.0,13.0,True
2017-05-22,6.43,1.14,San Antonio Spurs,Golden State Warriors,115.0,129.0,-14.0,False
2017-05-21,1.03,15.81,Cleveland Cavaliers,Boston Celtics,108.0,111.0,-3.0,False
2017-05-20,4.69,1.21,San Antonio Spurs,Golden State Warriors,108.0,120.0,-12.0,False
2017-05-19,2.81,1.47,Boston Celtics,Cleveland Cavaliers,86.0,130.0,-44.0,False
2017-05-17,2.59,1.55,Boston Celtics,Cleveland Cavaliers,104.0,117.0,-13.0,False
2017-05-16,1.07,9.9,Golden State Warriors,San Antonio Spurs,136.0,100.0,36.0,True
2017-05-15,1.47,2.82,Boston Celtics,Washington Wizards,115.0,105.0,10.0,True
2017-05-14,1.16,5.82,Golden State Warriors,San Antonio Spurs,113.0,111.0,2.0,True
2017-05-12,1.47,2.78,Washington Wizards,Boston Celtics,92.0,91.0,1.0,True
2017-05-11,1.2,4.92,Houston Rockets,San Antonio Spurs,75.0,114.0,-39.0,False
2017-05-10,1.6,2.45,Boston Celtics,Washington Wizards,123.0,101.0,22.0,True
2017-05-09,1.45,2.88,San Antonio Spurs,Houston Rockets,110.0,107.0,3.0,True
2017-05-08,4.5,1.23,Utah Jazz,Golden State Warriors,95.0,121.0,-26.0,False
2017-05-07,1.48,2.78,Houston Rockets,San Antonio Spurs,125.0,104.0,21.0,True
2017-05-07,1.5,2.71,Washington Wizards,Boston Celtics,121.0,102.0,19.0,True
2017-05-07,3.49,1.33,Toronto Raptors,Cleveland Cavaliers,102.0,109.0,-7.0,False
2017-05-06,3.31,1.36,Utah Jazz,Golden State Warriors,91.0,102.0,-11.0,False
2017-05-05,1.45,2.91,Houston Rockets,San Antonio Spurs,92.0,103.0,-11.0,False
2017-05-05,2.27,1.68,Toronto Raptors,Cleveland Cavaliers,94.0,115.0,-21.0,False
2017-05-04,1.07,10.39,Golden State Warriors,Utah Jazz,115.0,104.0,11.0,True
2017-05-04,1.44,2.93,Washington Wizards,Boston Celtics,116.0,89.0,27.0,True
2017-05-03,1.4,3.09,San Antonio Spurs,Houston Rockets,121.0,96.0,25.0,True
2017-05-03,1.29,3.81,Cleveland Cavaliers,Toronto Raptors,125.0,103.0,22.0,True
2017-05-02,1.07,10.28,Golden State Warriors,Utah Jazz,106.0,94.0,12.0,True
2017-05-02,1.48,2.78,Boston Celtics,Washington Wizards,129.0,119.0,10.0,True
2017-05-01,1.37,3.28,San Antonio Spurs,Houston Rockets,99.0,126.0,-27.0,False
2017-05-01,1.32,3.6,Cleveland Cavaliers,Toronto Raptors,116.0,105.0,11.0,True
2017-04-30,1.61,2.43,Los Angeles Clippers,Utah Jazz,91.0,104.0,-13.0,False
2017-04-30,1.53,2.62,Boston Celtics,Washington Wizards,123.0,111.0,12.0,True
2017-04-28,1.43,2.96,Utah Jazz,Los Angeles Clippers,93.0,98.0,-5.0,False
2017-04-28,2.3,1.66,Chicago Bulls,Boston Celtics,83.0,105.0,-22.0,False
2017-04-28,1.69,2.27,Atlanta Hawks,Washington Wizards,99.0,115.0,-16.0,False
2017-04-27,2.89,1.45,Memphis Grizzlies,San Antonio Spurs,96.0,103.0,-7.0,False
2017-04-27,1.86,2.0,Milwaukee Bucks,Toronto Raptors,89.0,92.0,-3.0,False
2017-04-26,1.27,4.04,Boston Celtics,Chicago Bulls,108.0,97.0,11.0,True
2017-04-26,1.38,3.24,Washington Wizards,Atlanta Hawks,103.0,99.0,4.0,True
2017-04-25,1.64,2.34,Los Angeles Clippers,Utah Jazz,92.0,96.0,-4.0,False
2017-04-25,1.13,6.52,San Antonio Spurs,Memphis Grizzlies,116.0,103.0,13.0,True
2017-04-25,1.29,3.82,Houston Rockets,Oklahoma City Thunder,105.0,99.0,6.0,True
2017-04-24,4.33,1.24,Portland Trail Blazers,Golden State Warriors,103.0,128.0,-25.0,False
2017-04-24,1.68,2.27,Atlanta Hawks,Washington Wizards,111.0,101.0,10.0,True
2017-04-24,1.42,3.04,Toronto Raptors,Milwaukee Bucks,118.0,93.0,25.0,True
2017-04-23,1.53,2.63,Utah Jazz,Los Angeles Clippers,105.0,98.0,7.0,True
2017-04-23,2.03,1.83,Chicago Bulls,Boston Celtics,95.0,104.0,-9.0,False
2017-04-23,1.87,1.99,Oklahoma City Thunder,Houston Rockets,109.0,113.0,-4.0,False
2017-04-23,2.47,1.59,Indiana Pacers,Cleveland Cavaliers,102.0,106.0,-4.0,False
2017-04-22,2.69,1.5,Portland Trail Blazers,Golden State Warriors,113.0,119.0,-6.0,False
2017-04-22,2.83,1.46,Memphis Grizzlies,San Antonio Spurs,110.0,108.0,2.0,True
2017-04-22,1.68,2.27,Atlanta Hawks,Washington Wizards,116.0,98.0,18.0,True
2017-04-22,1.76,2.14,Milwaukee Bucks,Toronto Raptors,76.0,87.0,-11.0,False
