Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2014-06-15,1.44,2.88,San Antonio Spurs,Miami Heat,104.0,87.0,17.0,True
2014-06-12,1.43,2.97,Miami Heat,San Antonio Spurs,86.0,107.0,-21.0,False
2014-06-10,1.51,2.66,Miami Heat,San Antonio Spurs,92.0,111.0,-19.0,False
2014-06-08,1.56,2.53,San Antonio Spurs,Miami Heat,96.0,98.0,-2.0,False
2014-06-05,1.44,2.91,San Antonio Spurs,Miami Heat,110.0,95.0,15.0,True
2014-05-31,1.62,2.38,Oklahoma City Thunder,San Antonio Spurs,107.0,112.0,-5.0,False
2014-05-30,1.24,4.34,Miami Heat,Indiana Pacers,117.0,92.0,25.0,True
2014-05-29,1.45,2.84,San Antonio Spurs,Oklahoma City Thunder,117.0,89.0,28.0,True
2014-05-28,1.92,1.93,Indiana Pacers,Miami Heat,93.0,90.0,3.0,True
2014-05-27,1.75,2.15,Oklahoma City Thunder,San Antonio Spurs,105.0,92.0,13.0,True
2014-05-26,1.36,3.27,Miami Heat,Indiana Pacers,102.0,90.0,12.0,True
2014-05-25,1.71,2.2,Oklahoma City Thunder,San Antonio Spurs,106.0,97.0,9.0,True
2014-05-24,1.34,3.41,Miami Heat,Indiana Pacers,99.0,87.0,12.0,True
2014-05-21,1.43,2.9,San Antonio Spurs,Oklahoma City Thunder,112.0,77.0,35.0,True
2014-05-20,2.22,1.7,Indiana Pacers,Miami Heat,83.0,87.0,-4.0,False
2014-05-19,1.38,3.2,San Antonio Spurs,Oklahoma City Thunder,122.0,105.0,17.0,True
2014-05-18,2.13,1.76,Indiana Pacers,Miami Heat,107.0,96.0,11.0,True
2014-05-15,1.52,2.64,Los Angeles Clippers,Oklahoma City Thunder,98.0,104.0,-6.0,False
2014-05-15,1.55,2.55,Washington Wizards,Indiana Pacers,80.0,93.0,-13.0,False
2014-05-14,1.24,4.19,San Antonio Spurs,Portland Trail Blazers,104.0,82.0,22.0,True
2014-05-14,1.29,3.75,Miami Heat,Brooklyn Nets,96.0,94.0,2.0,True
2014-05-13,1.42,2.97,Oklahoma City Thunder,Los Angeles Clippers,105.0,104.0,1.0,True
2014-05-13,1.42,2.96,Indiana Pacers,Washington Wizards,79.0,102.0,-23.0,False
2014-05-12,2.56,1.55,Portland Trail Blazers,San Antonio Spurs,103.0,92.0,11.0,True
2014-05-12,2.12,1.76,Brooklyn Nets,Miami Heat,96.0,102.0,-6.0,False
2014-05-11,1.63,2.37,Washington Wizards,Indiana Pacers,92.0,95.0,-3.0,False
2014-05-11,1.47,2.76,Los Angeles Clippers,Oklahoma City Thunder,101.0,99.0,2.0,True
2014-05-10,1.91,1.91,Portland Trail Blazers,San Antonio Spurs,103.0,118.0,-15.0,False
2014-05-10,1.98,1.85,Brooklyn Nets,Miami Heat,104.0,90.0,14.0,True
2014-05-09,1.55,2.57,Los Angeles Clippers,Oklahoma City Thunder,112.0,118.0,-6.0,False
2014-05-09,1.48,2.73,Washington Wizards,Indiana Pacers,63.0,85.0,-22.0,False
2014-05-08,1.34,3.43,San Antonio Spurs,Portland Trail Blazers,114.0,97.0,17.0,True
2014-05-08,1.29,3.78,Miami Heat,Brooklyn Nets,94.0,82.0,12.0,True
2014-05-07,1.45,2.83,Oklahoma City Thunder,Los Angeles Clippers,112.0,101.0,11.0,True
2014-05-07,1.52,2.64,Indiana Pacers,Washington Wizards,86.0,82.0,4.0,True
2014-05-06,1.34,3.42,San Antonio Spurs,Portland Trail Blazers,116.0,92.0,24.0,True
2014-05-06,1.26,4.0,Miami Heat,Brooklyn Nets,107.0,86.0,21.0,True
2014-05-05,1.43,2.93,Oklahoma City Thunder,Los Angeles Clippers,105.0,122.0,-17.0,False
2014-05-05,1.56,2.54,Indiana Pacers,Washington Wizards,96.0,102.0,-6.0,False
2014-05-04,1.3,3.63,San Antonio Spurs,Dallas Mavericks,119.0,96.0,23.0,True
2014-05-04,1.68,2.25,Toronto Raptors,Brooklyn Nets,103.0,104.0,-1.0,False
2014-05-03,1.31,3.65,Los Angeles Clippers,Golden State Warriors,126.0,121.0,5.0,True
2014-05-03,1.18,5.24,Oklahoma City Thunder,Memphis Grizzlies,120.0,109.0,11.0,True
2014-05-03,1.37,3.25,Indiana Pacers,Atlanta Hawks,92.0,80.0,12.0,True
2014-05-02,1.55,2.55,Portland Trail Blazers,Houston Rockets,99.0,98.0,1.0,True
2014-05-02,2.38,1.62,Dallas Mavericks,San Antonio Spurs,113.0,111.0,2.0,True
2014-05-02,1.48,2.75,Brooklyn Nets,Toronto Raptors,97.0,83.0,14.0,True
2014-05-01,1.94,1.89,Golden State Warriors,Los Angeles Clippers,100.0,99.0,1.0,True
2014-05-01,2.21,1.7,Memphis Grizzlies,Oklahoma City Thunder,84.0,104.0,-20.0,False
2014-05-01,1.78,2.08,Atlanta Hawks,Indiana Pacers,88.0,95.0,-7.0,False
