Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2016-06-19,1.52,2.63,Golden State Warriors,Cleveland Cavaliers,89.0,93.0,-4.0,False
2016-06-16,1.77,2.1,Cleveland Cavaliers,Golden State Warriors,115.0,101.0,14.0,True
2016-06-13,1.44,2.91,Golden State Warriors,Cleveland Cavaliers,97.0,112.0,-15.0,False
2016-06-10,1.71,2.2,Cleveland Cavaliers,Golden State Warriors,97.0,108.0,-11.0,False
2016-06-08,1.84,2.01,Cleveland Cavaliers,Golden State Warriors,120.0,90.0,30.0,True
2016-06-05,1.4,3.09,Golden State Warriors,Cleveland Cavaliers,110.0,77.0,33.0,True
2016-06-02,1.4,3.07,Golden State Warriors,Cleveland Cavaliers,104.0,89.0,15.0,True
2016-05-30,1.29,3.72,Golden State Warriors,Oklahoma City Thunder,96.0,88.0,8.0,True
2016-05-28,1.65,2.33,Oklahoma City Thunder,Golden State Warriors,101.0,108.0,-7.0,False
2016-05-27,3.37,1.34,Toronto Raptors,Cleveland Cavaliers,87.0,113.0,-26.0,False
2016-05-26,1.28,3.83,Golden State Warriors,Oklahoma City Thunder,120.0,111.0,9.0,True
2016-05-25,1.12,6.79,Cleveland Cavaliers,Toronto Raptors,116.0,78.0,38.0,True
2016-05-24,2.05,1.8,Oklahoma City Thunder,Golden State Warriors,118.0,94.0,24.0,True
2016-05-23,3.15,1.38,Toronto Raptors,Cleveland Cavaliers,105.0,99.0,6.0,True
2016-05-22,2.28,1.67,Oklahoma City Thunder,Golden State Warriors,133.0,105.0,28.0,True
2016-05-21,3.18,1.38,Toronto Raptors,Cleveland Cavaliers,99.0,84.0,15.0,True
2016-05-19,1.1,8.08,Cleveland Cavaliers,Toronto Raptors,108.0,89.0,19.0,True
2016-05-18,1.21,4.73,Golden State Warriors,Oklahoma City Thunder,118.0,91.0,27.0,True
2016-05-17,1.1,7.61,Cleveland Cavaliers,Toronto Raptors,115.0,84.0,31.0,True
2016-05-16,1.25,4.19,Golden State Warriors,Oklahoma City Thunder,102.0,108.0,-6.0,False
2016-05-15,1.51,2.67,Toronto Raptors,Miami Heat,116.0,89.0,27.0,True
2016-05-13,1.58,2.49,Miami Heat,Toronto Raptors,103.0,91.0,12.0,True
2016-05-12,1.95,1.9,Oklahoma City Thunder,San Antonio Spurs,113.0,99.0,14.0,True
2016-05-11,1.08,9.47,Golden State Warriors,Portland Trail Blazers,125.0,121.0,4.0,True
2016-05-11,1.48,2.76,Toronto Raptors,Miami Heat,99.0,91.0,8.0,True
2016-05-10,1.29,3.85,San Antonio Spurs,Oklahoma City Thunder,91.0,95.0,-4.0,False
2016-05-09,3.19,1.39,Portland Trail Blazers,Golden State Warriors,125.0,132.0,-7.0,False
2016-05-09,1.47,2.81,Miami Heat,Toronto Raptors,94.0,87.0,7.0,True
2016-05-08,1.78,2.1,Oklahoma City Thunder,San Antonio Spurs,111.0,97.0,14.0,True
2016-05-08,2.85,1.46,Atlanta Hawks,Cleveland Cavaliers,99.0,100.0,-1.0,False
2016-05-07,2.37,1.63,Portland Trail Blazers,Golden State Warriors,120.0,108.0,12.0,True
2016-05-07,1.42,2.99,Miami Heat,Toronto Raptors,91.0,95.0,-4.0,False
2016-05-06,2.21,1.71,Oklahoma City Thunder,San Antonio Spurs,96.0,100.0,-4.0,False
2016-05-06,2.24,1.69,Atlanta Hawks,Cleveland Cavaliers,108.0,121.0,-13.0,False
2016-05-05,1.44,2.89,Toronto Raptors,Miami Heat,96.0,92.0,4.0,True
2016-05-04,1.28,3.92,Cleveland Cavaliers,Atlanta Hawks,123.0,98.0,25.0,True
2016-05-03,1.18,5.17,Golden State Warriors,Portland Trail Blazers,110.0,99.0,11.0,True
2016-05-03,1.58,2.49,Toronto Raptors,Miami Heat,96.0,102.0,-6.0,False
2016-05-02,1.27,3.98,San Antonio Spurs,Oklahoma City Thunder,97.0,98.0,-1.0,False
2016-05-02,1.26,4.12,Cleveland Cavaliers,Atlanta Hawks,104.0,93.0,11.0,True
2016-05-01,1.38,3.23,Toronto Raptors,Indiana Pacers,89.0,84.0,5.0,True
2016-05-01,1.18,5.23,Golden State Warriors,Portland Trail Blazers,118.0,106.0,12.0,True
2016-05-01,1.37,3.25,Miami Heat,Charlotte Hornets,106.0,73.0,33.0,True
2016-04-30,1.33,3.48,San Antonio Spurs,Oklahoma City Thunder,124.0,92.0,32.0,True
2016-04-29,1.18,5.21,Portland Trail Blazers,Los Angeles Clippers,106.0,103.0,3.0,True
2016-04-29,1.78,2.11,Charlotte Hornets,Miami Heat,90.0,97.0,-7.0,False
2016-04-29,1.86,2.0,Indiana Pacers,Toronto Raptors,101.0,83.0,18.0,True
2016-04-28,2.3,1.67,Boston Celtics,Atlanta Hawks,92.0,104.0,-12.0,False
2016-04-27,1.19,4.99,Golden State Warriors,Houston Rockets,114.0,81.0,33.0,True
2016-04-27,2.29,1.67,Los Angeles Clippers,Portland Trail Blazers,98.0,108.0,-10.0,False
