Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2013-06-20,1.43,2.97,Miami Heat,San Antonio Spurs,95.0,88.0,7.0,True
2013-06-18,1.33,3.47,Miami Heat,San Antonio Spurs,103.0,100.0,3.0,True
2013-06-16,1.96,1.87,San Antonio Spurs,Miami Heat,114.0,104.0,10.0,True
2013-06-13,1.95,1.87,San Antonio Spurs,Miami Heat,93.0,109.0,-16.0,False
2013-06-11,1.76,2.1,San Antonio Spurs,Miami Heat,113.0,77.0,36.0,True
2013-06-09,1.33,3.48,Miami Heat,San Antonio Spurs,103.0,84.0,19.0,True
2013-06-06,1.41,2.95,Miami Heat,San Antonio Spurs,88.0,92.0,-4.0,False
2013-06-03,1.28,3.88,Miami Heat,Indiana Pacers,99.0,76.0,23.0,True
2013-06-01,2.26,1.68,Indiana Pacers,Miami Heat,91.0,77.0,14.0,True
2013-05-30,1.25,4.2,Miami Heat,Indiana Pacers,90.0,79.0,11.0,True
2013-05-28,2.26,1.68,Indiana Pacers,Miami Heat,99.0,92.0,7.0,True
2013-05-27,1.7,2.22,Memphis Grizzlies,San Antonio Spurs,86.0,93.0,-7.0,False
2013-05-26,2.05,1.8,Indiana Pacers,Miami Heat,96.0,114.0,-18.0,False
2013-05-25,1.48,2.76,Memphis Grizzlies,San Antonio Spurs,93.0,104.0,-11.0,False
2013-05-24,1.27,3.99,Miami Heat,Indiana Pacers,93.0,97.0,-4.0,False
2013-05-22,1.22,4.53,Miami Heat,Indiana Pacers,103.0,102.0,1.0,True
2013-05-21,1.43,2.92,San Antonio Spurs,Memphis Grizzlies,93.0,89.0,4.0,True
2013-05-19,1.49,2.73,San Antonio Spurs,Memphis Grizzlies,105.0,83.0,22.0,True
2013-05-18,1.46,2.83,Indiana Pacers,New York Knicks,106.0,99.0,7.0,True
2013-05-16,2.17,1.73,Golden State Warriors,San Antonio Spurs,82.0,94.0,-12.0,False
2013-05-16,1.49,2.72,New York Knicks,Indiana Pacers,85.0,75.0,10.0,True
2013-05-15,1.49,2.73,Oklahoma City Thunder,Memphis Grizzlies,84.0,88.0,-4.0,False
2013-05-15,1.05,11.61,Miami Heat,Chicago Bulls,94.0,91.0,3.0,True
2013-05-14,1.31,3.61,San Antonio Spurs,Golden State Warriors,109.0,91.0,18.0,True
2013-05-14,1.47,2.8,Indiana Pacers,New York Knicks,93.0,82.0,11.0,True
2013-05-13,1.52,2.64,Memphis Grizzlies,Oklahoma City Thunder,103.0,97.0,6.0,True
2013-05-13,4.16,1.25,Chicago Bulls,Miami Heat,65.0,88.0,-23.0,False
2013-05-12,2.07,1.79,Golden State Warriors,San Antonio Spurs,97.0,87.0,10.0,True
2013-05-11,1.51,2.66,Indiana Pacers,New York Knicks,82.0,71.0,11.0,True
2013-05-11,1.47,2.8,Memphis Grizzlies,Oklahoma City Thunder,87.0,81.0,6.0,True
2013-05-10,1.74,2.16,Golden State Warriors,San Antonio Spurs,92.0,102.0,-10.0,False
2013-05-10,4.08,1.26,Chicago Bulls,Miami Heat,94.0,104.0,-10.0,False
2013-05-08,1.29,3.76,San Antonio Spurs,Golden State Warriors,91.0,100.0,-9.0,False
2013-05-08,1.08,8.82,Miami Heat,Chicago Bulls,115.0,78.0,37.0,True
2013-05-07,1.69,2.23,Oklahoma City Thunder,Memphis Grizzlies,93.0,99.0,-6.0,False
2013-05-07,1.4,3.08,New York Knicks,Indiana Pacers,105.0,79.0,26.0,True
2013-05-06,1.18,5.27,San Antonio Spurs,Golden State Warriors,129.0,127.0,2.0,True
2013-05-06,1.08,9.29,Miami Heat,Chicago Bulls,86.0,93.0,-7.0,False
2013-05-05,1.44,2.89,New York Knicks,Indiana Pacers,95.0,102.0,-7.0,False
