Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2018-06-08,2.43,1.61,Cleveland Cavaliers,Golden State Warriors,85.0,108.0,-23.0,False
2018-06-06,2.28,1.69,Cleveland Cavaliers,Golden State Warriors,102.0,110.0,-8.0,False
2018-06-03,1.19,5.32,Golden State Warriors,Cleveland Cavaliers,122.0,103.0,19.0,True
2018-05-31,1.12,7.17,Golden State Warriors,Cleveland Cavaliers,124.0,114.0,10.0,True
2018-05-28,3.33,1.37,Houston Rockets,Golden State Warriors,92.0,101.0,-9.0,False
2018-05-27,1.7,2.25,Boston Celtics,Cleveland Cavaliers,79.0,87.0,-8.0,False
2018-05-26,1.11,7.71,Golden State Warriors,Houston Rockets,115.0,86.0,29.0,True
2018-05-25,1.31,3.74,Cleveland Cavaliers,Boston Celtics,109.0,99.0,10.0,True
2018-05-24,1.97,1.91,Houston Rockets,Golden State Warriors,98.0,94.0,4.0,True
2018-05-23,1.85,2.04,Boston Celtics,Cleveland Cavaliers,96.0,83.0,13.0,True
2018-05-22,1.25,4.37,Golden State Warriors,Houston Rockets,92.0,95.0,-3.0,False
2018-05-21,1.32,3.67,Cleveland Cavaliers,Boston Celtics,111.0,102.0,9.0,True
2018-05-20,1.28,3.92,Golden State Warriors,Houston Rockets,126.0,85.0,41.0,True
2018-05-19,1.35,3.46,Cleveland Cavaliers,Boston Celtics,116.0,86.0,30.0,True
2018-05-16,1.81,2.08,Houston Rockets,Golden State Warriors,127.0,105.0,22.0,True
2018-05-15,1.93,1.95,Boston Celtics,Cleveland Cavaliers,107.0,94.0,13.0,True
2018-05-14,1.79,2.11,Houston Rockets,Golden State Warriors,106.0,119.0,-13.0,False
2018-05-13,1.99,1.88,Boston Celtics,Cleveland Cavaliers,108.0,83.0,25.0,True
2018-05-09,1.83,2.06,Boston Celtics,Philadelphia 76ers,114.0,112.0,2.0,True
2018-05-08,1.11,7.29,Golden State Warriors,New Orleans Pelicans,113.0,104.0,9.0,True
2018-05-08,1.11,7.55,Houston Rockets,Utah Jazz,112.0,102.0,10.0,True
2018-05-07,1.48,2.8,Cleveland Cavaliers,Toronto Raptors,128.0,93.0,35.0,True
2018-05-07,1.31,3.7,Philadelphia 76ers,Boston Celtics,103.0,92.0,11.0,True
2018-05-06,3.24,1.38,Utah Jazz,Houston Rockets,87.0,100.0,-13.0,False
2018-05-06,3.15,1.39,New Orleans Pelicans,Golden State Warriors,92.0,118.0,-26.0,False
2018-05-05,1.53,2.65,Cleveland Cavaliers,Toronto Raptors,105.0,103.0,2.0,True
2018-05-05,1.2,4.88,Philadelphia 76ers,Boston Celtics,98.0,101.0,-3.0,False
2018-05-04,2.72,1.5,Utah Jazz,Houston Rockets,92.0,113.0,-21.0,False
2018-05-04,2.84,1.46,New Orleans Pelicans,Golden State Warriors,119.0,100.0,19.0,True
2018-05-03,2.5,1.58,Boston Celtics,Philadelphia 76ers,108.0,103.0,5.0,True
2018-05-03,1.35,3.43,Toronto Raptors,Cleveland Cavaliers,110.0,128.0,-18.0,False
2018-05-02,1.11,7.36,Houston Rockets,Utah Jazz,108.0,116.0,-8.0,False
2018-05-01,1.13,6.7,Golden State Warriors,New Orleans Pelicans,121.0,116.0,5.0,True
2018-05-01,1.36,3.34,Toronto Raptors,Cleveland Cavaliers,112.0,113.0,-1.0,False
2018-04-30,2.73,1.5,Boston Celtics,Philadelphia 76ers,117.0,101.0,16.0,True
2018-04-29,1.11,7.51,Houston Rockets,Utah Jazz,110.0,96.0,14.0,True
2018-04-29,1.4,3.11,Cleveland Cavaliers,Indiana Pacers,105.0,101.0,4.0,True
2018-04-28,1.29,3.81,Golden State Warriors,New Orleans Pelicans,123.0,101.0,22.0,True
2018-04-28,1.5,2.74,Boston Celtics,Milwaukee Bucks,112.0,96.0,16.0,True
2018-04-27,1.35,3.4,Utah Jazz,Oklahoma City Thunder,96.0,91.0,5.0,True
2018-04-27,1.8,2.09,Indiana Pacers,Cleveland Cavaliers,121.0,87.0,34.0,True
2018-04-27,2.12,1.78,Washington Wizards,Toronto Raptors,92.0,102.0,-10.0,False
2018-04-26,1.5,2.72,Milwaukee Bucks,Boston Celtics,97.0,86.0,11.0,True
2018-04-25,1.1,8.35,Houston Rockets,Minnesota Timberwolves,122.0,104.0,18.0,True
2018-04-25,1.69,2.26,Oklahoma City Thunder,Utah Jazz,107.0,99.0,8.0,True
2018-04-25,1.34,3.46,Cleveland Cavaliers,Indiana Pacers,98.0,95.0,3.0,True
2018-04-25,1.33,3.57,Toronto Raptors,Washington Wizards,108.0,98.0,10.0,True
2018-04-24,1.12,7.15,Golden State Warriors,San Antonio Spurs,99.0,91.0,8.0,True
2018-04-24,1.16,5.83,Philadelphia 76ers,Miami Heat,104.0,91.0,13.0,True
2018-04-24,1.52,2.66,Boston Celtics,Milwaukee Bucks,92.0,87.0,5.0,True
2018-04-23,1.5,2.73,Utah Jazz,Oklahoma City Thunder,113.0,96.0,17.0,True
2018-04-23,3.09,1.41,Minnesota Timberwolves,Houston Rockets,100.0,119.0,-19.0,False
2018-04-22,2.05,1.83,Indiana Pacers,Cleveland Cavaliers,100.0,104.0,-4.0,False
2018-04-22,2.04,1.83,Washington Wizards,Toronto Raptors,106.0,98.0,8.0,True
2018-04-22,3.38,1.35,San Antonio Spurs,Golden State Warriors,103.0,90.0,13.0,True
2018-04-22,1.43,2.98,Milwaukee Bucks,Boston Celtics,104.0,102.0,2.0,True
2018-04-21,1.46,2.85,Utah Jazz,Oklahoma City Thunder,115.0,102.0,13.0,True
2018-04-21,3.09,1.41,Minnesota Timberwolves,Houston Rockets,121.0,105.0,16.0,True
2018-04-21,1.37,3.31,New Orleans Pelicans,Portland Trail Blazers,131.0,123.0,8.0,True
2018-04-21,2.5,1.59,Miami Heat,Philadelphia 76ers,102.0,106.0,-4.0,False
2018-04-20,1.47,2.83,Milwaukee Bucks,Boston Celtics,116.0,92.0,24.0,True
2018-04-20,1.9,1.97,Washington Wizards,Toronto Raptors,122.0,103.0,19.0,True
2018-04-20,1.83,2.06,Indiana Pacers,Cleveland Cavaliers,92.0,90.0,2.0,True
2018-04-19,2.43,1.61,San Antonio Spurs,Golden State Warriors,97.0,110.0,-13.0,False
2018-04-19,1.62,2.43,New Orleans Pelicans,Portland Trail Blazers,119.0,102.0,17.0,True
2018-04-19,2.23,1.71,Miami Heat,Philadelphia 76ers,108.0,128.0,-20.0,False
2018-04-18,1.13,6.52,Houston Rockets,Minnesota Timberwolves,102.0,82.0,20.0,True
2018-04-18,1.59,2.48,Oklahoma City Thunder,Utah Jazz,95.0,102.0,-7.0,False
