Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2012-06-21,1.6,2.42,Miami Heat,Oklahoma City Thunder,121.0,106.0,15.0,True
2012-06-19,1.66,2.29,Miami Heat,Oklahoma City Thunder,104.0,98.0,6.0,True
2012-06-17,1.53,2.59,Miami Heat,Oklahoma City Thunder,91.0,85.0,6.0,True
2012-06-14,1.46,2.78,Oklahoma City Thunder,Miami Heat,96.0,100.0,-4.0,False
2012-06-12,1.42,2.94,Oklahoma City Thunder,Miami Heat,105.0,94.0,11.0,True
2012-06-09,1.22,4.51,Miami Heat,Boston Celtics,101.0,88.0,13.0,True
2012-06-07,2.13,1.74,Boston Celtics,Miami Heat,79.0,98.0,-19.0,False
2012-06-06,1.44,2.87,Oklahoma City Thunder,San Antonio Spurs,107.0,99.0,8.0,True
2012-06-05,1.23,4.26,Miami Heat,Boston Celtics,90.0,94.0,-4.0,False
2012-06-04,1.44,2.87,San Antonio Spurs,Oklahoma City Thunder,103.0,108.0,-5.0,False
2012-06-03,2.08,1.77,Boston Celtics,Miami Heat,93.0,91.0,2.0,True
2012-06-02,1.53,2.6,Oklahoma City Thunder,San Antonio Spurs,109.0,103.0,6.0,True
2012-06-01,1.7,2.2,Boston Celtics,Miami Heat,101.0,91.0,10.0,True
2012-05-31,1.47,2.73,Oklahoma City Thunder,San Antonio Spurs,102.0,82.0,20.0,True
2012-05-30,1.22,4.45,Miami Heat,Boston Celtics,115.0,111.0,4.0,True
2012-05-29,1.47,2.76,San Antonio Spurs,Oklahoma City Thunder,120.0,111.0,9.0,True
2012-05-28,1.21,4.63,Miami Heat,Boston Celtics,93.0,79.0,14.0,True
2012-05-27,1.39,3.07,San Antonio Spurs,Oklahoma City Thunder,101.0,98.0,3.0,True
2012-05-26,1.32,3.51,Boston Celtics,Philadelphia 76ers,85.0,75.0,10.0,True
2012-05-24,2.21,1.7,Indiana Pacers,Miami Heat,93.0,105.0,-12.0,False
2012-05-23,1.85,1.96,Philadelphia 76ers,Boston Celtics,82.0,75.0,7.0,True
2012-05-22,1.27,3.89,Miami Heat,Indiana Pacers,115.0,83.0,32.0,True
2012-05-21,1.26,3.95,Oklahoma City Thunder,Los Angeles Lakers,106.0,90.0,16.0,True
2012-05-21,1.4,3.03,Boston Celtics,Philadelphia 76ers,101.0,85.0,16.0,True
2012-05-20,3.55,1.29,Los Angeles Clippers,San Antonio Spurs,99.0,102.0,-3.0,False
2012-05-20,2.05,1.77,Indiana Pacers,Miami Heat,93.0,101.0,-8.0,False
2012-05-19,2.1,1.76,Los Angeles Lakers,Oklahoma City Thunder,100.0,103.0,-3.0,False
2012-05-19,2.77,1.47,Los Angeles Clippers,San Antonio Spurs,86.0,96.0,-10.0,False
2012-05-18,1.67,2.27,Los Angeles Lakers,Oklahoma City Thunder,99.0,96.0,3.0,True
2012-05-18,1.74,2.13,Philadelphia 76ers,Boston Celtics,92.0,83.0,9.0,True
2012-05-17,1.11,6.83,San Antonio Spurs,Los Angeles Clippers,105.0,88.0,17.0,True
2012-05-17,2.14,1.74,Indiana Pacers,Miami Heat,94.0,75.0,19.0,True
2012-05-16,1.22,4.5,Oklahoma City Thunder,Los Angeles Lakers,77.0,75.0,2.0,True
2012-05-16,1.74,2.13,Philadelphia 76ers,Boston Celtics,91.0,107.0,-16.0,False
2012-05-15,1.1,7.62,San Antonio Spurs,Los Angeles Clippers,108.0,92.0,16.0,True
2012-05-15,1.3,3.62,Miami Heat,Indiana Pacers,75.0,78.0,-3.0,False
2012-05-14,1.23,4.3,Oklahoma City Thunder,Los Angeles Lakers,119.0,90.0,29.0,True
2012-05-14,1.47,2.74,Boston Celtics,Philadelphia 76ers,81.0,82.0,-1.0,False
2012-05-13,1.2,4.69,Miami Heat,Indiana Pacers,95.0,86.0,9.0,True
2012-05-13,1.25,4.13,Memphis Grizzlies,Los Angeles Clippers,72.0,82.0,-10.0,False
2012-05-12,1.35,3.34,Los Angeles Lakers,Denver Nuggets,96.0,87.0,9.0,True
2012-05-12,1.39,3.06,Boston Celtics,Philadelphia 76ers,92.0,91.0,1.0,True
2012-05-11,2.11,1.75,Los Angeles Clippers,Memphis Grizzlies,88.0,90.0,-2.0,False
2012-05-10,1.68,2.23,Denver Nuggets,Los Angeles Lakers,113.0,96.0,17.0,True
2012-05-10,1.29,3.74,Boston Celtics,Atlanta Hawks,83.0,80.0,3.0,True
2012-05-10,1.57,2.47,Philadelphia 76ers,Chicago Bulls,79.0,78.0,1.0,True
2012-05-09,1.31,3.56,Memphis Grizzlies,Los Angeles Clippers,92.0,80.0,12.0,True
2012-05-09,1.07,9.41,Miami Heat,New York Knicks,106.0,94.0,12.0,True
2012-05-08,1.36,3.23,Los Angeles Lakers,Denver Nuggets,99.0,102.0,-3.0,False
2012-05-08,1.44,2.85,Chicago Bulls,Philadelphia 76ers,77.0,69.0,8.0,True
2012-05-08,1.78,2.06,Atlanta Hawks,Boston Celtics,87.0,86.0,1.0,True
2012-05-08,1.12,6.39,Indiana Pacers,Orlando Magic,105.0,87.0,18.0,True
2012-05-07,1.81,2.03,Los Angeles Clippers,Memphis Grizzlies,101.0,97.0,4.0,True
2012-05-07,3.92,1.27,Utah Jazz,San Antonio Spurs,81.0,87.0,-6.0,False
2012-05-06,1.72,2.17,Denver Nuggets,Los Angeles Lakers,88.0,92.0,-4.0,False
2012-05-06,1.37,3.15,Boston Celtics,Atlanta Hawks,101.0,79.0,22.0,True
2012-05-06,4.05,1.26,New York Knicks,Miami Heat,89.0,87.0,2.0,True
2012-05-06,1.62,2.37,Philadelphia 76ers,Chicago Bulls,89.0,82.0,7.0,True
2012-05-05,2.96,1.42,Utah Jazz,San Antonio Spurs,90.0,102.0,-12.0,False
2012-05-05,2.08,1.77,Dallas Mavericks,Oklahoma City Thunder,97.0,103.0,-6.0,False
2012-05-05,1.64,2.31,Los Angeles Clippers,Memphis Grizzlies,87.0,86.0,1.0,True
2012-05-05,2.77,1.47,Orlando Magic,Indiana Pacers,99.0,101.0,-2.0,False
2012-05-04,1.58,2.47,Denver Nuggets,Los Angeles Lakers,99.0,84.0,15.0,True
2012-05-04,1.95,1.87,Philadelphia 76ers,Chicago Bulls,79.0,74.0,5.0,True
2012-05-04,1.21,4.51,Boston Celtics,Atlanta Hawks,90.0,84.0,6.0,True
2012-05-03,1.6,2.42,Dallas Mavericks,Oklahoma City Thunder,79.0,95.0,-16.0,False
2012-05-03,2.94,1.42,New York Knicks,Miami Heat,70.0,87.0,-17.0,False
2012-05-02,1.31,3.56,Memphis Grizzlies,Los Angeles Clippers,105.0,98.0,7.0,True
2012-05-02,2.37,1.62,Orlando Magic,Indiana Pacers,74.0,97.0,-23.0,False
2012-05-02,1.08,8.39,San Antonio Spurs,Utah Jazz,114.0,83.0,31.0,True
2012-05-01,1.41,3.02,Los Angeles Lakers,Denver Nuggets,104.0,100.0,4.0,True
2012-05-01,1.34,3.37,Chicago Bulls,Philadelphia 76ers,92.0,109.0,-17.0,False
2012-05-01,1.49,2.68,Atlanta Hawks,Boston Celtics,80.0,87.0,-7.0,False
2012-04-30,1.34,3.4,Oklahoma City Thunder,Dallas Mavericks,102.0,99.0,3.0,True
2012-04-30,1.17,5.25,Indiana Pacers,Orlando Magic,93.0,78.0,15.0,True
2012-04-30,1.13,5.99,Miami Heat,New York Knicks,104.0,94.0,10.0,True
2012-04-29,1.46,2.81,Memphis Grizzlies,Los Angeles Clippers,98.0,99.0,-1.0,False
2012-04-29,1.85,1.97,Atlanta Hawks,Boston Celtics,83.0,74.0,9.0,True
2012-04-29,1.47,2.74,Los Angeles Lakers,Denver Nuggets,103.0,88.0,15.0,True
2012-04-29,1.08,8.32,San Antonio Spurs,Utah Jazz,106.0,91.0,15.0,True
2012-04-28,1.24,4.18,Oklahoma City Thunder,Dallas Mavericks,99.0,98.0,1.0,True
2012-04-28,1.14,5.79,Indiana Pacers,Orlando Magic,77.0,81.0,-4.0,False
2012-04-28,1.16,5.37,Miami Heat,New York Knicks,100.0,67.0,33.0,True
2012-04-28,1.18,5.09,Chicago Bulls,Philadelphia 76ers,103.0,91.0,12.0,True
2012-04-26,3.09,1.39,Golden State Warriors,San Antonio Spurs,101.0,107.0,-6.0,False
2012-04-26,1.36,3.25,Sacramento Kings,Los Angeles Lakers,113.0,96.0,17.0,True
2012-04-26,1.47,2.76,Atlanta Hawks,Dallas Mavericks,106.0,89.0,17.0,True
2012-04-26,1.19,5.01,Boston Celtics,Milwaukee Bucks,87.0,74.0,13.0,True
2012-04-26,2.87,1.44,Charlotte Hornets,New York Knicks,84.0,104.0,-20.0,False
2012-04-26,1.03,13.0,Chicago Bulls,Cleveland Cavaliers,107.0,75.0,32.0,True
2012-04-26,1.23,4.37,Detroit Pistons,Philadelphia 76ers,108.0,86.0,22.0,True
2012-04-26,1.43,2.91,Houston Rockets,New Orleans Pelicans,84.0,77.0,7.0,True
2012-04-26,1.03,14.7,Memphis Grizzlies,Orlando Magic,88.0,76.0,12.0,True
2012-04-26,3.98,1.26,Minnesota Timberwolves,Denver Nuggets,102.0,131.0,-29.0,False
2012-04-26,1.31,3.59,Utah Jazz,Portland Trail Blazers,96.0,94.0,2.0,True
2012-04-26,1.33,3.43,Washington Wizards,Miami Heat,104.0,70.0,34.0,True
2012-04-26,1.31,3.62,Toronto Raptors,Brooklyn Nets,98.0,67.0,31.0,True
2012-04-25,1.69,2.23,Phoenix Suns,San Antonio Spurs,106.0,110.0,-4.0,False
2012-04-25,1.29,3.75,Milwaukee Bucks,Philadelphia 76ers,85.0,90.0,-5.0,False
2012-04-25,2.06,1.79,Oklahoma City Thunder,Denver Nuggets,101.0,106.0,-5.0,False
2012-04-25,1.48,2.72,New York Knicks,Los Angeles Clippers,99.0,93.0,6.0,True
2012-04-25,2.21,1.7,Cleveland Cavaliers,Washington Wizards,85.0,96.0,-11.0,False
2012-04-25,2.2,1.7,Indiana Pacers,Chicago Bulls,87.0,92.0,-5.0,False
2012-04-25,1.04,12.75,Orlando Magic,Charlotte Hornets,102.0,95.0,7.0,True
2012-04-24,2.25,1.67,Golden State Warriors,New Orleans Pelicans,81.0,83.0,-2.0,False
2012-04-24,1.47,2.76,Utah Jazz,Phoenix Suns,100.0,88.0,12.0,True
2012-04-24,1.34,3.4,Boston Celtics,Miami Heat,78.0,66.0,12.0,True
2012-04-24,1.17,5.22,Oklahoma City Thunder,Sacramento Kings,118.0,110.0,8.0,True
2012-04-24,1.84,1.98,Atlanta Hawks,Los Angeles Clippers,109.0,102.0,7.0,True
2012-04-23,1.05,12.25,San Antonio Spurs,Portland Trail Blazers,124.0,89.0,35.0,True
2012-04-23,1.07,9.67,Memphis Grizzlies,Cleveland Cavaliers,109.0,101.0,8.0,True
2012-04-23,1.15,5.68,Milwaukee Bucks,Toronto Raptors,92.0,86.0,6.0,True
2012-04-23,5.01,1.18,Brooklyn Nets,Philadelphia 76ers,87.0,105.0,-18.0,False
2012-04-23,1.3,3.67,Indiana Pacers,Detroit Pistons,103.0,97.0,6.0,True
2012-04-23,1.15,5.66,Washington Wizards,Charlotte Hornets,101.0,73.0,28.0,True
2012-04-22,1.16,5.54,Los Angeles Clippers,New Orleans Pelicans,107.0,98.0,9.0,True
2012-04-22,1.12,6.45,Denver Nuggets,Orlando Magic,101.0,74.0,27.0,True
2012-04-22,1.19,4.88,Minnesota Timberwolves,Golden State Warriors,88.0,93.0,-5.0,False
2012-04-22,1.03,15.83,San Antonio Spurs,Cleveland Cavaliers,114.0,98.0,16.0,True
2012-04-22,2.52,1.55,Charlotte Hornets,Sacramento Kings,88.0,114.0,-26.0,False
2012-04-22,1.55,2.53,Detroit Pistons,Toronto Raptors,76.0,73.0,3.0,True
2012-04-22,1.46,2.82,Miami Heat,Houston Rockets,97.0,88.0,9.0,True
2012-04-22,1.98,1.84,Los Angeles Lakers,Oklahoma City Thunder,114.0,106.0,8.0,True
2012-04-22,1.69,2.21,Atlanta Hawks,New York Knicks,112.0,113.0,-1.0,False
2012-04-21,1.19,5.02,Utah Jazz,Orlando Magic,117.0,107.0,10.0,True
