Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS
2019-06-13,1.72,2.19,Golden State Warriors,Toronto Raptors,110,114
2019-06-10,1.96,1.87,Toronto Raptors,Golden State Warriors,105,106
2019-06-07,1.47,2.78,Golden State Warriors,Toronto Raptors,92,105
2019-06-05,1.66,2.27,Golden State Warriors,Toronto Raptors,109,123
2019-06-02,1.75,2.13,Toronto Raptors,Golden State Warriors,104,109
2019-05-30,1.78,2.09,Toronto Raptors,Golden State Warriors,118,109
2019-05-25,1.78,2.09,Toronto Raptors,Milwaukee Bucks,100,94
2019-05-23,1.3,3.66,Milwaukee Bucks,Toronto Raptors,99,105
2019-05-21,2.28,1.66,Toronto Raptors,Milwaukee Bucks,120,102
2019-05-20,2.1,1.77,Portland Trail Blazers,Golden State Warriors,117,119
2019-05-19,1.73,2.16,Toronto Raptors,Milwaukee Bucks,118,112
2019-05-18,1.7,2.21,Portland Trail Blazers,Golden State Warriors,99,110
2019-05-17,1.38,3.15,Milwaukee Bucks,Toronto Raptors,125,103
2019-05-16,1.31,3.57,Golden State Warriors,Portland Trail Blazers,114,111
2019-05-15,1.35,3.35,Milwaukee Bucks,Toronto Raptors,108,100
2019-05-14,1.31,3.63,Golden State Warriors,Portland Trail Blazers,116,94
2019-05-12,1.39,3.09,Toronto Raptors,Philadelphia 76ers,92,90
2019-05-12,1.4,3.05,Denver Nuggets,Portland Trail Blazers,96,100
2019-05-10,1.29,3.69,Houston Rockets,Golden State Warriors,113,118
2019-05-09,1.58,2.48,Portland Trail Blazers,Denver Nuggets,119,108
2019-05-09,2.01,1.84,Philadelphia 76ers,Toronto Raptors,112,101
2019-05-08,1.39,3.09,Golden State Warriors,Houston Rockets,104,99
2019-05-08,1.25,4.15,Milwaukee Bucks,Boston Celtics,116,91
2019-05-07,1.46,2.77,Denver Nuggets,Portland Trail Blazers,124,98
2019-05-07,1.38,3.13,Toronto Raptors,Philadelphia 76ers,125,89
2019-05-06,1.91,1.93,Houston Rockets,Golden State Warriors,112,108
2019-05-06,1.87,1.97,Boston Celtics,Milwaukee Bucks,101,113
2019-05-05,1.67,2.27,Portland Trail Blazers,Denver Nuggets,112,116
2019-05-05,1.73,2.16,Philadelphia 76ers,Toronto Raptors,96,101
2019-05-04,1.61,2.38,Houston Rockets,Golden State Warriors,126,121
2019-05-03,1.51,2.65,Portland Trail Blazers,Denver Nuggets,140,137
2019-05-03,1.83,2.02,Boston Celtics,Milwaukee Bucks,116,123
2019-05-02,2.04,1.81,Philadelphia 76ers,Toronto Raptors,116,95
2019-05-01,1.54,2.57,Denver Nuggets,Portland Trail Blazers,90,97
2019-04-30,1.45,2.82,Golden State Warriors,Houston Rockets,115,109
2019-04-30,1.29,3.75,Milwaukee Bucks,Boston Celtics,123,102
2019-04-29,1.55,2.54,Denver Nuggets,Portland Trail Blazers,121,113
2019-04-29,1.31,3.59,Toronto Raptors,Philadelphia 76ers,89,94
2019-04-28,1.39,3.11,Golden State Warriors,Houston Rockets,104,100
2019-04-28,1.28,3.85,Milwaukee Bucks,Boston Celtics,90,112
2019-04-27,1.38,3.16,Denver Nuggets,San Antonio Spurs,90,86
2019-04-27,1.38,3.19,Toronto Raptors,Philadelphia 76ers,108,95
2019-04-26,5.35,1.17,Los Angeles Clippers,Golden State Warriors,110,129
2019-04-25,1.69,2.22,San Antonio Spurs,Denver Nuggets,120,103
2019-04-24,1.05,11.45,Golden State Warriors,Los Angeles Clippers,121,129
2019-04-24,1.26,4.07,Houston Rockets,Utah Jazz,100,93
2019-04-23,1.56,2.52,Portland Trail Blazers,Oklahoma City Thunder,118,115
2019-04-23,1.45,2.83,Denver Nuggets,San Antonio Spurs,108,90
2019-04-23,1.25,4.12,Philadelphia 76ers,Brooklyn Nets,122,100
2019-04-23,1.13,6.39,Toronto Raptors,Orlando Magic,115,96
2019-04-22,2.19,1.71,Utah Jazz,Houston Rockets,107,91
2019-04-22,7.54,1.1,Detroit Pistons,Milwaukee Bucks,104,127
2019-04-21,1.44,2.89,Oklahoma City Thunder,Portland Trail Blazers,98,111
2019-04-21,2.9,1.43,Orlando Magic,Toronto Raptors,85,107
2019-04-21,4.83,1.2,Los Angeles Clippers,Golden State Warriors,105,113
2019-04-21,2.39,1.61,Indiana Pacers,Boston Celtics,106,110
2019-04-20,1.78,2.07,Utah Jazz,Houston Rockets,101,104
2019-04-20,4.63,1.21,Detroit Pistons,Milwaukee Bucks,103,119
2019-04-20,1.59,2.42,San Antonio Spurs,Denver Nuggets,103,117
2019-04-20,2.41,1.6,Brooklyn Nets,Philadelphia 76ers,108,112
2019-04-19,1.29,3.73,Oklahoma City Thunder,Portland Trail Blazers,120,108
2019-04-19,1.74,2.14,Indiana Pacers,Boston Celtics,96,104
2019-04-19,2.86,1.44,Orlando Magic,Toronto Raptors,93,98
2019-04-18,4.55,1.22,Los Angeles Clippers,Golden State Warriors,105,132
2019-04-18,1.54,2.55,San Antonio Spurs,Denver Nuggets,118,108
2019-04-18,2.05,1.81,Brooklyn Nets,Philadelphia 76ers,115,131
2019-04-17,1.36,3.29,Houston Rockets,Utah Jazz,118,98
2019-04-17,1.04,12.32,Milwaukee Bucks,Detroit Pistons,120,99
2019-04-17,1.3,3.63,Boston Celtics,Indiana Pacers,99,91
2019-04-16,1.87,1.97,Portland Trail Blazers,Oklahoma City Thunder,114,94
2019-04-16,1.34,3.4,Denver Nuggets,San Antonio Spurs,114,105
2019-04-16,1.14,6.19,Toronto Raptors,Orlando Magic,111,82
2019-04-15,1.06,10.09,Golden State Warriors,Los Angeles Clippers,131,135
2019-04-15,1.24,4.24,Philadelphia 76ers,Brooklyn Nets,145,123
2019-04-14,1.38,3.14,Houston Rockets,Utah Jazz,122,90
2019-04-14,1.05,10.81,Milwaukee Bucks,Detroit Pistons,121,86
2019-04-14,1.66,2.29,Portland Trail Blazers,Oklahoma City Thunder,104,99
2019-04-14,1.28,3.76,Boston Celtics,Indiana Pacers,84,74
2019-04-13,1.41,2.98,Denver Nuggets,San Antonio Spurs,96,101
2019-04-13,1.07,9.21,Golden State Warriors,Los Angeles Clippers,121,104
2019-04-13,1.2,4.74,Toronto Raptors,Orlando Magic,101,104
2019-04-13,1.34,3.42,Philadelphia 76ers,Brooklyn Nets,102,111
2019-04-10,1.1,7.23,Denver Nuggets,Minnesota Timberwolves,99,95
2019-04-10,1.3,3.64,Los Angeles Clippers,Utah Jazz,143,137
2019-04-10,1.64,2.31,Portland Trail Blazers,Sacramento Kings,136,131
2019-04-10,1.44,2.85,Atlanta Hawks,Indiana Pacers,134,135
2019-04-10,1.49,2.69,Brooklyn Nets,Miami Heat,113,94
2019-04-10,1.56,2.49,Charlotte Hornets,Orlando Magic,114,122
2019-04-10,2.82,1.45,Memphis Grizzlies,Golden State Warriors,132,117
2019-04-10,2.58,1.53,Milwaukee Bucks,Oklahoma City Thunder,116,127
2019-04-10,4.24,1.24,New York Knicks,Detroit Pistons,89,115
2019-04-10,1.42,2.95,Philadelphia 76ers,Chicago Bulls,125,109
2019-04-10,1.07,9.39,San Antonio Spurs,Dallas Mavericks,105,94
2019-04-09,4.78,1.2,Los Angeles Lakers,Portland Trail Blazers,101,104
2019-04-09,2.29,1.66,Oklahoma City Thunder,Houston Rockets,112,111
2019-04-09,1.78,2.07,Utah Jazz,Denver Nuggets,118,108
2019-04-09,1.26,4.04,Dallas Mavericks,Phoenix Suns,120,109
2019-04-09,1.78,2.09,Chicago Bulls,New York Knicks,86,96
2019-04-09,3.77,1.28,Minnesota Timberwolves,Toronto Raptors,100,120
2019-04-09,4.7,1.21,New Orleans Pelicans,Golden State Warriors,103,112
2019-04-09,1.39,3.12,Miami Heat,Philadelphia 76ers,122,99
2019-04-09,4.24,1.24,Cleveland Cavaliers,Charlotte Hornets,97,124
2019-04-09,1.09,7.93,Detroit Pistons,Memphis Grizzlies,100,93
2019-04-09,1.5,2.67,Washington Wizards,Boston Celtics,110,116
2019-04-07,7.02,1.11,Los Angeles Lakers,Utah Jazz,113,109
2019-04-07,1.25,4.1,Portland Trail Blazers,Denver Nuggets,115,108
2019-04-07,1.12,6.79,Sacramento Kings,New Orleans Pelicans,129,133
2019-04-07,1.12,6.51,Golden State Warriors,Los Angeles Clippers,131,104
2019-04-07,1.57,2.47,Boston Celtics,Orlando Magic,108,116
2019-04-07,2.44,1.59,New York Knicks,Washington Wizards,113,110
2019-04-07,1.02,17.61,Houston Rockets,Phoenix Suns,149,113
2019-04-07,1.12,6.75,Milwaukee Bucks,Atlanta Hawks,115,107
2019-04-07,1.96,1.87,Memphis Grizzlies,Dallas Mavericks,127,129
2019-04-07,1.71,2.18,Indiana Pacers,Brooklyn Nets,96,108
2019-04-07,1.35,3.27,Detroit Pistons,Charlotte Hornets,91,104
2019-04-07,3.22,1.36,Minnesota Timberwolves,Oklahoma City Thunder,126,132
2019-04-07,4.21,1.24,Cleveland Cavaliers,San Antonio Spurs,90,112
2019-04-07,1.42,2.99,Toronto Raptors,Miami Heat,117,109
2019-04-06,5.25,1.18,Chicago Bulls,Philadelphia 76ers,96,116
2019-04-06,1.63,2.33,Milwaukee Bucks,Brooklyn Nets,128,133
2019-04-05,1.4,3.05,Denver Nuggets,Portland Trail Blazers,119,110
2019-04-05,1.04,12.29,Golden State Warriors,Cleveland Cavaliers,120,114
2019-04-05,1.12,6.41,Los Angeles Clippers,Los Angeles Lakers,117,122
2019-04-05,2.2,1.69,Phoenix Suns,New Orleans Pelicans,133,126
2019-04-05,1.18,5.11,Utah Jazz,Sacramento Kings,119,98
2019-04-05,1.56,2.5,Dallas Mavericks,Memphis Grizzlies,112,122
2019-04-05,1.02,16.57,Houston Rockets,New York Knicks,120,96
2019-04-05,2.01,1.83,Indiana Pacers,Boston Celtics,97,117
2019-04-05,2.49,1.56,Minnesota Timberwolves,Miami Heat,111,109
2019-04-05,1.4,3.02,Oklahoma City Thunder,Detroit Pistons,123,110
2019-04-05,3.06,1.4,Charlotte Hornets,Toronto Raptors,113,111
2019-04-05,1.23,4.34,Orlando Magic,Atlanta Hawks,149,113
2019-04-05,3.24,1.36,Washington Wizards,San Antonio Spurs,112,129
2019-04-04,9.01,1.07,Los Angeles Lakers,Golden State Warriors,90,108
2019-04-04,1.19,4.95,Sacramento Kings,Cleveland Cavaliers,117,104
2019-04-04,2.67,1.49,Philadelphia 76ers,Milwaukee Bucks,122,128
2019-04-03,2.19,1.71,Los Angeles Clippers,Houston Rockets,103,135
2019-04-03,5.73,1.15,Phoenix Suns,Utah Jazz,97,118
2019-04-03,1.14,5.92,Portland Trail Blazers,Memphis Grizzlies,116,89
2019-04-03,1.5,2.68,Denver Nuggets,San Antonio Spurs,113,85
2019-04-03,1.73,2.16,Dallas Mavericks,Minnesota Timberwolves,108,110
2019-04-03,2.65,1.51,New Orleans Pelicans,Charlotte Hornets,109,115
2019-04-03,2.6,1.52,Atlanta Hawks,Philadelphia 76ers,130,122
2019-04-03,2.12,1.75,Brooklyn Nets,Toronto Raptors,105,115
2019-04-03,1.92,1.92,Miami Heat,Boston Celtics,102,112
2019-04-03,1.7,2.19,Detroit Pistons,Indiana Pacers,89,108
2019-04-03,1.08,8.5,Orlando Magic,New York Knicks,114,100
2019-04-03,1.18,5.05,Washington Wizards,Chicago Bulls,114,115
2019-04-02,1.24,4.15,Golden State Warriors,Denver Nuggets,116,102
