Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS
2020-10-11,3.01,1.42,Miami Heat,Los Angeles Lakers,93,106
2020-10-09,1.31,3.61,Los Angeles Lakers,Miami Heat,108,111
2020-10-06,3.76,1.30,Miami Heat,Los Angeles Lakers,96,102
2020-10-04,4.40,1.23,Miami Heat,Los Angeles Lakers,115,104
2020-10-02,1.17,5.43,Los Angeles Lakers,Miami Heat,124,114
2020-09-30,1.53,2.63,Los Angeles Lakers,Miami Heat,116,98
2020-09-27,2.26,1.69,Miami Heat,Boston Celtics,125,113
2020-09-26,1.47,2.79,Los Angeles Lakers,Denver Nuggets,117,107
2020-09-25,1.63,2.37,Boston Celtics,Miami Heat,121,108
2020-09-24,3.04,1.41,Denver Nuggets,Los Angeles Lakers,108,114
2020-09-23,2.36,1.63,Miami Heat,Boston Celtics,112,109
2020-09-22,3.13,1.39,Denver Nuggets,Los Angeles Lakers,114,106
2020-09-20,1.33,3.51,Los Angeles Lakers,Denver Nuggets,105,103
2020-09-19,2.39,1.62,Miami Heat,Boston Celtics,106,117
2020-09-18,1.34,3.40,Los Angeles Lakers,Denver Nuggets,126,114
2020-09-17,1.68,2.26,Boston Celtics,Miami Heat,101,106
2020-09-15,1.31,3.61,Los Angeles Clippers,Denver Nuggets,89,104
2020-09-15,1.77,2.12,Boston Celtics,Miami Heat,114,117 
2020-09-13,4.01,1.27,Denver Nuggets,Los Angeles Clippers,111,98
2020-09-12,1.40,3.08,Los Angeles Lakers,Houston Rockets,119,96
2020-09-11,2.25,1.69,Toronto Raptors,Boston Celtics,87,92
2020-09-11,1.25,4.22,Los Angeles Clippers,Denver Nuggets,105,111
2020-09-10,2.76,1.48,Houston Rockets,Los Angeles Lakers,100,110
2020-09-09,3.57,1.32,Denver Nuggets,Los Angeles Clippers,85,96
2020-09-09,1.69,2.25,Boston Celtics,Toronto Raptors,122,125 
2020-09-08,2.53,1.56,Houston Rockets,Los Angeles Lakers,102,112
2020-09-08,2.81,1.47,Milwaukee Bucks,Miami Heat,94,103
2020-09-07,4.46,1.23,Denver Nuggets,Los Angeles Clippers,107,113
2020-09-07,2.04,1.82,Toronto Raptors,Boston Celtics,89,111
2020-09-06,1.42,2.99,Los Angeles Lakers,Houston Rockets,117,109
2020-09-06,2.06,1.81,Miami Heat,Milwaukee Bucks,115,118 
2020-09-05,1.23,4.46,Los Angeles Clippers,Denver Nuggets,101,110
2020-09-05,1.78,2.10,Boston Celtics,Toronto Raptors,93,100
2020-09-04,1.34,3.45,Los Angeles Lakers,Houston Rockets,97,112
2020-09-04,2.75,1.48,Miami Heat,Milwaukee Bucks,115,100
2020-09-03,1.22,4.65,Los Angeles Clippers,Denver Nuggets,120,97
2020-09-03,2.21,1.71,Boston Celtics,Toronto Raptors,103,104
2020-09-02,1.46,2.83,Houston Rockets,Oklahoma City Thunder,104,102
2020-09-02,1.42,2.99,Milwaukee Bucks,Miami Heat,114,116
2020-09-01,1.83,2.03,Denver Nuggets,Utah Jazz,80,78
2020-09-01,1.82,2.04,Toronto Raptors,Boston Celtics,99,102
2020-08-31,2.93,1.44,Oklahoma City Thunder,Houston Rockets,104,100
2020-08-31,1.47,2.79,Milwaukee Bucks,Miami Heat,104,115
2020-08-30,1.72,2.19,Utah Jazz,Denver Nuggets,107,119
2020-08-30,4.80,1.21,Dallas Mavericks,Los Angeles Clippers,97,111
2020-08-30,1.76,2.09,Toronto Raptors,Boston Celtics,94,112
2020-08-29,1.09,8.56,Los Angeles Lakers,Portland Trail Blazers,131,122
2020-08-29,1.49,2.74,Houston Rockets,Oklahoma City Thunder,114,80
2020-08-29,1.10,7.87,Milwaukee Bucks,Orlando Magic,118,104
2020-08-25,1.27,4.03,Los Angeles Clippers,Dallas Mavericks,154,111
2020-08-25,2.19,1.73,Denver Nuggets,Utah Jazz,117,107
2020-08-24,3.78,1.29,Portland Trail Blazers,Los Angeles Lakers,115,135
2020-08-24,1.37,3.24,Miami Heat,Indiana Pacers,99,87
2020-08-24,2.25,1.69,Oklahoma City Thunder,Houston Rockets,117,114
2020-08-24,8.09,1.10,Orlando Magic,Milwaukee Bucks,106,121
2020-08-23,1.63,2.37,Utah Jazz,Denver Nuggets,129,127
2020-08-23,8.63,1.09,Brooklyn Nets,Toronto Raptors,122,150
2020-08-23,3.49,1.33,Dallas Mavericks,Los Angeles Clippers,135,133 
2020-08-23,3.50,1.33,Philadelphia 76ers,Boston Celtics,106,110
2020-08-22,3.81,1.29,Portland Trail Blazers,Los Angeles Lakers,108,116
2020-08-22,2.13,1.77,Oklahoma City Thunder,Houston Rockets,119,107 
2020-08-22,1.49,2.75,Miami Heat,Indiana Pacers,124,115
2020-08-22,7.65,1.10,Orlando Magic,Milwaukee Bucks,107,121
2020-08-21,2.80,1.47,Dallas Mavericks,Los Angeles Clippers,122,130
2020-08-21,2.98,1.43,Philadelphia 76ers,Boston Celtics,94,102
2020-08-21,1.87,1.99,Utah Jazz,Denver Nuggets,124,87
2020-08-21,5.71,1.16,Brooklyn Nets,Toronto Raptors,92,117
2020-08-20,1.35,3.36,Los Angeles Lakers,Portland Trail Blazers,111,88
2020-08-20,1.10,7.99,Milwaukee Bucks,Orlando Magic,111,96
2020-08-20,1.77,2.12,Houston Rockets,Oklahoma City Thunder,111,98
2020-08-20,2.54,1.57,Indiana Pacers,Miami Heat,100,109
2020-08-19,1.47,2.83,Los Angeles Clippers,Dallas Mavericks,114,127
2020-08-19,1.52,2.66,Boston Celtics,Philadelphia 76ers,128,101
2020-08-19,1.64,2.37,Denver Nuggets,Utah Jazz,105,124
2020-08-19,1.13,6.48,Toronto Raptors,Brooklyn Nets,104,99
2020-08-18,1.36,3.30,Los Angeles Lakers,Portland Trail Blazers,93,100
2020-08-18,1.97,1.90,Houston Rockets,Oklahoma City Thunder,123,108
2020-08-18,2.48,1.58,Indiana Pacers,Miami Heat,101,113
2020-08-18,1.07,9.84,Milwaukee Bucks,Orlando Magic,110,122
2020-08-17,1.35,3.37,Los Angeles Clippers,Dallas Mavericks,118,110
2020-08-17,1.39,3.18,Boston Celtics,Philadelphia 76ers,109,101
2020-08-17,1.20,4.99,Toronto Raptors,Brooklyn Nets,134,110
2020-08-17,1.54,2.62,Denver Nuggets,Utah Jazz,135,125 
2020-08-15,1.39,3.17,Portland Trail Blazers,Memphis Grizzlies,126,122
2020-08-14,1.70,2.24,Houston Rockets,Philadelphia 76ers,96,134
2020-08-14,1.53,2.68,Los Angeles Clippers,Oklahoma City Thunder,107,103 
2020-08-14,1.98,1.88,Indiana Pacers,Miami Heat,109,92
2020-08-14,2.15,1.75,Toronto Raptors,Denver Nuggets,117,109
2020-08-13,5.25,1.18,Brooklyn Nets,Portland Trail Blazers,133,134
2020-08-13,1.60,2.45,Orlando Magic,New Orleans Pelicans,133,127
2020-08-13,3.32,1.36,Utah Jazz,San Antonio Spurs,118,112
2020-08-13,1.61,2.43,Memphis Grizzlies,Milwaukee Bucks,119,106
2020-08-13,1.27,4.03,Phoenix Suns,Dallas Mavericks,128,102
