Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS
2021-03-27,1.47,2.77,Los Angeles Clippers,Philadelphia 76ers,122,112
2021-03-27,1.24,4.25,Sacramento Kings,Cleveland Cavaliers,100,98
2021-03-27,1.46,2.81,New Orleans Pelicans,Dallas Mavericks,112,103
2021-03-27,3.17,1.38,Oklahoma City Thunder,Boston Celtics,94,111
2021-03-27,1.24,4.32,Utah Jazz,Memphis Grizzlies,126,110
2021-03-27,1.86,2.0,San Antonio Spurs,Chicago Bulls,120,104
2021-03-27,2.14,1.74,Milwaukee Bucks,New York Knicks,96,102
2021-03-27,1.53,2.6,Minnesota Timberwolves,Houston Rockets,107,129
2021-03-27,1.45,2.85,Washington Wizards,Detroit Pistons,106,92
2021-03-26,1.56,2.52,Los Angeles Lakers,Cleveland Cavaliers,100,86
2021-03-26,3.26,1.36,Golden State Warriors,Atlanta Hawks,108,124
2021-03-26,1.19,5.07,Utah Jazz,Memphis Grizzlies,117,114
2021-03-26,2.03,1.83,Dallas Mavericks,Indiana Pacers,94,109
2021-03-26,2.07,1.8,Charlotte Hornets,Miami Heat,110,105
2021-03-26,1.57,2.5,Minnesota Timberwolves,Houston Rockets,107,101
2021-03-26,2.17,1.72,New Orleans Pelicans,Denver Nuggets,108,113
2021-03-26,4.77,1.2,Orlando Magic,Portland Trail Blazers,105,112
2021-03-26,1.44,2.89,Milwaukee Bucks,Boston Celtics,114,122
2021-03-26,2.37,1.62,Toronto Raptors,Phoenix Suns,100,104
2021-03-26,3.21,1.37,Detroit Pistons,Brooklyn Nets,111,113
2021-03-25,2.99,1.42,Los Angeles Lakers,Philadelphia 76ers,101,109
2021-03-25,1.55,2.54,Sacramento Kings,Golden State Warriors,141,119
2021-03-25,2.0,1.84,San Antonio Spurs,Los Angeles Clippers,85,98
2021-03-25,2.2,1.71,Miami Heat,Portland Trail Blazers,122,125
2021-03-25,1.69,2.23,New York Knicks,Washington Wizards,106,102
2021-03-24,2.27,1.67,Sacramento Kings,Atlanta Hawks,110,108
2021-03-24,1.1,7.74,Utah Jazz,Brooklyn Nets,118,88
2021-03-24,2.98,1.42,San Antonio Spurs,Los Angeles Clippers,101,134
2021-03-24,1.33,3.43,Chicago Bulls,Cleveland Cavaliers,94,103
2021-03-24,2.47,1.58,Houston Rockets,Charlotte Hornets,97,122
2021-03-24,3.83,1.28,Minnesota Timberwolves,Dallas Mavericks,108,128
2021-03-24,3.29,1.36,Oklahoma City Thunder,Memphis Grizzlies,107,116
2021-03-24,4.63,1.21,Orlando Magic,Phoenix Suns,112,111
2021-03-24,1.37,3.23,Milwaukee Bucks,Boston Celtics,121,119
2021-03-24,2.05,1.81,Toronto Raptors,Denver Nuggets,135,111
2021-03-24,1.31,3.57,Indiana Pacers,Detroit Pistons,116,111
2021-03-23,2.5,1.57,Golden State Warriors,Philadelphia 76ers,98,108
2021-03-23,1.73,2.16,Portland Trail Blazers,Brooklyn Nets,112,116
2021-03-23,2.09,1.78,Miami Heat,Phoenix Suns,100,110
2021-03-23,1.45,2.86,New Orleans Pelicans,Los Angeles Lakers,128,111
2021-03-23,1.69,2.24,New York Knicks,Washington Wizards,131,113
2021-03-23,3.6,1.31,Orlando Magic,Denver Nuggets,99,110
2021-03-22,1.42,2.96,Los Angeles Clippers,Atlanta Hawks,119,110
2021-03-22,4.64,1.21,Chicago Bulls,Utah Jazz,95,120
2021-03-22,4.01,1.26,Houston Rockets,Toronto Raptors,117,99
2021-03-22,1.37,3.23,Milwaukee Bucks,Indiana Pacers,140,113
2021-03-22,1.54,2.57,Memphis Grizzlies,Boston Celtics,132,126
2021-03-22,1.49,2.71,San Antonio Spurs,Charlotte Hornets,97,100
2021-03-22,1.5,2.69,Minnesota Timberwolves,Oklahoma City Thunder,103,112
2021-03-22,2.52,1.56,Cleveland Cavaliers,Sacramento Kings,105,119
2021-03-21,1.19,4.98,Phoenix Suns,Los Angeles Lakers,111,94
2021-03-21,2.08,1.79,Portland Trail Blazers,Dallas Mavericks,92,132
2021-03-21,1.97,1.87,New York Knicks,Philadelphia 76ers,100,101
2021-03-21,1.25,4.15,Brooklyn Nets,Washington Wizards,113,106
2021-03-21,3.43,1.33,Cleveland Cavaliers,Toronto Raptors,116,105
2021-03-21,2.33,1.64,Detroit Pistons,Chicago Bulls,86,100
2021-03-21,1.25,4.14,Boston Celtics,Orlando Magic,112,96
2021-03-21,1.39,3.11,Denver Nuggets,New Orleans Pelicans,108,113
2021-03-21,1.5,2.68,Houston Rockets,Oklahoma City Thunder,112,114
2021-03-21,1.63,2.36,Miami Heat,Indiana Pacers,106,109
2021-03-20,1.22,4.61,Los Angeles Clippers,Charlotte Hornets,125,98
2021-03-20,1.13,6.32,Milwaukee Bucks,San Antonio Spurs,120,113
2021-03-20,1.39,3.13,Memphis Grizzlies,Golden State Warriors,111,103
2021-03-20,1.55,2.54,Philadelphia 76ers,Sacramento Kings,129,105
2021-03-20,1.59,2.44,Los Angeles Lakers,Atlanta Hawks,94,99
2021-03-19,1.15,5.79,Phoenix Suns,Minnesota Timberwolves,113,101
2021-03-19,2.22,1.69,Portland Trail Blazers,Dallas Mavericks,125,119
2021-03-19,1.34,3.41,Denver Nuggets,Chicago Bulls,131,127
2021-03-19,1.73,2.16,Houston Rockets,Detroit Pistons,100,113
2021-03-19,1.38,3.16,Memphis Grizzlies,Golden State Warriors,103,116
2021-03-19,1.55,2.54,Miami Heat,Indiana Pacers,110,137
2021-03-19,5.37,1.17,Orlando Magic,Brooklyn Nets,121,113
2021-03-19,2.63,1.52,Toronto Raptors,Utah Jazz,112,115
2021-03-19,1.35,3.33,Boston Celtics,Sacramento Kings,96,107
2021-03-19,2.7,1.5,Cleveland Cavaliers,San Antonio Spurs,110,116
2021-03-18,1.33,3.43,Los Angeles Lakers,Charlotte Hornets,116,105
2021-03-18,1.15,5.81,Phoenix Suns,Minnesota Timberwolves,119,123
2021-03-18,1.84,2.01,Portland Trail Blazers,New Orleans Pelicans,101,93
2021-03-18,1.29,3.77,Atlanta Hawks,Oklahoma City Thunder,116,93
2021-03-18,1.5,2.7,New York Knicks,Orlando Magic,94,93
2021-03-18,5.59,1.16,Washington Wizards,Utah Jazz,131,122
2021-03-17,2.15,1.74,Dallas Mavericks,Los Angeles Clippers,105,89
2021-03-17,1.38,3.17,Denver Nuggets,Charlotte Hornets,129,104
2021-03-17,1.96,1.89,Memphis Grizzlies,Miami Heat,89,85
2021-03-17,1.81,2.05,Chicago Bulls,San Antonio Spurs,99,106
2021-03-17,3.6,1.31,Cleveland Cavaliers,Boston Celtics,117,110
2021-03-17,5.74,1.15,Houston Rockets,Golden State Warriors,94,108
2021-03-17,3.03,1.41,Detroit Pistons,Toronto Raptors,116,112
2021-03-17,1.81,2.06,Indiana Pacers,Brooklyn Nets,115,124
2021-03-17,2.98,1.42,Philadelphia 76ers,Milwaukee Bucks,105,109
2021-03-17,1.89,1.95,Washington Wizards,Sacramento Kings,119,121
2021-03-16,1.29,3.76,Los Angeles Lakers,Minnesota Timberwolves,137,121
2021-03-16,1.79,2.08,Portland Trail Blazers,New Orleans Pelicans,125,124
2021-03-16,1.36,3.27,Chicago Bulls,Oklahoma City Thunder,123,102
2021-03-16,1.16,5.52,Miami Heat,Cleveland Cavaliers,113,98
2021-03-16,1.34,3.41,Philadelphia 76ers,New York Knicks,99,96
2021-03-16,4.13,1.25,Houston Rockets,Atlanta Hawks,107,119
