Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Miami Heat,54,28,.659,—,102.2,97.4,4.15,6.0,32.0,9.0,22.0,19.0,34.0,18.0,20.0,10.0,9.0,9.0,13.0,5.0,12.0,4.0,6.0,4.0,8.0,2.0,6.0,4.0,37.0,14.0,17.0,14.0,8.0,7.0,29.0,10.0,1.0,1.0,12.0,2.0,11.0,4.0,8.0,6.0,9.0,1.0,10.0,8.0,3.0,6.0,4.76,112.13,106.75,5.38,4.15,112.15,107.42,4.73
Washington Wizards,44,38,.537,10.0,100.7,99.4,0.48,15.0,22.0,19.0,22.0,19.0,33.0,19.0,11.0,19.0,13.0,5.0,10.0,8.0,10.0,6.0,4.0,6.0,5.0,5.0,2.0,8.0,25.0,27.0,19.0,11.0,5.0,9.0,19.0,14.0,0.0,1.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,5.0,8.0,8.0,6.0,2.0,1.27,106.75,105.45,1.30,0.47,106.46,105.99,0.47
Charlotte Hornets,43,39,.524,11.0,96.9,97.1,-0.89,16.0,25.0,16.0,18.0,23.0,30.0,22.0,13.0,17.0,11.0,7.0,13.0,5.0,6.0,10.0,4.0,6.0,6.0,4.0,3.0,7.0,23.0,30.0,20.0,9.0,8.0,8.0,18.0,19.0,0.0,1.0,8.0,8.0,6.0,9.0,7.0,9.0,6.0,4.0,9.0,7.0,7.0,1.0,-0.22,104.31,104.61,-0.29,-0.89,104.04,105.03,-0.99
Atlanta Hawks,38,44,.463,16.0,101.0,101.5,-0.88,18.0,24.0,17.0,14.0,27.0,28.0,24.0,10.0,20.0,10.0,8.0,10.0,8.0,8.0,8.0,4.0,6.0,4.0,6.0,2.0,8.0,25.0,26.0,13.0,18.0,8.0,9.0,15.0,16.0,0.0,1.0,9.0,8.0,9.0,5.0,6.0,7.0,2.0,10.0,6.0,10.0,6.0,3.0,-0.48,106.71,107.26,-0.56,-0.88,106.74,107.71,-0.97
Orlando Magic,23,59,.280,31.0,96.5,102.0,-5.88,28.0,19.0,22.0,4.0,37.0,17.0,35.0,6.0,24.0,7.0,11.0,6.0,12.0,4.0,12.0,3.0,7.0,2.0,8.0,1.0,9.0,16.0,38.0,7.0,21.0,5.0,7.0,10.0,30.0,0.0,2.0,6.0,8.0,4.0,11.0,3.0,14.0,5.0,7.0,3.0,11.0,2.0,6.0,-5.44,102.14,108.10,-5.96,-5.88,102.06,108.48,-6.41
Oklahoma City Thunder,59,23,.720,—,106.2,99.8,6.66,2.0,34.0,7.0,25.0,16.0,23.0,7.0,36.0,16.0,8.0,2.0,8.0,2.0,7.0,3.0,11.0,5.0,12.0,6.0,13.0,5.0,43.0,12.0,16.0,11.0,10.0,4.0,33.0,8.0,1.0,0.0,10.0,3.0,14.0,3.0,13.0,4.0,6.0,5.0,10.0,4.0,5.0,4.0,6.34,111.32,104.60,6.71,6.65,111.29,104.26,7.04
Portland Trail Blazers,54,28,.659,5.0,106.7,102.8,4.44,7.0,31.0,10.0,23.0,18.0,23.0,7.0,31.0,21.0,9.0,1.0,9.0,1.0,5.0,5.0,13.0,3.0,10.0,8.0,8.0,10.0,36.0,17.0,18.0,11.0,8.0,9.0,24.0,13.0,0.0,1.0,13.0,2.0,12.0,4.0,8.0,6.0,7.0,5.0,8.0,9.0,6.0,1.0,3.99,112.03,107.80,4.22,4.43,112.17,107.49,4.68
Minnesota Timberwolves,40,42,.488,19.0,106.9,104.3,3.10,17.0,24.0,17.0,16.0,25.0,17.0,13.0,23.0,29.0,5.0,5.0,7.0,3.0,5.0,5.0,7.0,9.0,7.0,11.0,9.0,9.0,25.0,28.0,15.0,14.0,5.0,6.0,26.0,18.0,1.0,0.0,8.0,9.0,6.0,7.0,8.0,7.0,5.0,6.0,8.0,8.0,4.0,5.0,2.67,109.41,106.70,2.70,3.10,109.40,106.25,3.15
Denver Nuggets,36,46,.439,23.0,104.4,106.5,-1.40,20.0,22.0,19.0,14.0,27.0,16.0,14.0,20.0,32.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,11.0,8.0,10.0,7.0,11.0,24.0,27.0,12.0,19.0,8.0,5.0,16.0,24.0,0.0,1.0,9.0,5.0,5.0,10.0,8.0,7.0,3.0,9.0,7.0,10.0,4.0,4.0,-2.15,106.59,108.79,-2.20,-1.40,106.75,108.17,-1.43
Utah Jazz,25,57,.305,34.0,95.0,102.2,-6.27,27.0,16.0,25.0,9.0,32.0,12.0,18.0,13.0,39.0,3.0,7.0,3.0,7.0,6.0,4.0,4.0,12.0,6.0,12.0,3.0,15.0,19.0,33.0,6.0,24.0,5.0,4.0,9.0,39.0,0.0,1.0,3.0,14.0,7.0,9.0,6.0,6.0,5.0,7.0,2.0,15.0,2.0,5.0,-7.17,104.15,112.00,-7.85,-6.27,104.43,111.32,-6.89
Los Angeles Clippers,57,25,.695,—,107.9,101.0,7.27,3.0,34.0,7.0,23.0,18.0,21.0,9.0,36.0,16.0,9.0,1.0,7.0,3.0,5.0,5.0,12.0,6.0,12.0,4.0,12.0,6.0,37.0,18.0,20.0,7.0,4.0,3.0,30.0,9.0,1.0,1.0,11.0,4.0,9.0,7.0,12.0,4.0,7.0,4.0,13.0,2.0,4.0,3.0,6.98,112.89,105.64,7.25,7.27,112.88,105.33,7.56
Golden State Warriors,51,31,.622,6.0,104.3,99.5,5.15,8.0,27.0,14.0,24.0,17.0,20.0,10.0,31.0,21.0,7.0,3.0,7.0,3.0,6.0,4.0,11.0,7.0,11.0,5.0,9.0,9.0,31.0,22.0,20.0,9.0,11.0,8.0,28.0,9.0,1.0,1.0,8.0,7.0,11.0,5.0,9.0,6.0,7.0,4.0,9.0,5.0,6.0,3.0,4.80,108.05,103.07,4.98,5.15,107.93,102.59,5.34
Phoenix Suns,48,34,.585,9.0,105.2,102.6,3.02,13.0,26.0,15.0,22.0,19.0,20.0,10.0,28.0,24.0,7.0,3.0,6.0,4.0,7.0,3.0,13.0,5.0,8.0,8.0,7.0,11.0,30.0,21.0,18.0,13.0,2.0,9.0,19.0,7.0,1.0,0.0,8.0,8.0,10.0,3.0,9.0,7.0,6.0,6.0,10.0,6.0,4.0,4.0,2.63,110.26,107.54,2.72,3.02,110.35,107.23,3.12
Sacramento Kings,28,54,.341,29.0,100.5,103.4,-2.08,24.0,17.0,24.0,11.0,30.0,13.0,17.0,15.0,37.0,5.0,5.0,4.0,6.0,4.0,6.0,6.0,12.0,3.0,13.0,6.0,12.0,18.0,35.0,10.0,19.0,4.0,9.0,12.0,26.0,1.0,0.0,3.0,10.0,6.0,10.0,5.0,11.0,5.0,7.0,6.0,10.0,2.0,6.0,-2.90,106.22,109.46,-3.24,-2.08,106.39,108.77,-2.37
Los Angeles Lakers,27,55,.329,30.0,103.0,109.2,-5.33,25.0,14.0,27.0,13.0,28.0,12.0,18.0,15.0,37.0,6.0,4.0,3.0,7.0,3.0,7.0,5.0,13.0,6.0,10.0,4.0,14.0,18.0,35.0,9.0,20.0,5.0,5.0,12.0,33.0,1.0,1.0,8.0,7.0,4.0,11.0,3.0,12.0,4.0,8.0,5.0,9.0,2.0,7.0,-6.29,104.89,111.01,-6.13,-5.33,105.23,110.38,-5.15
San Antonio Spurs,62,20,.756,—,105.4,97.6,8.00,1.0,32.0,9.0,30.0,11.0,24.0,6.0,38.0,14.0,8.0,2.0,7.0,3.0,9.0,1.0,11.0,7.0,15.0,3.0,12.0,4.0,38.0,15.0,24.0,5.0,7.0,0.0,35.0,12.0,1.0,0.0,13.0,3.0,11.0,4.0,8.0,6.0,9.0,3.0,16.0,0.0,4.0,4.0,7.72,111.09,102.93,8.16,7.99,110.98,102.53,8.45
Houston Rockets,54,28,.659,8.0,107.7,103.1,5.06,5.0,33.0,8.0,21.0,20.0,23.0,7.0,31.0,21.0,7.0,3.0,8.0,2.0,8.0,2.0,11.0,7.0,9.0,9.0,11.0,5.0,36.0,17.0,18.0,11.0,7.0,6.0,30.0,9.0,1.0,0.0,12.0,5.0,8.0,8.0,10.0,4.0,8.0,2.0,10.0,4.0,5.0,5.0,4.56,111.72,107.07,4.65,5.06,111.82,106.65,5.17
Memphis Grizzlies,50,32,.610,12.0,96.1,94.6,2.18,9.0,27.0,14.0,23.0,18.0,21.0,9.0,29.0,23.0,6.0,4.0,7.0,3.0,8.0,2.0,11.0,7.0,14.0,4.0,4.0,12.0,29.0,23.0,21.0,9.0,10.0,4.0,18.0,13.0,0.0,1.0,8.0,7.0,5.0,9.0,12.0,3.0,7.0,5.0,12.0,5.0,6.0,2.0,1.57,107.12,105.47,1.66,2.17,107.18,104.89,2.29
Dallas Mavericks,49,33,.598,13.0,104.8,102.4,2.91,10.0,26.0,15.0,23.0,18.0,20.0,10.0,29.0,23.0,5.0,5.0,9.0,1.0,6.0,4.0,10.0,8.0,10.0,8.0,9.0,7.0,32.0,22.0,17.0,11.0,11.0,11.0,23.0,10.0,1.0,0.0,9.0,8.0,8.0,5.0,9.0,8.0,9.0,3.0,8.0,6.0,5.0,3.0,2.40,111.95,109.24,2.71,2.90,112.16,108.95,3.21
New Orleans Pelicans,34,48,.415,28.0,99.7,102.4,-1.98,21.0,22.0,19.0,12.0,29.0,19.0,11.0,15.0,37.0,6.0,4.0,8.0,2.0,5.0,5.0,7.0,11.0,4.0,14.0,4.0,12.0,23.0,29.0,11.0,19.0,7.0,8.0,10.0,21.0,0.0,1.0,7.0,7.0,7.0,7.0,5.0,11.0,4.0,9.0,9.0,7.0,2.0,6.0,-2.71,107.98,110.90,-2.92,-1.98,108.18,110.35,-2.16
