Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Toronto Raptors,48,34,.585,—,101.3,98.0,2.55,12.0,26.0,15.0,22.0,19.0,32.0,20.0,16.0,14.0,11.0,5.0,13.0,5.0,8.0,10.0,6.0,4.0,3.0,7.0,7.0,3.0,28.0,24.0,20.0,10.0,3.0,8.0,24.0,6.0,1.0,0.0,5.0,9.0,8.0,6.0,11.0,6.0,7.0,5.0,10.0,6.0,6.0,2.0,3.24,109.77,106.15,3.62,2.55,109.65,106.76,2.89
Brooklyn Nets,44,38,.537,4.0,98.5,99.5,-1.58,14.0,28.0,13.0,16.0,25.0,26.0,26.0,18.0,12.0,9.0,7.0,7.0,11.0,10.0,8.0,5.0,5.0,6.0,4.0,7.0,3.0,24.0,27.0,20.0,11.0,8.0,3.0,17.0,20.0,0.0,1.0,5.0,11.0,5.0,9.0,10.0,3.0,7.0,5.0,12.0,4.0,5.0,5.0,-1.00,107.42,108.63,-1.21,-1.58,107.36,109.16,-1.80
New York Knicks,37,45,.451,11.0,98.6,99.4,-1.40,19.0,19.0,22.0,18.0,23.0,26.0,26.0,11.0,19.0,10.0,6.0,9.0,9.0,7.0,11.0,4.0,6.0,4.0,6.0,3.0,7.0,20.0,32.0,17.0,13.0,3.0,8.0,19.0,22.0,1.0,1.0,2.0,11.0,6.0,9.0,10.0,6.0,2.0,11.0,11.0,5.0,5.0,2.0,-0.79,109.27,109.97,-0.70,-1.40,109.25,110.58,-1.33
Boston Celtics,25,57,.305,23.0,96.2,100.7,-4.97,26.0,16.0,25.0,9.0,32.0,21.0,31.0,4.0,26.0,5.0,11.0,6.0,12.0,10.0,8.0,3.0,7.0,1.0,9.0,0.0,10.0,19.0,35.0,6.0,22.0,5.0,9.0,9.0,23.0,0.0,1.0,7.0,11.0,6.0,6.0,2.0,15.0,5.0,6.0,3.0,12.0,2.0,6.0,-4.46,103.82,108.63,-4.81,-4.98,103.69,109.03,-5.34
Philadelphia 76ers,19,63,.232,29.0,99.5,109.9,-10.66,29.0,10.0,31.0,9.0,32.0,14.0,38.0,5.0,25.0,5.0,11.0,4.0,14.0,5.0,13.0,2.0,8.0,2.0,8.0,1.0,9.0,15.0,39.0,4.0,24.0,6.0,3.0,4.0,46.0,1.0,0.0,5.0,11.0,3.0,10.0,6.0,11.0,0.0,11.0,1.0,15.0,3.0,5.0,-10.45,100.09,110.53,-10.44,-10.66,100.11,110.79,-10.68
Indiana Pacers,56,26,.683,—,96.7,92.3,3.63,4.0,35.0,6.0,21.0,20.0,38.0,14.0,18.0,12.0,15.0,3.0,12.0,4.0,11.0,7.0,6.0,4.0,7.0,3.0,5.0,5.0,40.0,12.0,16.0,14.0,4.0,3.0,29.0,17.0,2.0,0.0,13.0,1.0,10.0,4.0,10.0,5.0,9.0,3.0,8.0,10.0,4.0,3.0,4.40,104.70,100.05,4.65,3.63,104.25,100.42,3.83
Chicago Bulls,48,34,.585,8.0,93.7,91.8,1.20,11.0,27.0,14.0,21.0,20.0,35.0,17.0,13.0,17.0,12.0,6.0,11.0,5.0,12.0,6.0,3.0,7.0,6.0,4.0,4.0,6.0,27.0,25.0,21.0,9.0,6.0,5.0,27.0,19.0,1.0,1.0,6.0,7.0,5.0,10.0,11.0,4.0,9.0,4.0,10.0,6.0,6.0,2.0,1.85,103.49,101.40,2.09,1.19,103.12,101.72,1.40
Cleveland Cavaliers,33,49,.402,23.0,98.2,101.5,-3.86,22.0,19.0,22.0,14.0,27.0,21.0,31.0,12.0,18.0,8.0,10.0,7.0,9.0,6.0,12.0,6.0,4.0,5.0,5.0,1.0,9.0,20.0,33.0,13.0,16.0,7.0,5.0,13.0,27.0,1.0,0.0,4.0,12.0,5.0,9.0,6.0,9.0,8.0,6.0,6.0,9.0,3.0,4.0,-3.29,104.95,108.52,-3.56,-3.86,104.92,109.07,-4.16
Detroit Pistons,29,53,.354,27.0,101.0,104.7,-4.13,23.0,17.0,24.0,12.0,29.0,23.0,29.0,6.0,24.0,11.0,7.0,6.0,10.0,6.0,12.0,2.0,8.0,3.0,7.0,1.0,9.0,22.0,30.0,7.0,23.0,2.0,6.0,16.0,25.0,1.0,0.0,5.0,10.0,8.0,9.0,4.0,8.0,5.0,8.0,4.0,12.0,2.0,6.0,-3.66,106.60,110.51,-3.92,-4.14,106.66,111.07,-4.41
Milwaukee Bucks,15,67,.183,41.0,95.5,103.7,-8.41,30.0,10.0,31.0,5.0,36.0,12.0,40.0,3.0,27.0,5.0,13.0,4.0,12.0,3.0,15.0,1.0,9.0,2.0,8.0,0.0,10.0,9.0,43.0,6.0,24.0,4.0,5.0,4.0,33.0,0.0,1.0,3.0,12.0,4.0,11.0,1.0,14.0,3.0,8.0,3.0,14.0,1.0,7.0,-8.18,103.67,112.67,-9.00,-8.41,103.88,113.10,-9.23
