Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Boston Celtics,62,20,.756,—,100.9,93.4,7.44,3.0,35.0,6.0,27.0,14.0,41.0,11.0,21.0,9.0,15.0,1.0,12.0,6.0,14.0,4.0,7.0,3.0,6.0,4.0,8.0,2.0,44.0,11.0,18.0,9.0,7.0,3.0,35.0,6.0,2.0,0.0,14.0,2.0,12.0,3.0,11.0,4.0,8.0,4.0,9.0,6.0,6.0,1.0,7.51,111.25,103.02,8.24,7.44,111.21,103.05,8.16
Philadelphia 76ers,41,41,.500,21.0,97.4,97.3,0.16,16.0,24.0,17.0,17.0,24.0,25.0,27.0,16.0,14.0,6.0,10.0,10.0,8.0,9.0,9.0,4.0,6.0,7.0,3.0,5.0,5.0,27.0,24.0,14.0,17.0,6.0,9.0,15.0,19.0,1.0,1.0,6.0,9.0,6.0,8.0,10.0,5.0,6.0,6.0,9.0,6.0,3.0,6.0,0.07,108.79,108.79,0.00,0.16,108.89,108.79,0.10
Brooklyn Nets,34,48,.415,28.0,98.1,100.5,-2.31,21.0,19.0,22.0,15.0,26.0,23.0,29.0,11.0,19.0,8.0,8.0,6.0,12.0,9.0,9.0,4.0,6.0,4.0,6.0,3.0,7.0,24.0,29.0,10.0,19.0,6.0,8.0,18.0,24.0,1.0,0.0,8.0,7.0,6.0,10.0,6.0,10.0,5.0,5.0,4.0,12.0,4.0,4.0,-2.44,109.14,111.85,-2.71,-2.31,109.33,111.89,-2.56
Toronto Raptors,33,49,.402,29.0,99.0,101.9,-2.54,22.0,18.0,23.0,15.0,26.0,22.0,30.0,11.0,19.0,6.0,10.0,7.0,11.0,9.0,9.0,3.0,7.0,5.0,5.0,3.0,7.0,21.0,34.0,12.0,15.0,3.0,4.0,15.0,24.0,2.0,0.0,6.0,8.0,4.0,12.0,7.0,9.0,4.0,8.0,5.0,8.0,5.0,4.0,-2.82,107.72,110.69,-2.97,-2.53,107.99,110.66,-2.66
New York Knicks,32,50,.390,30.0,105.2,107.8,-2.33,23.0,20.0,21.0,12.0,29.0,20.0,32.0,12.0,18.0,5.0,11.0,6.0,12.0,9.0,9.0,3.0,7.0,3.0,7.0,6.0,4.0,21.0,31.0,11.0,19.0,1.0,4.0,12.0,20.0,1.0,1.0,7.0,7.0,4.0,10.0,9.0,7.0,3.0,10.0,5.0,11.0,3.0,4.0,-2.61,108.70,111.41,-2.71,-2.33,109.03,111.44,-2.41
Cleveland Cavaliers,66,16,.805,—,100.3,91.4,8.68,1.0,39.0,2.0,27.0,14.0,40.0,12.0,26.0,4.0,15.0,3.0,13.0,3.0,12.0,6.0,10.0,0.0,8.0,2.0,8.0,2.0,40.0,11.0,26.0,5.0,3.0,3.0,41.0,7.0,1.0,1.0,13.0,2.0,12.0,2.0,10.0,4.0,9.0,3.0,16.0,1.0,5.0,3.0,8.93,113.29,103.20,10.09,8.68,113.18,103.37,9.80
Chicago Bulls,41,41,.500,25.0,102.2,102.5,-0.16,15.0,28.0,13.0,13.0,28.0,24.0,28.0,17.0,13.0,9.0,9.0,9.0,7.0,6.0,12.0,4.0,6.0,8.0,2.0,5.0,5.0,23.0,30.0,18.0,11.0,4.0,8.0,18.0,19.0,1.0,1.0,7.0,8.0,6.0,9.0,7.0,9.0,6.0,6.0,9.0,7.0,5.0,1.0,-0.28,109.32,109.54,-0.22,-0.16,109.48,109.57,-0.09
Detroit Pistons,39,43,.476,27.0,94.2,94.7,-0.36,17.0,21.0,20.0,18.0,23.0,26.0,26.0,13.0,17.0,9.0,9.0,7.0,9.0,10.0,8.0,4.0,6.0,7.0,3.0,2.0,8.0,27.0,24.0,12.0,19.0,5.0,6.0,12.0,16.0,1.0,0.0,9.0,6.0,9.0,5.0,6.0,9.0,3.0,9.0,8.0,9.0,3.0,5.0,-0.49,108.21,108.79,-0.58,-0.36,108.34,108.78,-0.44
Indiana Pacers,36,46,.439,30.0,105.1,106.2,-0.76,18.0,25.0,16.0,11.0,30.0,23.0,29.0,13.0,17.0,8.0,10.0,7.0,9.0,8.0,10.0,4.0,6.0,6.0,4.0,3.0,7.0,21.0,33.0,15.0,13.0,9.0,12.0,9.0,15.0,0.0,1.0,6.0,9.0,4.0,11.0,9.0,8.0,6.0,7.0,7.0,7.0,4.0,3.0,-1.11,108.76,109.88,-1.12,-0.76,109.13,109.86,-0.73
Milwaukee Bucks,34,48,.415,32.0,99.3,100.4,-0.88,20.0,22.0,19.0,12.0,29.0,21.0,31.0,13.0,17.0,8.0,10.0,4.0,12.0,9.0,9.0,4.0,6.0,4.0,6.0,5.0,5.0,26.0,29.0,8.0,19.0,5.0,3.0,16.0,21.0,1.0,1.0,6.0,11.0,8.0,6.0,9.0,9.0,5.0,6.0,3.0,10.0,2.0,5.0,-1.09,107.44,108.61,-1.18,-0.87,107.60,108.54,-0.94
