Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Oklahoma City Thunder,60,22,.732,—,105.7,96.5,9.15,2.0,34.0,7.0,26.0,15.0,21.0,9.0,39.0,13.0,7.0,3.0,8.0,2.0,6.0,4.0,10.0,6.0,16.0,2.0,13.0,5.0,39.0,14.0,21.0,8.0,3.0,6.0,44.0,6.0,0.0,,13.0,4.0,11.0,2.0,11.0,5.0,7.0,4.0,12.0,5.0,6.0,2.0,9.21,113.30,103.35,9.95,9.15,113.21,103.33,9.89
Denver Nuggets,57,25,.695,3.0,106.1,101.1,5.37,4.0,38.0,3.0,19.0,22.0,19.0,11.0,38.0,14.0,5.0,5.0,10.0,0.0,4.0,6.0,11.0,5.0,14.0,4.0,13.0,5.0,33.0,21.0,24.0,4.0,11.0,7.0,28.0,8.0,0.0,1.0,8.0,8.0,9.0,6.0,12.0,3.0,8.0,4.0,13.0,2.0,7.0,1.0,5.09,111.23,105.97,5.26,5.37,111.34,105.76,5.58
Utah Jazz,43,39,.524,17.0,98.0,98.1,0.30,15.0,30.0,11.0,13.0,28.0,17.0,13.0,26.0,26.0,5.0,5.0,5.0,5.0,7.0,3.0,9.0,7.0,9.0,9.0,8.0,10.0,30.0,24.0,13.0,15.0,5.0,7.0,19.0,21.0,1.0,0.0,8.0,8.0,6.0,9.0,10.0,4.0,6.0,6.0,7.0,9.0,5.0,3.0,-0.09,107.42,107.50,-0.08,0.30,107.49,107.15,0.34
Portland Trail Blazers,33,49,.402,27.0,97.5,100.7,-2.53,21.0,22.0,19.0,11.0,30.0,15.0,15.0,18.0,34.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,10.0,5.0,13.0,7.0,11.0,25.0,28.0,8.0,21.0,9.0,6.0,13.0,24.0,1.0,0.0,5.0,10.0,9.0,4.0,8.0,8.0,3.0,9.0,7.0,9.0,0.0,9.0,-3.17,106.21,109.77,-3.56,-2.52,106.45,109.30,-2.85
Minnesota Timberwolves,31,51,.378,29.0,95.7,98.1,-1.83,22.0,20.0,21.0,11.0,30.0,14.0,16.0,17.0,35.0,4.0,6.0,7.0,3.0,3.0,7.0,4.0,12.0,5.0,13.0,8.0,10.0,19.0,31.0,12.0,20.0,3.0,10.0,15.0,26.0,0.0,,7.0,8.0,7.0,5.0,3.0,12.0,3.0,10.0,6.0,11.0,5.0,5.0,-2.37,103.61,106.23,-2.63,-1.83,103.66,105.70,-2.04
Los Angeles Clippers,56,26,.683,—,101.1,94.6,6.43,5.0,32.0,9.0,24.0,17.0,21.0,9.0,35.0,17.0,7.0,3.0,8.0,2.0,6.0,4.0,12.0,6.0,11.0,5.0,12.0,6.0,39.0,17.0,17.0,9.0,3.0,5.0,38.0,12.0,1.0,0.0,8.0,6.0,16.0,0.0,9.0,7.0,8.0,5.0,7.0,7.0,7.0,1.0,6.45,111.62,104.47,7.16,6.43,111.58,104.44,7.13
Golden State Warriors,47,35,.573,9.0,101.2,100.3,1.32,10.0,28.0,13.0,19.0,22.0,19.0,11.0,28.0,24.0,7.0,3.0,5.0,5.0,7.0,3.0,10.0,8.0,9.0,7.0,9.0,9.0,30.0,22.0,17.0,13.0,5.0,3.0,20.0,18.0,1.0,0.0,8.0,6.0,12.0,4.0,8.0,7.0,4.0,8.0,9.0,7.0,5.0,3.0,0.89,107.10,106.04,1.06,1.32,107.13,105.61,1.52
Los Angeles Lakers,45,37,.549,11.0,102.2,101.0,1.48,13.0,29.0,12.0,16.0,25.0,17.0,13.0,28.0,24.0,6.0,4.0,6.0,4.0,5.0,5.0,9.0,9.0,8.0,8.0,11.0,7.0,25.0,29.0,20.0,8.0,8.0,5.0,18.0,17.0,0.0,2.0,8.0,6.0,7.0,7.0,5.0,11.0,9.0,4.0,9.0,6.0,7.0,1.0,1.16,108.49,107.23,1.27,1.48,108.48,106.86,1.62
Sacramento Kings,28,54,.341,28.0,100.2,105.1,-4.26,25.0,20.0,21.0,8.0,33.0,14.0,16.0,14.0,38.0,4.0,6.0,4.0,6.0,6.0,4.0,5.0,13.0,7.0,9.0,2.0,16.0,19.0,35.0,9.0,19.0,7.0,3.0,12.0,31.0,0.0,1.0,4.0,10.0,7.0,8.0,6.0,11.0,3.0,9.0,7.0,8.0,1.0,7.0,-4.88,106.85,112.16,-5.30,-4.25,107.21,111.83,-4.62
Phoenix Suns,25,57,.305,31.0,95.2,101.6,-5.75,27.0,17.0,24.0,8.0,33.0,8.0,22.0,17.0,35.0,1.0,9.0,4.0,6.0,3.0,7.0,5.0,13.0,5.0,11.0,7.0,11.0,17.0,36.0,8.0,21.0,6.0,8.0,10.0,31.0,0.0,1.0,7.0,9.0,4.0,11.0,5.0,9.0,4.0,9.0,3.0,12.0,2.0,6.0,-6.46,102.00,108.82,-6.82,-5.75,102.20,108.24,-6.04
San Antonio Spurs,58,24,.707,—,103.0,96.6,6.67,3.0,35.0,6.0,23.0,18.0,25.0,5.0,33.0,19.0,8.0,2.0,9.0,1.0,8.0,2.0,9.0,9.0,12.0,6.0,12.0,4.0,42.0,12.0,16.0,12.0,9.0,5.0,31.0,10.0,1.0,0.0,12.0,4.0,12.0,4.0,12.0,3.0,8.0,3.0,10.0,4.0,3.0,6.0,6.40,109.11,102.26,6.85,6.67,109.05,101.90,7.14
Memphis Grizzlies,56,26,.683,2.0,93.4,89.3,4.32,6.0,32.0,9.0,24.0,17.0,22.0,8.0,34.0,18.0,8.0,2.0,8.0,2.0,6.0,4.0,12.0,6.0,12.0,6.0,10.0,6.0,33.0,18.0,23.0,8.0,6.0,4.0,28.0,9.0,0.0,1.0,12.0,1.0,7.0,7.0,10.0,7.0,9.0,2.0,11.0,6.0,7.0,2.0,4.15,105.95,101.22,4.74,4.33,105.72,100.79,4.93
Houston Rockets,45,37,.549,13.0,106.0,102.5,3.69,12.0,29.0,12.0,16.0,25.0,21.0,9.0,24.0,28.0,7.0,3.0,7.0,3.0,7.0,3.0,8.0,10.0,10.0,8.0,6.0,10.0,29.0,26.0,16.0,11.0,5.0,5.0,26.0,13.0,1.0,0.0,6.0,8.0,10.0,6.0,8.0,9.0,6.0,5.0,9.0,5.0,5.0,4.0,3.48,110.42,106.67,3.75,3.69,110.51,106.52,3.99
Dallas Mavericks,41,41,.500,17.0,101.1,101.7,-0.24,17.0,24.0,17.0,17.0,24.0,17.0,13.0,24.0,28.0,5.0,5.0,6.0,4.0,6.0,4.0,7.0,11.0,10.0,8.0,7.0,9.0,23.0,29.0,18.0,12.0,5.0,8.0,17.0,19.0,1.0,1.0,6.0,8.0,5.0,10.0,7.0,8.0,6.0,5.0,11.0,5.0,5.0,4.0,-0.60,106.66,107.14,-0.48,-0.24,106.74,106.82,-0.09
New Orleans Pelicans,27,55,.329,31.0,94.1,97.9,-3.12,26.0,16.0,25.0,11.0,30.0,12.0,18.0,15.0,37.0,3.0,7.0,5.0,5.0,4.0,6.0,5.0,13.0,5.0,13.0,5.0,11.0,19.0,34.0,8.0,21.0,7.0,5.0,10.0,27.0,0.0,1.0,4.0,9.0,3.0,13.0,8.0,8.0,5.0,8.0,6.0,9.0,1.0,7.0,-3.87,106.63,110.97,-4.34,-3.11,107.03,110.54,-3.51
