Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
New York Knicks,54,28,.659,—,100.0,95.7,3.73,7.0,31.0,10.0,23.0,18.0,37.0,15.0,17.0,13.0,10.0,6.0,12.0,6.0,15.0,3.0,6.0,4.0,5.0,5.0,6.0,4.0,32.0,18.0,22.0,10.0,7.0,5.0,31.0,12.0,0.0,,11.0,4.0,10.0,5.0,7.0,6.0,6.0,5.0,12.0,6.0,8.0,2.0,4.23,111.83,106.92,4.91,3.73,111.88,107.53,4.35
Brooklyn Nets,49,33,.598,5.0,96.9,95.1,1.25,8.0,26.0,15.0,23.0,18.0,36.0,16.0,13.0,17.0,11.0,5.0,13.0,5.0,12.0,6.0,5.0,5.0,5.0,5.0,3.0,7.0,31.0,22.0,18.0,11.0,9.0,4.0,23.0,17.0,0.0,,11.0,4.0,5.0,11.0,11.0,4.0,7.0,5.0,8.0,7.0,7.0,2.0,1.78,109.10,107.14,1.96,1.25,109.10,107.71,1.39
Boston Celtics,41,40,.506,12.5,96.5,96.7,-0.62,16.0,27.0,13.0,14.0,27.0,27.0,24.0,14.0,16.0,7.0,9.0,8.0,9.0,12.0,6.0,6.0,4.0,6.0,4.0,2.0,8.0,28.0,24.0,13.0,16.0,8.0,7.0,18.0,23.0,0.0,1.0,9.0,6.0,5.0,9.0,8.0,7.0,8.0,4.0,8.0,8.0,3.0,5.0,-0.22,104.07,104.40,-0.32,-0.62,103.77,104.51,-0.75
Philadelphia 76ers,34,48,.415,20.0,93.2,96.5,-3.51,19.0,23.0,18.0,11.0,30.0,22.0,30.0,12.0,18.0,7.0,9.0,7.0,11.0,8.0,10.0,3.0,7.0,5.0,5.0,4.0,6.0,22.0,29.0,12.0,19.0,4.0,5.0,13.0,24.0,1.0,0.0,9.0,6.0,4.0,11.0,5.0,9.0,3.0,8.0,8.0,9.0,4.0,5.0,-3.34,102.69,106.37,-3.68,-3.51,102.59,106.45,-3.86
Toronto Raptors,34,48,.415,20.0,97.2,98.7,-1.96,20.0,21.0,20.0,13.0,28.0,22.0,30.0,12.0,18.0,5.0,11.0,8.0,10.0,9.0,9.0,4.0,6.0,4.0,6.0,4.0,6.0,21.0,32.0,13.0,16.0,8.0,8.0,16.0,22.0,0.0,1.0,4.0,12.0,7.0,7.0,5.0,10.0,7.0,5.0,4.0,11.0,7.0,2.0,-1.48,106.58,107.98,-1.40,-1.95,106.51,108.45,-1.93
Indiana Pacers,49,32,.605,—,94.7,90.7,3.34,9.0,30.0,11.0,19.0,21.0,31.0,20.0,18.0,12.0,6.0,11.0,13.0,3.0,12.0,6.0,3.0,7.0,7.0,3.0,8.0,2.0,32.0,21.0,17.0,11.0,4.0,9.0,27.0,14.0,1.0,0.0,7.0,8.0,10.0,5.0,9.0,6.0,9.0,3.0,11.0,5.0,2.0,5.0,4.02,104.87,100.54,4.33,3.34,104.48,100.89,3.59
Chicago Bulls,45,37,.549,4.5,93.2,92.9,-0.02,11.0,24.0,17.0,21.0,20.0,34.0,18.0,11.0,19.0,13.0,5.0,9.0,7.0,12.0,6.0,4.0,6.0,5.0,5.0,2.0,8.0,30.0,22.0,15.0,15.0,11.0,7.0,16.0,16.0,1.0,0.0,6.0,7.0,9.0,6.0,12.0,4.0,5.0,8.0,7.0,7.0,5.0,5.0,0.32,104.23,103.87,0.36,-0.01,104.09,104.10,0.00
Milwaukee Bucks,38,44,.463,11.5,98.9,100.4,-1.83,18.0,21.0,20.0,17.0,24.0,24.0,28.0,14.0,16.0,11.0,7.0,7.0,9.0,6.0,12.0,4.0,6.0,7.0,3.0,3.0,7.0,26.0,25.0,12.0,19.0,7.0,5.0,13.0,25.0,0.0,,7.0,7.0,9.0,6.0,8.0,7.0,4.0,8.0,7.0,9.0,3.0,7.0,-1.50,104.28,106.02,-1.74,-1.82,104.20,106.29,-2.09
Detroit Pistons,29,53,.354,20.5,94.9,98.8,-4.33,23.0,18.0,23.0,11.0,30.0,25.0,27.0,4.0,26.0,6.0,12.0,8.0,8.0,11.0,7.0,1.0,9.0,2.0,8.0,1.0,9.0,21.0,33.0,8.0,20.0,6.0,10.0,15.0,29.0,0.0,1.0,5.0,11.0,6.0,10.0,6.0,7.0,6.0,8.0,1.0,13.0,5.0,3.0,-3.99,104.57,109.03,-4.46,-4.32,104.56,109.37,-4.82
Cleveland Cavaliers,24,58,.293,25.5,96.5,101.2,-4.87,28.0,14.0,27.0,10.0,31.0,18.0,34.0,6.0,24.0,5.0,13.0,3.0,13.0,10.0,8.0,3.0,7.0,2.0,8.0,1.0,9.0,16.0,37.0,8.0,21.0,6.0,11.0,7.0,27.0,1.0,0.0,3.0,12.0,3.0,13.0,6.0,8.0,7.0,5.0,2.0,12.0,2.0,8.0,-4.68,105.09,110.16,-5.07,-4.87,105.24,110.52,-5.28
Miami Heat,66,16,.805,—,102.9,95.0,7.03,1.0,37.0,4.0,29.0,12.0,41.0,11.0,25.0,5.0,14.0,4.0,12.0,6.0,15.0,1.0,8.0,2.0,8.0,2.0,9.0,1.0,36.0,14.0,30.0,2.0,9.0,3.0,39.0,8.0,1.0,0.0,10.0,3.0,10.0,5.0,8.0,5.0,12.0,1.0,17.0,1.0,8.0,1.0,7.87,113.43,104.77,8.67,7.03,113.28,105.53,7.75
Atlanta Hawks,44,38,.537,22.0,98.0,97.5,-0.08,14.0,25.0,16.0,19.0,22.0,29.0,23.0,15.0,15.0,7.0,11.0,11.0,7.0,11.0,5.0,6.0,4.0,5.0,5.0,4.0,6.0,29.0,22.0,15.0,16.0,5.0,5.0,19.0,20.0,0.0,,9.0,5.0,10.0,5.0,7.0,9.0,7.0,4.0,8.0,10.0,3.0,5.0,0.40,105.50,105.14,0.37,-0.07,105.39,105.54,-0.15
Washington Wizards,29,53,.354,37.0,93.2,95.8,-2.78,24.0,22.0,19.0,7.0,34.0,15.0,37.0,14.0,16.0,5.0,13.0,5.0,13.0,5.0,11.0,6.0,4.0,4.0,6.0,4.0,6.0,15.0,36.0,14.0,17.0,6.0,9.0,13.0,17.0,0.0,1.0,1.0,12.0,3.0,11.0,7.0,9.0,7.0,5.0,9.0,8.0,2.0,7.0,-2.54,100.78,103.61,-2.82,-2.78,100.56,103.64,-3.09
Charlotte Hornets,21,61,.256,45.0,93.4,102.7,-9.29,29.0,15.0,26.0,6.0,35.0,18.0,34.0,3.0,27.0,6.0,12.0,6.0,12.0,6.0,10.0,2.0,8.0,0.0,10.0,1.0,9.0,12.0,40.0,9.0,21.0,6.0,6.0,6.0,37.0,0.0,,7.0,8.0,1.0,15.0,3.0,11.0,2.0,10.0,4.0,12.0,4.0,5.0,-9.23,102.34,112.51,-10.17,-9.29,102.59,112.82,-10.23
Orlando Magic,20,62,.244,46.0,94.1,101.1,-7.12,30.0,12.0,29.0,8.0,33.0,10.0,42.0,10.0,20.0,2.0,16.0,5.0,13.0,3.0,13.0,3.0,7.0,6.0,4.0,1.0,9.0,15.0,37.0,5.0,25.0,2.0,9.0,8.0,30.0,0.0,,5.0,10.0,7.0,9.0,2.0,12.0,2.0,11.0,3.0,13.0,1.0,7.0,-6.99,102.09,109.79,-7.70,-7.12,102.05,109.89,-7.84
