Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Atlanta Hawks,60,22,.732,—,102.5,97.1,4.75,2.0,35.0,6.0,25.0,16.0,38.0,14.0,22.0,8.0,12.0,6.0,14.0,4.0,12.0,4.0,8.0,2.0,8.0,2.0,6.0,4.0,43.0,11.0,17.0,11.0,6.0,4.0,30.0,10.0,0.0,1.0,9.0,5.0,14.0,2.0,17.0,0.0,7.0,4.0,9.0,7.0,4.0,3.0,5.43,110.00,103.98,6.02,4.75,109.85,104.56,5.29
Washington Wizards,46,36,.561,14.0,98.5,97.8,0.17,12.0,29.0,12.0,17.0,24.0,30.0,22.0,16.0,14.0,11.0,7.0,9.0,9.0,10.0,6.0,6.0,4.0,4.0,6.0,6.0,4.0,33.0,21.0,13.0,15.0,9.0,4.0,21.0,14.0,1.0,1.0,9.0,4.0,12.0,4.0,9.0,8.0,3.0,9.0,7.0,7.0,5.0,3.0,0.72,104.56,103.73,0.83,0.17,104.38,104.13,0.25
Miami Heat,37,45,.451,23.0,94.7,97.3,-2.92,21.0,20.0,21.0,17.0,24.0,25.0,27.0,12.0,18.0,14.0,4.0,5.0,13.0,6.0,10.0,4.0,6.0,7.0,3.0,1.0,9.0,22.0,30.0,15.0,15.0,4.0,10.0,15.0,28.0,1.0,0.0,8.0,7.0,5.0,12.0,6.0,7.0,5.0,7.0,9.0,7.0,3.0,5.0,-2.60,104.86,107.91,-3.05,-2.92,104.99,108.36,-3.37
Charlotte Hornets,33,49,.402,27.0,94.2,97.3,-3.44,22.0,19.0,22.0,14.0,27.0,25.0,27.0,8.0,22.0,10.0,8.0,7.0,11.0,8.0,8.0,5.0,5.0,2.0,8.0,1.0,9.0,22.0,30.0,11.0,19.0,6.0,8.0,13.0,22.0,1.0,0.0,3.0,14.0,6.0,9.0,10.0,4.0,3.0,6.0,8.0,9.0,2.0,7.0,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79
Orlando Magic,25,57,.305,35.0,95.7,101.4,-5.87,26.0,13.0,28.0,12.0,29.0,15.0,37.0,10.0,20.0,6.0,12.0,5.0,13.0,4.0,12.0,4.0,6.0,4.0,6.0,2.0,8.0,17.0,39.0,8.0,18.0,6.0,8.0,4.0,27.0,0.0,2.0,7.0,10.0,6.0,10.0,2.0,13.0,4.0,6.0,3.0,11.0,3.0,5.0,-5.72,102.26,108.34,-6.07,-5.87,102.30,108.54,-6.23
Portland Trail Blazers,51,31,.622,—,102.8,98.6,4.41,8.0,32.0,9.0,19.0,22.0,20.0,10.0,31.0,21.0,8.0,2.0,7.0,3.0,5.0,5.0,11.0,5.0,10.0,8.0,10.0,8.0,36.0,17.0,15.0,14.0,5.0,1.0,30.0,11.0,1.0,1.0,12.0,3.0,13.0,3.0,6.0,9.0,6.0,3.0,10.0,6.0,3.0,6.0,4.23,108.81,104.30,4.50,4.41,108.72,104.03,4.69
Oklahoma City Thunder,45,37,.549,6.0,104.0,101.8,2.47,14.0,29.0,12.0,16.0,25.0,20.0,10.0,25.0,27.0,6.0,4.0,5.0,5.0,9.0,1.0,10.0,6.0,11.0,7.0,4.0,14.0,28.0,25.0,17.0,12.0,4.0,8.0,26.0,14.0,0.0,2.0,5.0,10.0,11.0,5.0,7.0,7.0,9.0,3.0,10.0,5.0,3.0,5.0,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54
Utah Jazz,38,44,.463,13.0,95.1,94.9,0.71,20.0,21.0,20.0,17.0,24.0,15.0,15.0,23.0,29.0,6.0,4.0,6.0,4.0,3.0,7.0,9.0,7.0,7.0,11.0,7.0,11.0,19.0,34.0,19.0,10.0,5.0,10.0,18.0,19.0,0.0,2.0,5.0,10.0,6.0,9.0,6.0,9.0,6.0,5.0,10.0,6.0,5.0,3.0,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79
Denver Nuggets,30,52,.366,21.0,101.5,105.0,-3.07,24.0,19.0,22.0,11.0,30.0,11.0,19.0,19.0,33.0,1.0,9.0,6.0,4.0,4.0,6.0,6.0,10.0,8.0,10.0,5.0,13.0,20.0,33.0,10.0,19.0,4.0,4.0,17.0,28.0,1.0,0.0,7.0,8.0,5.0,11.0,6.0,10.0,1.0,9.0,8.0,8.0,2.0,6.0,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07
Minnesota Timberwolves,16,66,.195,35.0,97.8,106.5,-8.00,30.0,9.0,32.0,7.0,34.0,9.0,21.0,7.0,45.0,4.0,6.0,3.0,7.0,2.0,8.0,4.0,12.0,2.0,16.0,1.0,17.0,11.0,42.0,5.0,24.0,6.0,6.0,4.0,40.0,1.0,1.0,3.0,10.0,1.0,14.0,3.0,14.0,5.0,6.0,3.0,13.0,0.0,8.0,-8.79,103.63,112.98,-9.36,-8.00,103.98,112.50,-8.52
Golden State Warriors,67,15,.817,—,110.0,99.9,10.01,1.0,39.0,2.0,28.0,13.0,25.0,5.0,42.0,10.0,9.0,1.0,7.0,3.0,9.0,1.0,15.0,3.0,13.0,3.0,14.0,4.0,42.0,9.0,25.0,6.0,5.0,3.0,45.0,9.0,1.0,0.0,13.0,2.0,11.0,3.0,12.0,3.0,8.0,3.0,16.0,2.0,6.0,2.0,10.10,112.18,101.86,10.32,10.01,111.90,101.67,10.23
Los Angeles Clippers,56,26,.683,11.0,106.7,100.1,6.80,4.0,30.0,11.0,26.0,15.0,19.0,11.0,37.0,15.0,7.0,3.0,6.0,4.0,6.0,4.0,15.0,3.0,12.0,4.0,10.0,8.0,35.0,19.0,21.0,7.0,3.0,5.0,33.0,9.0,2.0,0.0,9.0,5.0,11.0,6.0,11.0,4.0,5.0,6.0,11.0,5.0,7.0,0.0,6.59,113.21,106.22,6.98,6.80,113.35,106.14,7.21
Phoenix Suns,39,43,.476,28.0,102.4,103.3,-0.38,17.0,22.0,19.0,17.0,24.0,18.0,12.0,21.0,31.0,8.0,2.0,6.0,4.0,4.0,6.0,9.0,9.0,6.0,10.0,6.0,12.0,29.0,25.0,10.0,18.0,4.0,12.0,14.0,19.0,2.0,0.0,8.0,8.0,8.0,8.0,10.0,5.0,3.0,8.0,7.0,8.0,1.0,6.0,-0.90,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37
Sacramento Kings,29,53,.354,38.0,101.3,105.0,-3.07,25.0,18.0,23.0,11.0,30.0,11.0,19.0,18.0,34.0,4.0,6.0,4.0,6.0,3.0,7.0,8.0,10.0,7.0,9.0,3.0,15.0,18.0,34.0,11.0,19.0,6.0,4.0,12.0,28.0,1.0,1.0,8.0,7.0,4.0,11.0,4.0,10.0,3.0,7.0,6.0,11.0,3.0,6.0,-3.71,106.01,109.95,-3.94,-3.07,106.24,109.51,-3.27
Los Angeles Lakers,21,61,.256,46.0,98.5,105.3,-6.17,27.0,12.0,29.0,9.0,32.0,12.0,18.0,9.0,43.0,4.0,6.0,5.0,5.0,3.0,7.0,5.0,13.0,2.0,14.0,2.0,16.0,13.0,40.0,8.0,21.0,6.0,6.0,5.0,30.0,0.0,3.0,4.0,10.0,6.0,9.0,3.0,12.0,3.0,7.0,4.0,12.0,1.0,8.0,-6.84,104.07,111.44,-7.36,-6.17,104.26,110.90,-6.65
Houston Rockets,56,26,.683,—,103.9,100.5,3.82,3.0,30.0,11.0,26.0,15.0,23.0,7.0,33.0,19.0,9.0,1.0,8.0,2.0,6.0,4.0,15.0,3.0,10.0,8.0,8.0,8.0,36.0,17.0,20.0,9.0,8.0,4.0,31.0,14.0,2.0,0.0,11.0,4.0,9.0,5.0,11.0,6.0,7.0,3.0,10.0,6.0,6.0,2.0,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01
Memphis Grizzlies,55,27,.671,1.0,98.3,95.1,3.62,5.0,31.0,10.0,24.0,17.0,20.0,10.0,35.0,17.0,8.0,2.0,5.0,5.0,7.0,3.0,13.0,5.0,13.0,5.0,9.0,7.0,39.0,14.0,16.0,13.0,9.0,3.0,26.0,13.0,2.0,0.0,13.0,2.0,8.0,6.0,12.0,4.0,7.0,4.0,9.0,8.0,4.0,3.0,3.24,106.44,102.90,3.55,3.62,106.35,102.41,3.94
San Antonio Spurs,55,27,.671,1.0,103.2,97.0,6.34,6.0,33.0,8.0,22.0,19.0,23.0,7.0,32.0,20.0,7.0,3.0,7.0,3.0,9.0,1.0,12.0,6.0,12.0,6.0,8.0,8.0,34.0,19.0,21.0,8.0,6.0,7.0,34.0,7.0,1.0,1.0,11.0,3.0,8.0,10.0,10.0,4.0,6.0,5.0,12.0,3.0,7.0,1.0,6.20,109.25,102.61,6.64,6.34,109.09,102.30,6.79
Dallas Mavericks,50,32,.610,6.0,105.2,102.3,3.36,10.0,27.0,14.0,23.0,18.0,21.0,9.0,29.0,23.0,9.0,1.0,5.0,5.0,7.0,3.0,13.0,5.0,9.0,9.0,7.0,9.0,36.0,19.0,14.0,13.0,5.0,4.0,22.0,18.0,1.0,1.0,12.0,4.0,10.0,5.0,9.0,7.0,7.0,5.0,6.0,7.0,5.0,3.0,2.90,110.30,107.14,3.16,3.36,110.51,106.87,3.64
New Orleans Pelicans,45,37,.549,11.0,99.4,98.6,1.13,13.0,28.0,13.0,17.0,24.0,16.0,14.0,29.0,23.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,8.0,11.0,7.0,8.0,8.0,27.0,26.0,18.0,11.0,10.0,4.0,19.0,14.0,1.0,0.0,6.0,8.0,9.0,8.0,9.0,6.0,6.0,5.0,8.0,7.0,6.0,3.0,0.79,108.95,108.15,0.80,1.13,109.04,107.88,1.16
