Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Toronto Raptors,49,33,.598,—,104.0,100.9,2.45,11.0,27.0,14.0,22.0,19.0,33.0,19.0,16.0,14.0,11.0,5.0,8.0,10.0,14.0,4.0,7.0,3.0,6.0,4.0,3.0,7.0,36.0,17.0,13.0,16.0,6.0,5.0,29.0,11.0,1.0,0.0,12.0,4.0,11.0,4.0,9.0,7.0,4.0,7.0,7.0,8.0,5.0,3.0,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72
Boston Celtics,40,42,.488,9.0,101.4,101.2,-0.40,16.0,21.0,20.0,19.0,22.0,28.0,24.0,12.0,18.0,12.0,4.0,9.0,9.0,7.0,11.0,6.0,4.0,3.0,7.0,3.0,7.0,20.0,31.0,20.0,11.0,8.0,6.0,17.0,14.0,1.0,0.0,3.0,10.0,7.0,8.0,5.0,11.0,7.0,4.0,10.0,8.0,7.0,1.0,0.16,105.32,105.17,0.15,-0.40,105.14,105.58,-0.44
Brooklyn Nets,38,44,.463,11.0,98.0,100.9,-3.13,18.0,19.0,22.0,19.0,22.0,24.0,28.0,14.0,16.0,10.0,6.0,7.0,11.0,7.0,11.0,6.0,4.0,6.0,4.0,2.0,8.0,21.0,31.0,17.0,13.0,10.0,2.0,15.0,23.0,0.0,1.0,6.0,8.0,9.0,7.0,3.0,12.0,6.0,5.0,9.0,7.0,5.0,4.0,-2.88,105.15,108.19,-3.05,-3.13,105.17,108.48,-3.31
Philadelphia 76ers,18,64,.220,31.0,92.0,101.0,-9.04,28.0,12.0,29.0,6.0,35.0,12.0,40.0,6.0,24.0,2.0,14.0,5.0,13.0,5.0,13.0,4.0,6.0,1.0,9.0,1.0,9.0,12.0,41.0,6.0,23.0,3.0,7.0,5.0,41.0,0.0,2.0,0.0,14.0,4.0,10.0,6.0,12.0,3.0,7.0,5.0,12.0,0.0,7.0,-8.98,96.40,105.70,-9.31,-9.04,96.30,105.67,-9.38
New York Knicks,17,65,.207,32.0,91.9,101.2,-9.50,29.0,10.0,31.0,7.0,34.0,11.0,41.0,6.0,24.0,5.0,11.0,2.0,16.0,4.0,14.0,2.0,8.0,2.0,8.0,2.0,8.0,10.0,43.0,7.0,22.0,2.0,7.0,3.0,39.0,1.0,1.0,3.0,13.0,1.0,15.0,4.0,9.0,3.0,8.0,2.0,14.0,3.0,5.0,-9.32,100.89,111.01,-10.13,-9.49,101.06,111.36,-10.30
Cleveland Cavaliers,53,29,.646,—,103.1,98.7,4.08,7.0,31.0,10.0,22.0,19.0,35.0,17.0,18.0,12.0,12.0,6.0,11.0,5.0,12.0,6.0,6.0,4.0,7.0,3.0,5.0,5.0,33.0,22.0,20.0,7.0,6.0,4.0,30.0,14.0,1.0,1.0,7.0,6.0,10.0,7.0,11.0,6.0,8.0,3.0,11.0,4.0,5.0,2.0,4.48,111.93,107.13,4.80,4.08,111.97,107.58,4.39
Chicago Bulls,50,32,.610,3.0,100.8,97.8,2.54,9.0,27.0,14.0,23.0,18.0,33.0,19.0,17.0,13.0,16.0,2.0,8.0,8.0,9.0,9.0,6.0,4.0,5.0,5.0,6.0,4.0,34.0,20.0,16.0,12.0,7.0,2.0,20.0,16.0,1.0,1.0,10.0,5.0,11.0,4.0,8.0,9.0,7.0,3.0,8.0,7.0,5.0,3.0,3.00,108.48,105.11,3.37,2.54,108.42,105.53,2.88
Milwaukee Bucks,41,41,.500,12.0,97.8,97.4,-0.09,15.0,23.0,18.0,18.0,23.0,30.0,22.0,11.0,19.0,14.0,4.0,7.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,1.0,9.0,30.0,23.0,11.0,18.0,5.0,9.0,17.0,16.0,1.0,1.0,9.0,7.0,7.0,8.0,8.0,6.0,7.0,5.0,4.0,11.0,5.0,3.0,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16
Indiana Pacers,38,44,.463,15.0,97.3,97.0,-0.23,19.0,23.0,18.0,15.0,26.0,28.0,24.0,10.0,20.0,9.0,9.0,8.0,8.0,11.0,7.0,4.0,6.0,2.0,8.0,4.0,6.0,21.0,33.0,17.0,11.0,4.0,12.0,19.0,20.0,1.0,1.0,6.0,9.0,5.0,11.0,5.0,11.0,7.0,2.0,8.0,8.0,6.0,2.0,0.28,104.44,104.04,0.40,-0.22,104.34,104.48,-0.14
Detroit Pistons,32,50,.390,21.0,98.5,99.5,-1.39,23.0,18.0,23.0,14.0,27.0,23.0,29.0,9.0,21.0,8.0,10.0,6.0,10.0,9.0,9.0,2.0,8.0,3.0,7.0,4.0,6.0,21.0,33.0,11.0,17.0,7.0,6.0,19.0,25.0,0.0,2.0,3.0,12.0,5.0,9.0,10.0,7.0,5.0,6.0,6.0,9.0,3.0,5.0,-1.00,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54
