Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Orlando Magic,52,30,.634,—,104.5,99.0,4.79,9.0,25.0,16.0,27.0,14.0,38.0,14.0,14.0,16.0,13.0,5.0,13.0,5.0,12.0,4.0,6.0,4.0,5.0,5.0,3.0,7.0,33.0,21.0,19.0,9.0,6.0,6.0,34.0,12.0,1.0,0.0,13.0,4.0,8.0,7.0,7.0,7.0,8.0,5.0,10.0,4.0,5.0,3.0,5.46,112.12,106.26,5.86,4.79,111.89,106.75,5.14
Washington Wizards,43,39,.524,9.0,98.8,99.2,-0.61,14.0,25.0,16.0,18.0,23.0,29.0,23.0,14.0,16.0,10.0,8.0,9.0,9.0,10.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,25.0,27.0,18.0,12.0,5.0,9.0,26.0,19.0,0.0,1.0,7.0,8.0,8.0,5.0,9.0,6.0,4.0,10.0,10.0,6.0,5.0,3.0,-0.33,110.03,110.39,-0.36,-0.60,110.06,110.71,-0.65
Atlanta Hawks,37,45,.451,15.0,98.2,100.0,-2.23,19.0,25.0,16.0,12.0,29.0,24.0,28.0,13.0,17.0,9.0,9.0,6.0,12.0,9.0,7.0,5.0,5.0,5.0,5.0,3.0,7.0,22.0,28.0,15.0,17.0,6.0,5.0,11.0,24.0,0.0,,6.0,9.0,9.0,4.0,4.0,11.0,6.0,8.0,9.0,8.0,3.0,5.0,-1.82,107.60,109.52,-1.92,-2.23,107.44,109.81,-2.37
Charlotte Hornets,32,50,.390,20.0,97.1,101.4,-4.49,23.0,21.0,20.0,11.0,30.0,19.0,33.0,13.0,17.0,6.0,12.0,6.0,12.0,7.0,9.0,8.0,2.0,4.0,6.0,1.0,9.0,19.0,34.0,13.0,16.0,8.0,6.0,12.0,24.0,0.0,,6.0,8.0,5.0,10.0,7.0,10.0,1.0,11.0,9.0,7.0,4.0,4.0,-4.38,105.39,110.22,-4.83,-4.48,105.43,110.36,-4.93
Miami Heat,15,67,.183,37.0,91.4,100.0,-8.53,30.0,9.0,32.0,6.0,35.0,8.0,44.0,7.0,23.0,2.0,16.0,4.0,14.0,2.0,14.0,3.0,7.0,3.0,7.0,1.0,9.0,9.0,43.0,6.0,24.0,3.0,11.0,4.0,34.0,0.0,,4.0,11.0,4.0,12.0,1.0,13.0,2.0,10.0,2.0,15.0,2.0,6.0,-8.65,101.13,110.80,-9.68,-8.53,101.12,110.64,-9.52
Utah Jazz,54,28,.659,—,106.2,99.3,6.86,8.0,37.0,4.0,17.0,24.0,21.0,9.0,33.0,19.0,7.0,3.0,7.0,3.0,7.0,3.0,10.0,6.0,11.0,7.0,12.0,6.0,34.0,19.0,20.0,9.0,4.0,3.0,37.0,14.0,1.0,0.0,11.0,5.0,5.0,11.0,11.0,2.0,9.0,4.0,12.0,4.0,5.0,2.0,6.88,114.52,107.05,7.47,6.87,114.60,107.15,7.44
Denver Nuggets,50,32,.610,4.0,110.7,107.0,3.74,11.0,33.0,8.0,17.0,24.0,19.0,11.0,31.0,21.0,7.0,3.0,5.0,5.0,7.0,3.0,10.0,6.0,10.0,8.0,11.0,7.0,32.0,20.0,18.0,12.0,6.0,6.0,29.0,18.0,1.0,0.0,9.0,7.0,8.0,5.0,9.0,6.0,8.0,5.0,10.0,6.0,5.0,3.0,3.71,110.46,106.95,3.51,3.74,110.48,106.93,3.55
Portland Trail Blazers,41,41,.500,13.0,95.4,96.3,-0.52,16.0,28.0,13.0,13.0,28.0,15.0,15.0,26.0,26.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,5.0,8.0,10.0,7.0,11.0,28.0,24.0,13.0,17.0,10.0,2.0,15.0,22.0,0.0,1.0,5.0,10.0,13.0,2.0,8.0,6.0,5.0,9.0,7.0,8.0,3.0,5.0,-0.98,107.97,109.07,-1.10,-0.52,108.11,108.73,-0.61
Minnesota Timberwolves,22,60,.268,32.0,95.6,102.4,-6.26,28.0,15.0,26.0,7.0,34.0,8.0,22.0,14.0,38.0,3.0,7.0,3.0,7.0,2.0,8.0,3.0,13.0,8.0,10.0,3.0,15.0,10.0,41.0,12.0,19.0,4.0,8.0,8.0,35.0,0.0,,2.0,12.0,2.0,14.0,5.0,10.0,3.0,9.0,7.0,8.0,3.0,7.0,-6.78,104.42,111.96,-7.54,-6.25,104.62,111.59,-6.97
Seattle SuperSonics,20,62,.244,34.0,97.5,106.3,-8.04,29.0,13.0,28.0,7.0,34.0,8.0,22.0,12.0,40.0,3.0,7.0,3.0,7.0,2.0,8.0,6.0,10.0,3.0,15.0,3.0,15.0,13.0,38.0,7.0,24.0,5.0,7.0,5.0,37.0,0.0,1.0,3.0,13.0,6.0,8.0,2.0,13.0,4.0,8.0,2.0,14.0,3.0,5.0,-8.76,101.17,110.16,-8.99,-8.04,101.30,109.54,-8.24
Los Angeles Lakers,57,25,.695,—,108.6,101.3,7.34,3.0,30.0,11.0,27.0,14.0,20.0,10.0,37.0,15.0,7.0,3.0,6.0,4.0,7.0,3.0,15.0,3.0,12.0,4.0,10.0,8.0,35.0,17.0,22.0,8.0,5.0,8.0,37.0,9.0,0.0,1.0,9.0,6.0,10.0,4.0,9.0,5.0,13.0,2.0,9.0,6.0,7.0,1.0,7.26,113.71,106.08,7.63,7.34,113.72,105.99,7.73
Phoenix Suns,55,27,.671,2.0,110.1,105.0,5.14,7.0,30.0,11.0,25.0,16.0,24.0,6.0,31.0,21.0,8.0,2.0,8.0,2.0,8.0,2.0,12.0,6.0,10.0,6.0,9.0,9.0,37.0,16.0,18.0,11.0,3.0,5.0,31.0,9.0,0.0,,12.0,4.0,10.0,5.0,11.0,5.0,6.0,5.0,11.0,5.0,5.0,3.0,5.05,114.04,108.77,5.27,5.14,114.22,108.86,5.36
Golden State Warriors,48,34,.585,9.0,111.0,108.8,2.38,12.0,27.0,14.0,21.0,20.0,20.0,10.0,28.0,24.0,8.0,2.0,5.0,5.0,7.0,3.0,8.0,10.0,10.0,6.0,10.0,8.0,32.0,20.0,16.0,14.0,9.0,2.0,22.0,14.0,0.0,1.0,8.0,6.0,11.0,6.0,9.0,6.0,7.0,3.0,10.0,6.0,3.0,6.0,2.21,112.46,110.24,2.22,2.38,112.59,110.19,2.39
Sacramento Kings,38,44,.463,19.0,102.5,104.8,-1.86,18.0,26.0,15.0,12.0,29.0,17.0,13.0,21.0,31.0,6.0,4.0,6.0,4.0,5.0,5.0,10.0,8.0,3.0,13.0,8.0,10.0,23.0,28.0,15.0,16.0,10.0,8.0,17.0,23.0,0.0,1.0,5.0,9.0,6.0,8.0,9.0,6.0,6.0,8.0,7.0,8.0,5.0,4.0,-2.26,108.25,110.71,-2.45,-1.85,108.48,110.51,-2.03
Los Angeles Clippers,23,59,.280,34.0,93.8,101.1,-6.56,25.0,13.0,28.0,10.0,31.0,10.0,20.0,13.0,39.0,5.0,5.0,3.0,7.0,2.0,8.0,5.0,13.0,5.0,11.0,3.0,15.0,17.0,33.0,6.0,26.0,2.0,5.0,10.0,35.0,0.0,,6.0,8.0,4.0,11.0,4.0,9.0,5.0,9.0,3.0,15.0,1.0,7.0,-7.27,101.63,109.76,-8.14,-6.56,101.66,109.05,-7.38
New Orleans Pelicans,56,26,.683,—,100.9,95.6,5.46,4.0,30.0,11.0,26.0,15.0,22.0,8.0,34.0,18.0,8.0,2.0,7.0,3.0,7.0,3.0,11.0,7.0,13.0,5.0,10.0,6.0,36.0,15.0,20.0,11.0,8.0,4.0,37.0,15.0,1.0,0.0,10.0,6.0,9.0,5.0,12.0,2.0,7.0,5.0,11.0,4.0,6.0,4.0,5.28,112.21,106.44,5.77,5.46,112.30,106.34,5.96
San Antonio Spurs,56,26,.683,—,95.4,90.6,5.10,5.0,34.0,7.0,22.0,19.0,23.0,7.0,33.0,19.0,6.0,4.0,7.0,3.0,10.0,0.0,13.0,5.0,10.0,8.0,10.0,6.0,34.0,17.0,22.0,9.0,8.0,6.0,31.0,11.0,2.0,0.0,12.0,3.0,7.0,5.0,8.0,8.0,10.0,1.0,12.0,6.0,5.0,3.0,4.79,107.91,102.54,5.37,5.10,107.80,102.11,5.68
Houston Rockets,55,27,.671,1.0,96.7,92.0,4.83,6.0,31.0,10.0,24.0,17.0,22.0,8.0,33.0,19.0,5.0,5.0,9.0,1.0,8.0,2.0,14.0,4.0,11.0,7.0,8.0,8.0,32.0,20.0,23.0,7.0,9.0,3.0,31.0,11.0,1.0,0.0,8.0,8.0,6.0,8.0,10.0,4.0,13.0,0.0,11.0,4.0,6.0,3.0,4.68,107.47,102.17,5.30,4.83,107.30,101.85,5.45
Dallas Mavericks,51,31,.622,5.0,100.4,95.9,4.70,10.0,34.0,7.0,17.0,24.0,18.0,12.0,33.0,19.0,5.0,5.0,6.0,4.0,7.0,3.0,11.0,7.0,12.0,6.0,10.0,6.0,35.0,18.0,16.0,13.0,5.0,6.0,29.0,11.0,1.0,0.0,10.0,5.0,9.0,6.0,11.0,3.0,8.0,6.0,7.0,8.0,5.0,3.0,4.54,111.90,106.82,5.08,4.70,112.02,106.77,5.25
Memphis Grizzlies,22,60,.268,34.0,100.7,106.9,-5.76,27.0,14.0,27.0,8.0,33.0,11.0,19.0,11.0,41.0,4.0,6.0,2.0,8.0,5.0,5.0,5.0,13.0,4.0,14.0,2.0,14.0,14.0,38.0,8.0,22.0,2.0,11.0,10.0,37.0,0.0,1.0,5.0,9.0,3.0,12.0,5.0,11.0,1.0,11.0,5.0,11.0,3.0,5.0,-6.21,105.44,112.07,-6.62,-5.75,105.72,111.86,-6.14
