Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Boston Celtics,66,16,.805,—,100.5,90.3,9.30,1.0,35.0,6.0,31.0,10.0,41.0,11.0,25.0,5.0,14.0,2.0,15.0,3.0,12.0,6.0,8.0,2.0,8.0,2.0,9.0,1.0,41.0,9.0,25.0,7.0,7.0,6.0,45.0,3.0,0.0,,13.0,2.0,13.0,1.0,10.0,5.0,9.0,4.0,13.0,3.0,8.0,1.0,10.26,111.10,99.75,11.35,9.31,110.55,100.23,10.32
Toronto Raptors,41,41,.500,25.0,100.2,97.3,2.47,15.0,25.0,16.0,16.0,25.0,29.0,23.0,12.0,18.0,10.0,6.0,9.0,9.0,10.0,8.0,4.0,6.0,2.0,8.0,6.0,4.0,28.0,23.0,13.0,18.0,3.0,3.0,26.0,16.0,1.0,0.0,8.0,7.0,8.0,8.0,8.0,5.0,7.0,5.0,6.0,11.0,3.0,5.0,2.90,111.06,107.46,3.60,2.47,110.99,107.86,3.12
Philadelphia 76ers,40,42,.488,26.0,96.6,96.2,0.19,17.0,22.0,19.0,18.0,23.0,25.0,27.0,15.0,15.0,7.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,4.0,6.0,6.0,4.0,23.0,30.0,17.0,12.0,4.0,8.0,18.0,20.0,0.0,1.0,5.0,9.0,9.0,7.0,4.0,11.0,8.0,5.0,11.0,4.0,3.0,5.0,0.41,107.38,106.91,0.47,0.19,107.25,107.01,0.24
Brooklyn Nets,34,48,.415,32.0,95.8,100.9,-5.15,21.0,21.0,20.0,13.0,28.0,26.0,26.0,8.0,22.0,4.0,12.0,11.0,7.0,11.0,7.0,5.0,5.0,2.0,8.0,1.0,9.0,23.0,30.0,11.0,18.0,7.0,3.0,8.0,31.0,1.0,0.0,6.0,8.0,7.0,8.0,5.0,10.0,7.0,6.0,5.0,11.0,3.0,5.0,-5.06,104.61,110.25,-5.64,-5.15,104.60,110.32,-5.72
New York Knicks,23,59,.280,43.0,96.9,103.5,-6.55,26.0,15.0,26.0,8.0,33.0,20.0,32.0,3.0,27.0,5.0,11.0,7.0,11.0,8.0,10.0,3.0,7.0,0.0,10.0,0.0,10.0,15.0,37.0,8.0,22.0,4.0,5.0,6.0,33.0,0.0,,5.0,10.0,3.0,11.0,6.0,10.0,4.0,9.0,2.0,13.0,3.0,6.0,-6.61,105.34,112.45,-7.11,-6.54,105.54,112.57,-7.03
Detroit Pistons,59,23,.720,—,97.5,90.1,6.67,2.0,34.0,7.0,25.0,16.0,37.0,15.0,22.0,8.0,11.0,7.0,11.0,5.0,15.0,3.0,7.0,3.0,7.0,3.0,8.0,2.0,39.0,13.0,20.0,10.0,5.0,3.0,37.0,10.0,0.0,,9.0,5.0,15.0,2.0,9.0,6.0,9.0,3.0,10.0,5.0,7.0,2.0,7.39,112.09,103.64,8.45,6.67,111.76,104.09,7.66
Cleveland Cavaliers,45,37,.549,14.0,96.4,96.7,-0.53,13.0,27.0,14.0,18.0,23.0,28.0,24.0,17.0,13.0,10.0,8.0,7.0,9.0,11.0,7.0,6.0,4.0,7.0,3.0,4.0,6.0,29.0,23.0,16.0,14.0,10.0,8.0,10.0,17.0,0.0,1.0,9.0,7.0,5.0,9.0,11.0,3.0,8.0,6.0,8.0,7.0,4.0,4.0,-0.35,106.66,107.15,-0.49,-0.52,106.58,107.23,-0.65
Indiana Pacers,36,46,.439,23.0,104.0,105.4,-1.87,20.0,21.0,20.0,15.0,26.0,24.0,28.0,12.0,18.0,10.0,8.0,5.0,11.0,9.0,9.0,6.0,4.0,3.0,7.0,3.0,7.0,21.0,32.0,15.0,14.0,4.0,3.0,14.0,22.0,1.0,0.0,7.0,9.0,7.0,8.0,4.0,10.0,4.0,9.0,8.0,7.0,5.0,3.0,-1.40,106.69,108.20,-1.51,-1.86,106.47,108.47,-2.00
Chicago Bulls,33,49,.402,26.0,97.3,100.4,-3.19,22.0,20.0,21.0,13.0,28.0,24.0,28.0,9.0,21.0,5.0,13.0,11.0,5.0,8.0,10.0,5.0,5.0,3.0,7.0,1.0,9.0,21.0,31.0,12.0,18.0,4.0,3.0,19.0,29.0,0.0,1.0,3.0,9.0,8.0,8.0,7.0,9.0,5.0,8.0,6.0,9.0,4.0,5.0,-3.09,104.65,107.91,-3.26,-3.19,104.60,107.96,-3.36
Milwaukee Bucks,26,56,.317,33.0,97.0,103.9,-6.92,24.0,19.0,22.0,7.0,34.0,18.0,34.0,8.0,22.0,3.0,15.0,6.0,10.0,9.0,9.0,3.0,7.0,2.0,8.0,3.0,7.0,19.0,34.0,7.0,22.0,6.0,9.0,5.0,29.0,0.0,1.0,7.0,6.0,4.0,12.0,7.0,10.0,4.0,7.0,2.0,12.0,2.0,8.0,-6.89,105.74,113.43,-7.68,-6.91,105.95,113.64,-7.69
