Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Washington Wizards,49,33,.598,—,109.2,107.4,1.36,9.0,30.0,11.0,19.0,22.0,32.0,20.0,17.0,13.0,12.0,6.0,12.0,6.0,8.0,8.0,6.0,4.0,8.0,2.0,3.0,7.0,34.0,21.0,15.0,12.0,9.0,6.0,18.0,12.0,0.0,2.0,6.0,9.0,10.0,5.0,12.0,4.0,7.0,3.0,11.0,7.0,3.0,3.0,1.80,111.98,110.06,1.92,1.36,111.96,110.49,1.46
Atlanta Hawks,43,39,.524,6.0,103.2,104.0,-1.23,11.0,23.0,18.0,20.0,21.0,30.0,22.0,13.0,17.0,13.0,5.0,11.0,7.0,6.0,10.0,4.0,6.0,2.0,8.0,7.0,3.0,32.0,24.0,11.0,15.0,7.0,8.0,17.0,21.0,3.0,0.0,7.0,9.0,7.0,7.0,11.0,4.0,5.0,6.0,6.0,10.0,4.0,3.0,-0.85,105.55,106.54,-0.99,-1.23,105.32,106.69,-1.37
Miami Heat,41,41,.500,8.0,103.2,102.1,0.77,17.0,23.0,18.0,18.0,23.0,27.0,25.0,14.0,16.0,7.0,11.0,11.0,7.0,9.0,7.0,4.0,6.0,5.0,5.0,5.0,5.0,25.0,32.0,16.0,9.0,8.0,6.0,19.0,13.0,1.0,2.0,5.0,10.0,4.0,12.0,9.0,6.0,8.0,3.0,10.0,6.0,4.0,2.0,1.06,108.73,107.65,1.09,0.78,108.62,107.84,0.79
Charlotte Hornets,36,46,.439,13.0,104.9,104.7,-0.07,20.0,22.0,19.0,14.0,27.0,22.0,30.0,14.0,16.0,7.0,11.0,5.0,13.0,10.0,6.0,7.0,3.0,4.0,6.0,3.0,7.0,24.0,32.0,12.0,14.0,0.0,9.0,19.0,18.0,2.0,1.0,8.0,7.0,9.0,7.0,4.0,11.0,3.0,8.0,9.0,7.0,1.0,5.0,0.20,109.57,109.31,0.25,-0.06,109.53,109.55,-0.02
Orlando Magic,29,53,.354,20.0,101.1,107.6,-6.61,26.0,16.0,25.0,13.0,28.0,20.0,32.0,9.0,21.0,8.0,10.0,5.0,13.0,7.0,9.0,2.0,8.0,3.0,7.0,4.0,6.0,21.0,37.0,8.0,16.0,5.0,5.0,10.0,32.0,0.0,3.0,7.0,8.0,8.0,8.0,4.0,12.0,3.0,7.0,5.0,11.0,2.0,4.0,-6.57,104.23,111.11,-6.88,-6.61,104.30,111.21,-6.92
Utah Jazz,51,31,.622,—,100.7,96.8,4.00,8.0,29.0,12.0,22.0,19.0,20.0,10.0,31.0,21.0,6.0,4.0,6.0,4.0,8.0,2.0,8.0,8.0,12.0,6.0,11.0,7.0,35.0,22.0,16.0,9.0,4.0,4.0,23.0,10.0,1.0,2.0,10.0,6.0,10.0,5.0,9.0,6.0,7.0,4.0,10.0,6.0,4.0,2.0,3.94,110.46,106.19,4.27,4.00,110.31,105.98,4.33
Oklahoma City Thunder,47,35,.573,4.0,106.6,105.8,1.14,10.0,28.0,13.0,19.0,22.0,18.0,12.0,29.0,23.0,9.0,1.0,4.0,6.0,5.0,5.0,10.0,6.0,8.0,10.0,11.0,7.0,32.0,25.0,15.0,10.0,12.0,7.0,23.0,21.0,3.0,0.0,9.0,8.0,9.0,5.0,7.0,8.0,7.0,4.0,8.0,7.0,4.0,3.0,0.76,108.95,108.17,0.78,1.15,108.94,107.75,1.18
Portland Trail Blazers,41,41,.500,10.0,107.9,108.5,-0.23,16.0,25.0,16.0,16.0,25.0,13.0,17.0,28.0,24.0,5.0,5.0,3.0,7.0,5.0,5.0,11.0,5.0,9.0,9.0,8.0,10.0,23.0,33.0,18.0,8.0,7.0,11.0,18.0,16.0,2.0,1.0,8.0,9.0,4.0,11.0,8.0,7.0,2.0,7.0,13.0,3.0,4.0,3.0,-0.52,110.93,111.46,-0.53,-0.23,111.09,111.31,-0.22
Denver Nuggets,40,42,.488,11.0,111.7,111.2,0.70,18.0,22.0,19.0,18.0,23.0,16.0,14.0,24.0,28.0,6.0,4.0,7.0,3.0,3.0,7.0,6.0,10.0,12.0,6.0,6.0,12.0,25.0,31.0,15.0,11.0,5.0,10.0,24.0,19.0,1.0,2.0,6.0,9.0,7.0,8.0,7.0,7.0,6.0,7.0,8.0,7.0,5.0,2.0,0.51,113.90,113.43,0.47,0.70,114.06,113.39,0.67
Minnesota Timberwolves,31,51,.378,20.0,105.6,106.7,-0.64,24.0,20.0,21.0,11.0,30.0,13.0,17.0,18.0,34.0,3.0,7.0,4.0,6.0,6.0,4.0,5.0,11.0,9.0,9.0,4.0,14.0,22.0,35.0,9.0,16.0,7.0,10.0,18.0,19.0,0.0,2.0,5.0,11.0,6.0,9.0,8.0,7.0,5.0,7.0,6.0,8.0,1.0,7.0,-1.11,111.54,112.74,-1.20,-0.63,111.75,112.46,-0.71
Golden State Warriors,67,15,.817,—,115.9,104.3,11.35,1.0,36.0,5.0,31.0,10.0,25.0,5.0,42.0,10.0,9.0,1.0,8.0,2.0,8.0,2.0,15.0,3.0,14.0,2.0,13.0,5.0,47.0,9.0,20.0,6.0,3.0,4.0,48.0,6.0,2.0,1.0,14.0,1.0,13.0,3.0,12.0,2.0,9.0,3.0,12.0,4.0,5.0,1.0,11.63,116.26,104.57,11.69,11.35,116.02,104.61,11.41
Los Angeles Clippers,51,31,.622,16.0,108.7,104.4,4.42,6.0,29.0,12.0,22.0,19.0,20.0,10.0,31.0,21.0,6.0,4.0,5.0,5.0,9.0,1.0,10.0,8.0,10.0,6.0,11.0,7.0,35.0,21.0,16.0,10.0,3.0,6.0,33.0,14.0,3.0,0.0,11.0,5.0,8.0,9.0,8.0,4.0,6.0,5.0,10.0,8.0,5.0,0.0,4.29,113.38,108.88,4.50,4.42,113.46,108.82,4.64
Sacramento Kings,32,50,.390,35.0,102.8,106.7,-3.29,23.0,17.0,24.0,15.0,26.0,11.0,19.0,21.0,31.0,5.0,5.0,3.0,7.0,3.0,7.0,8.0,10.0,7.0,9.0,6.0,12.0,24.0,33.0,8.0,17.0,10.0,6.0,9.0,27.0,2.0,2.0,5.0,9.0,7.0,8.0,5.0,11.0,6.0,5.0,4.0,12.0,3.0,3.0,-3.88,107.98,112.18,-4.21,-3.29,108.12,111.72,-3.59
Los Angeles Lakers,26,56,.317,41.0,104.6,111.5,-6.29,28.0,17.0,24.0,9.0,32.0,10.0,20.0,16.0,36.0,3.0,7.0,3.0,7.0,4.0,6.0,4.0,14.0,6.0,10.0,6.0,12.0,19.0,39.0,7.0,17.0,2.0,4.0,14.0,31.0,1.0,2.0,9.0,8.0,2.0,14.0,5.0,10.0,2.0,8.0,2.0,12.0,5.0,2.0,-6.88,106.69,113.72,-7.02,-6.29,106.96,113.38,-6.42
Phoenix Suns,24,58,.293,43.0,107.7,113.3,-5.14,29.0,15.0,26.0,9.0,32.0,13.0,17.0,11.0,41.0,6.0,4.0,3.0,7.0,4.0,6.0,3.0,15.0,3.0,13.0,5.0,13.0,18.0,39.0,6.0,19.0,9.0,5.0,7.0,32.0,0.0,4.0,6.0,9.0,4.0,11.0,5.0,9.0,3.0,9.0,4.0,12.0,2.0,4.0,-5.63,107.32,112.79,-5.47,-5.14,107.43,112.41,-4.98
San Antonio Spurs,61,21,.744,—,105.3,98.1,7.13,2.0,31.0,10.0,30.0,11.0,25.0,5.0,36.0,16.0,9.0,1.0,8.0,2.0,8.0,2.0,13.0,5.0,12.0,6.0,11.0,5.0,43.0,13.0,18.0,8.0,8.0,5.0,30.0,8.0,4.0,0.0,11.0,4.0,12.0,2.0,10.0,5.0,8.0,2.0,13.0,4.0,3.0,4.0,7.20,111.81,104.25,7.56,7.13,111.62,104.12,7.49
Houston Rockets,55,27,.671,6.0,115.3,109.6,5.84,3.0,30.0,11.0,25.0,16.0,19.0,11.0,36.0,16.0,8.0,2.0,5.0,5.0,6.0,4.0,13.0,5.0,13.0,5.0,10.0,6.0,40.0,18.0,15.0,9.0,8.0,3.0,30.0,11.0,2.0,1.0,9.0,6.0,15.0,2.0,10.0,7.0,6.0,3.0,9.0,6.0,4.0,2.0,5.77,115.59,109.96,5.63,5.84,115.70,109.98,5.72
Memphis Grizzlies,43,39,.524,18.0,100.5,100.0,0.96,12.0,24.0,17.0,19.0,22.0,15.0,15.0,28.0,24.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,7.0,9.0,9.0,8.0,8.0,34.0,24.0,9.0,15.0,7.0,5.0,17.0,20.0,2.0,1.0,9.0,7.0,11.0,6.0,7.0,7.0,7.0,4.0,6.0,9.0,1.0,5.0,0.49,108.59,107.89,0.70,0.96,108.71,107.55,1.17
New Orleans Pelicans,34,48,.415,27.0,104.3,106.4,-1.69,21.0,21.0,20.0,13.0,28.0,14.0,16.0,20.0,32.0,5.0,5.0,4.0,6.0,5.0,5.0,7.0,11.0,7.0,11.0,6.0,10.0,23.0,34.0,11.0,14.0,7.0,6.0,17.0,22.0,0.0,3.0,7.0,9.0,7.0,9.0,5.0,9.0,4.0,7.0,10.0,6.0,1.0,5.0,-2.10,105.81,108.01,-2.20,-1.69,105.79,107.57,-1.78
Dallas Mavericks,33,49,.402,28.0,97.9,100.8,-2.53,22.0,21.0,20.0,12.0,29.0,14.0,16.0,19.0,33.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,12.0,8.0,10.0,5.0,11.0,22.0,34.0,11.0,15.0,4.0,6.0,14.0,26.0,0.0,3.0,3.0,11.0,7.0,10.0,8.0,6.0,6.0,5.0,7.0,9.0,2.0,5.0,-2.93,106.28,109.36,-3.08,-2.52,106.31,108.96,-2.65
