Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Boston Celtics,53,29,.646,—,108.0,105.4,2.25,4.0,30.0,11.0,23.0,18.0,36.0,16.0,17.0,13.0,11.0,5.0,11.0,7.0,14.0,4.0,5.0,5.0,6.0,4.0,6.0,4.0,37.0,20.0,16.0,9.0,7.0,6.0,17.0,11.0,2.0,1.0,8.0,7.0,10.0,6.0,10.0,4.0,8.0,4.0,11.0,5.0,4.0,2.0,2.63,111.88,109.16,2.72,2.25,111.81,109.49,2.33
Toronto Raptors,51,31,.622,2.0,106.9,102.6,3.65,7.0,28.0,13.0,23.0,18.0,34.0,18.0,17.0,13.0,14.0,2.0,10.0,8.0,10.0,8.0,8.0,2.0,3.0,7.0,6.0,4.0,33.0,24.0,18.0,7.0,8.0,7.0,26.0,8.0,2.0,1.0,10.0,5.0,10.0,4.0,8.0,9.0,6.0,5.0,10.0,6.0,5.0,1.0,4.21,113.20,108.68,4.51,3.65,113.07,109.14,3.93
New York Knicks,31,51,.378,22.0,104.3,108.0,-3.87,25.0,19.0,22.0,12.0,29.0,22.0,30.0,9.0,21.0,5.0,11.0,9.0,9.0,8.0,10.0,3.0,7.0,3.0,7.0,3.0,7.0,23.0,34.0,8.0,17.0,7.0,10.0,10.0,25.0,1.0,1.0,8.0,8.0,7.0,8.0,5.0,12.0,3.0,7.0,5.0,11.0,2.0,4.0,-3.67,108.57,112.35,-3.77,-3.87,108.62,112.60,-3.98
Philadelphia 76ers,28,54,.341,25.0,102.4,108.1,-5.83,27.0,17.0,24.0,11.0,30.0,19.0,33.0,9.0,21.0,7.0,9.0,5.0,13.0,7.0,11.0,3.0,7.0,4.0,6.0,2.0,8.0,21.0,35.0,7.0,19.0,9.0,8.0,7.0,29.0,0.0,2.0,4.0,12.0,4.0,10.0,10.0,5.0,4.0,8.0,6.0,11.0,0.0,6.0,-5.70,103.96,109.81,-5.85,-5.83,103.92,109.91,-5.99
Brooklyn Nets,20,62,.244,33.0,105.8,112.5,-6.74,30.0,13.0,28.0,7.0,34.0,11.0,41.0,9.0,21.0,3.0,13.0,4.0,14.0,4.0,14.0,2.0,8.0,5.0,5.0,2.0,8.0,9.0,47.0,11.0,15.0,3.0,6.0,9.0,30.0,1.0,3.0,4.0,9.0,3.0,12.0,1.0,15.0,0.0,10.0,7.0,10.0,4.0,3.0,-6.73,104.61,111.34,-6.73,-6.74,104.63,111.37,-6.74
Cleveland Cavaliers,51,31,.622,—,110.3,107.2,2.87,5.0,31.0,10.0,20.0,21.0,35.0,17.0,16.0,14.0,16.0,2.0,8.0,8.0,11.0,7.0,6.0,4.0,6.0,4.0,4.0,6.0,39.0,16.0,12.0,15.0,3.0,4.0,25.0,15.0,3.0,0.0,10.0,3.0,12.0,4.0,7.0,8.0,9.0,2.0,7.0,10.0,3.0,4.0,3.18,114.25,110.99,3.27,2.88,114.33,111.38,2.95
Milwaukee Bucks,42,40,.512,9.0,103.6,103.8,-0.45,14.0,23.0,18.0,19.0,22.0,27.0,25.0,15.0,15.0,10.0,8.0,10.0,6.0,7.0,11.0,4.0,6.0,7.0,3.0,4.0,6.0,25.0,30.0,17.0,10.0,8.0,2.0,21.0,22.0,1.0,2.0,7.0,6.0,8.0,8.0,5.0,10.0,5.0,6.0,14.0,4.0,2.0,4.0,-0.18,109.92,110.16,-0.23,-0.44,109.96,110.46,-0.50
Indiana Pacers,42,40,.512,9.0,105.1,105.3,-0.64,13.0,29.0,12.0,13.0,28.0,26.0,26.0,16.0,14.0,8.0,10.0,8.0,8.0,10.0,8.0,5.0,5.0,6.0,4.0,5.0,5.0,29.0,28.0,13.0,12.0,4.0,2.0,23.0,19.0,1.0,2.0,8.0,8.0,7.0,8.0,9.0,4.0,6.0,7.0,6.0,10.0,5.0,1.0,-0.22,109.33,109.49,-0.16,-0.64,109.21,109.81,-0.60
Chicago Bulls,41,41,.500,10.0,102.9,102.4,0.03,15.0,25.0,16.0,16.0,25.0,28.0,24.0,13.0,17.0,10.0,8.0,9.0,7.0,9.0,9.0,4.0,6.0,5.0,5.0,4.0,6.0,28.0,29.0,13.0,12.0,5.0,6.0,17.0,23.0,3.0,0.0,7.0,7.0,6.0,11.0,8.0,7.0,6.0,5.0,6.0,9.0,5.0,2.0,0.43,108.04,107.72,0.32,0.03,107.91,107.98,-0.08
Detroit Pistons,37,45,.451,14.0,101.3,102.5,-1.29,19.0,24.0,17.0,13.0,28.0,21.0,31.0,16.0,14.0,7.0,11.0,5.0,11.0,9.0,9.0,7.0,3.0,4.0,6.0,5.0,5.0,27.0,30.0,10.0,15.0,5.0,7.0,23.0,26.0,2.0,1.0,8.0,9.0,5.0,10.0,6.0,7.0,8.0,4.0,6.0,11.0,2.0,3.0,-1.12,106.53,107.90,-1.37,-1.29,106.39,107.93,-1.54
