Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Jul1,Jul2,Aug1,Aug2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Atlanta Hawks,20,47,.299,21.0,111.8,119.7,-7.71,26.0,14.0,20.0,6.0,27.0,11.0,32.0,9.0,15.0,3.0,13.0,2.0,12.0,6.0,7.0,3.0,5.0,3.0,5.0,3.0,5.0,15.0,41.0,5.0,6.0,1.0,5.0,8.0,29.0,2.0,3.0,2.0,13.0,3.0,11.0,6.0,9.0,6.0,7.0,1.0,4.0,0.0,,0.0,,-7.97,107.86,115.47,-7.61,-7.71,108.18,115.56,-7.37
Denver Nuggets,46,27,.630,—,111.3,109.2,2.35,6.0,26.0,11.0,20.0,16.0,17.0,11.0,29.0,16.0,6.0,4.0,4.0,4.0,7.0,3.0,12.0,2.0,9.0,7.0,8.0,7.0,38.0,17.0,8.0,10.0,9.0,5.0,16.0,13.0,3.0,2.0,10.0,2.0,10.0,6.0,11.0,5.0,6.0,4.0,3.0,3.0,0.0,,3.0,5.0,2.11,114.06,111.90,2.15,2.35,114.06,111.66,2.40
Oklahoma City Thunder,44,28,.611,1.5,110.4,108.4,2.33,10.0,23.0,14.0,21.0,14.0,17.0,9.0,27.0,19.0,5.0,3.0,6.0,4.0,6.0,2.0,8.0,5.0,9.0,8.0,10.0,6.0,33.0,22.0,11.0,6.0,8.0,6.0,18.0,10.0,1.0,4.0,6.0,7.0,11.0,4.0,12.0,5.0,7.0,3.0,3.0,1.0,0.0,,4.0,4.0,1.99,111.74,109.66,2.09,2.32,111.74,109.32,2.42
Utah Jazz,44,28,.611,1.5,111.3,108.8,2.52,11.0,23.0,12.0,21.0,16.0,20.0,7.0,24.0,21.0,6.0,4.0,6.0,2.0,8.0,1.0,5.0,7.0,9.0,6.0,10.0,8.0,36.0,18.0,8.0,10.0,7.0,5.0,18.0,11.0,4.0,1.0,8.0,6.0,9.0,5.0,11.0,4.0,5.0,6.0,4.0,1.0,1.0,0.0,2.0,5.0,2.47,113.14,110.48,2.66,2.52,113.09,110.38,2.71
Portland Trail Blazers,35,39,.473,11.5,115.0,116.1,-0.61,15.0,21.0,15.0,14.0,24.0,15.0,12.0,20.0,27.0,4.0,6.0,4.0,4.0,7.0,2.0,5.0,8.0,7.0,10.0,8.0,9.0,25.0,31.0,10.0,8.0,9.0,3.0,17.0,18.0,3.0,2.0,5.0,10.0,6.0,8.0,8.0,7.0,4.0,8.0,3.0,2.0,1.0,0.0,5.0,2.0,-1.15,114.26,115.41,-1.15,-0.61,114.48,115.09,-0.61
Minnesota Timberwolves,19,45,.297,22.5,113.3,117.5,-4.02,29.0,8.0,24.0,11.0,21.0,10.0,15.0,9.0,30.0,2.0,4.0,3.0,6.0,5.0,5.0,2.0,10.0,4.0,8.0,3.0,12.0,16.0,37.0,3.0,8.0,3.0,4.0,10.0,21.0,3.0,1.0,7.0,7.0,2.0,12.0,3.0,12.0,2.0,9.0,2.0,4.0,0.0,,0.0,,-4.30,108.91,113.03,-4.12,-4.02,108.90,112.73,-3.83
Los Angeles Lakers,52,19,.732,—,113.4,107.6,6.28,3.0,25.0,10.0,27.0,9.0,16.0,9.0,36.0,10.0,5.0,5.0,4.0,3.0,7.0,1.0,12.0,3.0,10.0,3.0,14.0,4.0,41.0,12.0,11.0,7.0,7.0,3.0,25.0,11.0,3.0,1.0,14.0,1.0,9.0,5.0,10.0,4.0,9.0,2.0,4.0,1.0,1.0,0.0,2.0,5.0,5.79,112.78,107.14,5.65,6.28,112.83,106.68,6.16
Los Angeles Clippers,49,23,.681,3.5,116.3,109.9,6.66,4.0,27.0,9.0,22.0,14.0,17.0,7.0,32.0,16.0,5.0,3.0,4.0,3.0,8.0,1.0,11.0,5.0,8.0,6.0,13.0,5.0,37.0,18.0,12.0,5.0,8.0,3.0,32.0,8.0,4.0,2.0,10.0,4.0,10.0,5.0,9.0,4.0,7.0,4.0,4.0,1.0,0.0,1.0,5.0,2.0,6.44,114.66,108.25,6.41,6.66,114.56,107.94,6.62
Phoenix Suns,34,39,.466,19.0,113.6,113.4,0.56,17.0,17.0,22.0,17.0,17.0,15.0,12.0,19.0,27.0,6.0,4.0,3.0,4.0,6.0,4.0,6.0,9.0,6.0,9.0,7.0,9.0,22.0,33.0,12.0,6.0,4.0,8.0,15.0,18.0,3.0,2.0,5.0,8.0,5.0,10.0,7.0,8.0,4.0,9.0,2.0,2.0,1.0,0.0,7.0,0.0,0.22,112.38,112.27,0.11,0.56,112.41,111.94,0.47
Sacramento Kings,31,41,.431,21.5,110.1,112.1,-1.59,20.0,16.0,19.0,15.0,22.0,8.0,18.0,23.0,23.0,2.0,8.0,2.0,5.0,4.0,5.0,7.0,9.0,8.0,5.0,8.0,9.0,21.0,33.0,10.0,8.0,6.0,8.0,12.0,18.0,0.0,5.0,8.0,5.0,4.0,12.0,6.0,8.0,7.0,4.0,3.0,2.0,0.0,1.0,3.0,4.0,-2.04,111.09,113.03,-1.94,-1.59,111.17,112.65,-1.48
Golden State Warriors,15,50,.231,34.0,106.3,115.0,-8.12,30.0,8.0,26.0,7.0,24.0,6.0,16.0,9.0,34.0,1.0,6.0,3.0,3.0,2.0,7.0,3.0,12.0,2.0,11.0,4.0,11.0,12.0,43.0,3.0,7.0,1.0,3.0,8.0,30.0,1.0,3.0,3.0,13.0,5.0,10.0,1.0,13.0,3.0,8.0,2.0,3.0,0.0,,0.0,,-8.71,105.93,114.66,-8.74,-8.12,105.98,114.11,-8.13
Houston Rockets,44,28,.611,—,117.8,114.8,3.13,8.0,24.0,12.0,20.0,16.0,16.0,9.0,28.0,19.0,6.0,3.0,4.0,3.0,6.0,3.0,10.0,8.0,10.0,6.0,8.0,5.0,34.0,20.0,10.0,8.0,4.0,5.0,22.0,14.0,3.0,1.0,10.0,5.0,10.0,5.0,7.0,7.0,9.0,2.0,1.0,4.0,1.0,0.0,3.0,4.0,2.96,113.71,110.82,2.89,3.13,113.68,110.59,3.08
Dallas Mavericks,43,32,.573,2.5,117.0,112.1,4.87,12.0,20.0,18.0,23.0,14.0,16.0,12.0,27.0,20.0,4.0,5.0,7.0,2.0,5.0,5.0,9.0,6.0,8.0,10.0,10.0,4.0,33.0,22.0,10.0,10.0,2.0,11.0,23.0,9.0,3.0,1.0,9.0,5.0,9.0,6.0,8.0,7.0,7.0,5.0,4.0,3.0,0.0,1.0,3.0,4.0,4.95,117.50,112.53,4.97,4.87,117.41,112.52,4.90
Memphis Grizzlies,34,39,.466,10.5,112.6,113.7,-0.91,16.0,20.0,17.0,14.0,22.0,14.0,13.0,20.0,26.0,3.0,4.0,4.0,6.0,7.0,3.0,8.0,7.0,8.0,10.0,4.0,9.0,28.0,26.0,6.0,13.0,3.0,4.0,18.0,21.0,1.0,3.0,4.0,10.0,8.0,8.0,11.0,4.0,5.0,6.0,3.0,2.0,0.0,1.0,2.0,5.0,-1.07,109.97,110.91,-0.94,-0.91,109.87,110.65,-0.78
San Antonio Spurs,32,39,.451,11.5,114.1,115.2,-0.65,19.0,19.0,15.0,13.0,24.0,12.0,16.0,20.0,23.0,5.0,5.0,2.0,6.0,5.0,5.0,6.0,9.0,7.0,8.0,7.0,6.0,23.0,31.0,9.0,8.0,10.0,7.0,10.0,12.0,3.0,1.0,4.0,12.0,7.0,5.0,7.0,8.0,4.0,7.0,2.0,3.0,1.0,0.0,4.0,3.0,-1.11,112.98,114.17,-1.20,-0.65,113.13,113.86,-0.73
New Orleans Pelicans,30,42,.417,14.0,115.8,117.1,-0.55,21.0,15.0,21.0,15.0,21.0,12.0,12.0,18.0,30.0,2.0,6.0,7.0,3.0,3.0,3.0,9.0,9.0,5.0,12.0,4.0,9.0,23.0,32.0,7.0,10.0,2.0,6.0,18.0,15.0,1.0,4.0,5.0,9.0,5.0,10.0,9.0,6.0,6.0,4.0,2.0,3.0,0.0,1.0,2.0,5.0,-1.29,111.42,112.62,-1.20,-0.55,111.73,112.18,-0.46
