Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Toronto Raptors,56,26,.683,—,102.7,98.2,4.08,4.0,32.0,9.0,24.0,17.0,39.0,13.0,17.0,13.0,14.0,2.0,11.0,7.0,14.0,4.0,5.0,5.0,5.0,5.0,7.0,3.0,35.0,17.0,21.0,9.0,6.0,6.0,28.0,10.0,2.0,0.0,9.0,7.0,9.0,6.0,12.0,2.0,7.0,4.0,11.0,5.0,6.0,2.0,4.50,111.11,106.16,4.95,4.08,111.18,106.68,4.50
Boston Celtics,48,34,.585,8.0,105.7,102.5,2.84,8.0,28.0,13.0,20.0,21.0,31.0,21.0,17.0,13.0,10.0,6.0,9.0,9.0,12.0,6.0,6.0,4.0,7.0,3.0,4.0,6.0,32.0,23.0,16.0,11.0,5.0,7.0,26.0,13.0,1.0,1.0,9.0,7.0,8.0,6.0,9.0,8.0,9.0,3.0,7.0,7.0,5.0,2.0,3.21,107.30,104.10,3.20,2.84,107.24,104.43,2.81
New York Knicks,32,50,.390,24.0,98.4,101.1,-2.74,24.0,18.0,23.0,14.0,27.0,21.0,31.0,11.0,19.0,8.0,8.0,7.0,11.0,6.0,12.0,5.0,5.0,4.0,6.0,2.0,8.0,23.0,32.0,9.0,18.0,4.0,7.0,14.0,23.0,2.0,1.0,6.0,9.0,7.0,8.0,8.0,9.0,2.0,9.0,5.0,10.0,2.0,4.0,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02
Brooklyn Nets,21,61,.256,35.0,98.6,106.0,-7.12,28.0,14.0,27.0,7.0,34.0,12.0,40.0,9.0,21.0,6.0,10.0,4.0,14.0,2.0,16.0,4.0,6.0,3.0,7.0,2.0,8.0,14.0,40.0,7.0,21.0,7.0,4.0,6.0,34.0,0.0,3.0,4.0,10.0,5.0,10.0,3.0,13.0,5.0,7.0,4.0,11.0,0.0,7.0,-7.35,103.74,111.60,-7.86,-7.11,104.06,111.66,-7.61
Philadelphia 76ers,10,72,.122,46.0,97.4,107.6,-9.92,30.0,7.0,34.0,3.0,38.0,3.0,49.0,7.0,23.0,2.0,14.0,0.0,18.0,1.0,17.0,2.0,8.0,4.0,6.0,1.0,9.0,8.0,45.0,2.0,27.0,0.0,6.0,5.0,41.0,0.0,2.0,0.0,16.0,3.0,13.0,4.0,10.0,1.0,11.0,1.0,14.0,1.0,6.0,-10.23,99.65,110.15,-10.50,-9.92,99.83,110.01,-10.18
Cleveland Cavaliers,57,25,.695,—,104.3,98.3,5.45,3.0,33.0,8.0,24.0,17.0,35.0,17.0,22.0,8.0,14.0,4.0,8.0,8.0,13.0,5.0,8.0,2.0,8.0,2.0,6.0,4.0,38.0,14.0,19.0,11.0,4.0,7.0,32.0,8.0,2.0,1.0,11.0,3.0,8.0,5.0,13.0,3.0,8.0,5.0,11.0,5.0,4.0,3.0,5.99,111.80,105.32,6.48,5.44,111.75,105.85,5.90
Indiana Pacers,45,37,.549,12.0,102.2,100.5,1.62,11.0,26.0,15.0,19.0,22.0,30.0,22.0,15.0,15.0,13.0,5.0,8.0,8.0,9.0,9.0,4.0,6.0,5.0,5.0,6.0,4.0,28.0,25.0,17.0,12.0,9.0,9.0,21.0,13.0,0.0,3.0,11.0,2.0,7.0,9.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,1.0,1.71,105.28,103.51,1.77,1.62,105.26,103.58,1.68
Detroit Pistons,44,38,.537,13.0,102.0,101.4,0.43,12.0,26.0,15.0,18.0,23.0,29.0,23.0,15.0,15.0,11.0,7.0,10.0,6.0,8.0,10.0,7.0,3.0,5.0,5.0,3.0,7.0,27.0,27.0,17.0,11.0,6.0,5.0,21.0,20.0,3.0,0.0,6.0,9.0,9.0,6.0,7.0,8.0,6.0,6.0,9.0,6.0,4.0,3.0,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.40
Chicago Bulls,42,40,.512,15.0,101.6,103.1,-1.46,16.0,26.0,15.0,16.0,25.0,25.0,27.0,17.0,13.0,12.0,6.0,10.0,6.0,3.0,15.0,5.0,5.0,6.0,4.0,6.0,4.0,27.0,25.0,15.0,15.0,10.0,4.0,14.0,19.0,2.0,1.0,8.0,4.0,8.0,7.0,8.0,8.0,4.0,8.0,8.0,9.0,4.0,3.0,-1.48,105.85,107.28,-1.43,-1.46,106.02,107.44,-1.42
Milwaukee Bucks,33,49,.402,24.0,99.0,103.2,-3.98,22.0,23.0,18.0,10.0,31.0,21.0,31.0,12.0,18.0,9.0,9.0,4.0,12.0,8.0,10.0,4.0,6.0,4.0,6.0,4.0,6.0,22.0,32.0,11.0,17.0,6.0,4.0,12.0,27.0,0.0,2.0,7.0,9.0,6.0,10.0,7.0,8.0,5.0,6.0,6.0,9.0,2.0,5.0,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37
Miami Heat,48,34,.585,—,100.0,98.4,1.50,10.0,28.0,13.0,20.0,21.0,31.0,21.0,17.0,13.0,10.0,8.0,11.0,7.0,10.0,6.0,6.0,4.0,5.0,5.0,6.0,4.0,29.0,24.0,19.0,10.0,7.0,5.0,24.0,20.0,1.0,1.0,9.0,5.0,8.0,7.0,9.0,8.0,6.0,5.0,10.0,5.0,5.0,3.0,1.65,107.01,105.34,1.67,1.50,107.08,105.56,1.52
Atlanta Hawks,48,34,.585,—,102.8,99.2,3.49,7.0,27.0,14.0,21.0,20.0,29.0,23.0,19.0,11.0,11.0,7.0,10.0,8.0,8.0,8.0,6.0,4.0,5.0,5.0,8.0,2.0,31.0,24.0,17.0,10.0,5.0,7.0,29.0,17.0,2.0,1.0,10.0,7.0,9.0,5.0,6.0,9.0,6.0,5.0,12.0,4.0,3.0,3.0,3.61,105.75,102.00,3.75,3.49,105.74,102.12,3.62
Charlotte Hornets,48,34,.585,—,103.4,100.7,2.36,9.0,30.0,11.0,18.0,23.0,33.0,19.0,15.0,15.0,13.0,5.0,12.0,6.0,8.0,8.0,4.0,6.0,5.0,5.0,6.0,4.0,27.0,26.0,21.0,8.0,6.0,5.0,25.0,17.0,0.0,2.0,10.0,5.0,7.0,7.0,6.0,11.0,7.0,3.0,13.0,3.0,5.0,3.0,2.72,107.72,105.01,2.71,2.36,107.67,105.33,2.34
Washington Wizards,41,41,.500,7.0,104.1,104.6,-0.50,18.0,22.0,19.0,19.0,22.0,30.0,22.0,11.0,19.0,9.0,9.0,11.0,7.0,10.0,6.0,2.0,8.0,4.0,6.0,5.0,5.0,23.0,28.0,18.0,13.0,7.0,6.0,22.0,22.0,2.0,1.0,4.0,7.0,8.0,8.0,7.0,8.0,8.0,6.0,7.0,9.0,5.0,2.0,-0.50,106.09,106.48,-0.39,-0.49,106.23,106.62,-0.39
