Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Orlando Magic,35,47,.427,13.0,102.1,103.7,-1.68,20.0,23.0,18.0,12.0,29.0,21.0,31.0,14.0,16.0,12.0,6.0,5.0,13.0,4.0,12.0,7.0,3.0,2.0,8.0,5.0,5.0,23.0,29.0,12.0,18.0,6.0,10.0,12.0,20.0,0.0,2.0,9.0,6.0,10.0,5.0,2.0,12.0,5.0,7.0,6.0,11.0,3.0,4.0,-1.62,105.73,107.47,-1.74,-1.68,105.89,107.70,-1.80
Oklahoma City Thunder,55,27,.671,—,110.2,102.9,7.09,5.0,32.0,9.0,23.0,18.0,18.0,12.0,37.0,15.0,6.0,4.0,4.0,6.0,8.0,2.0,13.0,3.0,12.0,6.0,12.0,6.0,40.0,14.0,15.0,13.0,8.0,6.0,33.0,5.0,2.0,0.0,9.0,7.0,12.0,3.0,13.0,3.0,6.0,5.0,11.0,5.0,2.0,4.0,7.28,113.76,106.22,7.54,7.09,113.64,106.29,7.35
Portland Trail Blazers,44,38,.537,11.0,105.1,104.3,0.98,13.0,28.0,13.0,16.0,25.0,15.0,15.0,29.0,23.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,5.0,10.0,8.0,8.0,10.0,27.0,27.0,17.0,11.0,2.0,7.0,23.0,21.0,1.0,2.0,6.0,9.0,7.0,10.0,9.0,5.0,9.0,2.0,8.0,8.0,4.0,2.0,0.83,109.55,108.67,0.88,0.98,109.48,108.45,1.03
Utah Jazz,40,42,.488,15.0,97.7,95.9,1.84,19.0,24.0,17.0,16.0,25.0,16.0,14.0,24.0,28.0,6.0,4.0,6.0,4.0,4.0,6.0,8.0,8.0,9.0,9.0,7.0,11.0,26.0,26.0,14.0,16.0,6.0,8.0,23.0,13.0,2.0,1.0,6.0,7.0,6.0,9.0,7.0,8.0,7.0,6.0,9.0,7.0,3.0,4.0,1.80,106.83,104.78,2.04,1.86,106.57,104.48,2.09
Denver Nuggets,33,49,.402,22.0,101.9,105.0,-2.81,21.0,18.0,23.0,15.0,26.0,15.0,15.0,18.0,34.0,6.0,4.0,5.0,5.0,4.0,6.0,4.0,12.0,7.0,11.0,7.0,11.0,22.0,32.0,11.0,17.0,10.0,5.0,11.0,21.0,1.0,1.0,5.0,11.0,6.0,9.0,6.0,9.0,5.0,7.0,9.0,8.0,1.0,4.0,-3.10,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94
Minnesota Timberwolves,29,53,.354,26.0,102.4,106.0,-3.38,26.0,14.0,27.0,15.0,26.0,11.0,19.0,18.0,34.0,5.0,5.0,2.0,8.0,4.0,6.0,4.0,12.0,10.0,8.0,4.0,14.0,17.0,37.0,12.0,16.0,7.0,7.0,9.0,23.0,2.0,0.0,6.0,9.0,4.0,12.0,2.0,14.0,5.0,6.0,6.0,9.0,4.0,3.0,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68
Golden State Warriors,73,9,.890,—,114.9,104.1,10.38,1.0,39.0,2.0,34.0,7.0,27.0,3.0,46.0,6.0,9.0,1.0,8.0,2.0,10.0,0.0,15.0,3.0,15.0,1.0,16.0,2.0,48.0,4.0,25.0,5.0,7.0,2.0,44.0,5.0,3.0,0.0,16.0,0.0,11.0,2.0,14.0,2.0,9.0,1.0,15.0,2.0,5.0,2.0,10.76,115.18,104.32,10.86,10.38,115.01,104.53,10.49
Los Angeles Clippers,53,29,.646,20.0,104.5,100.2,4.13,6.0,29.0,12.0,24.0,17.0,22.0,8.0,31.0,21.0,7.0,3.0,6.0,4.0,9.0,1.0,11.0,7.0,9.0,7.0,11.0,7.0,35.0,18.0,18.0,11.0,8.0,4.0,28.0,15.0,3.0,0.0,7.0,8.0,11.0,5.0,11.0,3.0,7.0,4.0,8.0,8.0,6.0,1.0,4.28,109.04,104.57,4.47,4.13,108.69,104.39,4.31
Sacramento Kings,33,49,.402,40.0,106.6,109.1,-2.32,23.0,18.0,23.0,15.0,26.0,14.0,16.0,19.0,33.0,6.0,4.0,5.0,5.0,3.0,7.0,7.0,11.0,8.0,8.0,4.0,14.0,22.0,31.0,11.0,18.0,8.0,4.0,11.0,19.0,1.0,2.0,6.0,10.0,5.0,8.0,8.0,7.0,4.0,7.0,6.0,11.0,3.0,4.0,-2.48,106.57,109.07,-2.50,-2.31,106.44,108.77,-2.33
Phoenix Suns,23,59,.280,50.0,100.9,107.5,-6.32,27.0,14.0,27.0,9.0,32.0,6.0,24.0,17.0,35.0,1.0,9.0,1.0,9.0,4.0,6.0,6.0,12.0,6.0,10.0,5.0,13.0,14.0,40.0,9.0,19.0,4.0,5.0,10.0,32.0,2.0,1.0,6.0,8.0,4.0,14.0,2.0,12.0,1.0,9.0,5.0,11.0,3.0,4.0,-6.66,102.94,109.80,-6.86,-6.32,102.95,109.45,-6.50
Los Angeles Lakers,17,65,.207,56.0,97.3,106.9,-8.92,29.0,12.0,29.0,5.0,36.0,9.0,21.0,8.0,44.0,4.0,6.0,2.0,8.0,3.0,7.0,3.0,15.0,2.0,14.0,3.0,15.0,11.0,44.0,6.0,21.0,2.0,7.0,4.0,44.0,0.0,2.0,2.0,12.0,4.0,13.0,3.0,14.0,2.0,8.0,5.0,10.0,1.0,6.0,-9.56,102.29,112.40,-10.12,-8.92,102.49,111.92,-9.43
San Antonio Spurs,67,15,.817,—,103.5,92.9,10.28,2.0,40.0,1.0,27.0,14.0,24.0,6.0,43.0,9.0,9.0,1.0,7.0,3.0,8.0,2.0,15.0,3.0,14.0,4.0,14.0,2.0,45.0,8.0,22.0,7.0,4.0,4.0,44.0,6.0,1.0,1.0,13.0,3.0,14.0,2.0,11.0,2.0,11.0,1.0,13.0,3.0,4.0,3.0,10.63,111.04,99.55,11.49,10.28,110.59,99.49,11.10
Dallas Mavericks,42,40,.512,25.0,102.3,102.6,-0.02,14.0,23.0,18.0,19.0,22.0,15.0,15.0,27.0,25.0,8.0,2.0,4.0,6.0,3.0,7.0,11.0,7.0,9.0,9.0,7.0,9.0,29.0,26.0,13.0,14.0,6.0,11.0,19.0,18.0,1.0,1.0,9.0,7.0,9.0,5.0,9.0,9.0,4.0,6.0,5.0,10.0,5.0,2.0,-0.30,107.29,107.48,-0.19,-0.02,107.24,107.13,0.11
Memphis Grizzlies,42,40,.512,25.0,99.1,101.3,-2.14,15.0,26.0,15.0,16.0,25.0,17.0,13.0,25.0,27.0,7.0,3.0,7.0,3.0,3.0,7.0,9.0,9.0,9.0,9.0,7.0,9.0,31.0,22.0,11.0,18.0,8.0,3.0,15.0,23.0,2.0,1.0,8.0,7.0,8.0,8.0,10.0,4.0,7.0,4.0,6.0,10.0,1.0,6.0,-2.24,106.36,108.69,-2.33,-2.13,106.23,108.45,-2.22
Houston Rockets,41,41,.500,26.0,106.5,106.4,0.34,17.0,23.0,18.0,18.0,23.0,13.0,17.0,28.0,24.0,6.0,4.0,3.0,7.0,4.0,6.0,9.0,9.0,11.0,7.0,8.0,8.0,27.0,28.0,14.0,13.0,5.0,8.0,14.0,18.0,0.0,2.0,7.0,9.0,9.0,7.0,9.0,7.0,4.0,6.0,8.0,8.0,4.0,2.0,0.20,109.23,109.10,0.13,0.34,109.26,108.96,0.30
New Orleans Pelicans,30,52,.366,37.0,102.7,106.5,-3.56,25.0,21.0,20.0,9.0,32.0,10.0,20.0,20.0,32.0,4.0,6.0,4.0,6.0,2.0,8.0,8.0,10.0,8.0,10.0,4.0,12.0,20.0,33.0,10.0,19.0,5.0,5.0,11.0,23.0,0.0,3.0,4.0,10.0,6.0,9.0,8.0,6.0,5.0,7.0,5.0,12.0,2.0,5.0,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63
