Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Orlando Magic,42,40,.512,—,107.3,106.6,0.28,15.0,25.0,16.0,17.0,24.0,30.0,22.0,12.0,18.0,11.0,7.0,9.0,9.0,10.0,6.0,2.0,8.0,4.0,6.0,6.0,4.0,27.0,32.0,15.0,8.0,5.0,6.0,21.0,21.0,2.0,5.0,9.0,7.0,5.0,8.0,5.0,11.0,8.0,3.0,9.0,5.0,4.0,1.0,0.71,109.46,108.82,0.65,0.28,109.26,109.05,0.21
Charlotte Hornets,39,43,.476,3.0,110.7,111.8,-1.32,17.0,25.0,16.0,14.0,27.0,29.0,23.0,10.0,20.0,8.0,10.0,11.0,7.0,10.0,6.0,2.0,8.0,3.0,7.0,5.0,5.0,27.0,30.0,12.0,13.0,6.0,10.0,21.0,20.0,4.0,4.0,7.0,7.0,7.0,7.0,6.0,8.0,4.0,7.0,7.0,8.0,4.0,2.0,-1.10,112.10,113.16,-1.06,-1.31,112.11,113.41,-1.30
Miami Heat,39,43,.476,3.0,105.7,105.9,-0.45,18.0,19.0,22.0,20.0,21.0,23.0,29.0,16.0,14.0,7.0,11.0,9.0,9.0,7.0,9.0,4.0,6.0,3.0,7.0,9.0,1.0,26.0,30.0,13.0,13.0,6.0,9.0,16.0,20.0,3.0,4.0,5.0,9.0,9.0,5.0,7.0,7.0,3.0,9.0,11.0,4.0,1.0,5.0,-0.23,108.22,108.35,-0.13,-0.45,108.03,108.39,-0.36
Washington Wizards,32,50,.390,10.0,114.0,116.9,-3.30,25.0,22.0,19.0,10.0,31.0,19.0,33.0,13.0,17.0,6.0,12.0,6.0,12.0,7.0,9.0,4.0,6.0,5.0,5.0,4.0,6.0,24.0,34.0,8.0,16.0,5.0,6.0,14.0,23.0,1.0,6.0,7.0,8.0,6.0,9.0,8.0,6.0,3.0,7.0,7.0,10.0,0.0,4.0,-2.90,111.72,114.56,-2.84,-3.30,111.72,114.97,-3.25
Atlanta Hawks,29,53,.354,13.0,113.3,119.4,-6.06,26.0,17.0,24.0,12.0,29.0,16.0,36.0,13.0,17.0,4.0,14.0,6.0,12.0,6.0,10.0,5.0,5.0,4.0,6.0,4.0,6.0,19.0,39.0,10.0,14.0,9.0,6.0,7.0,31.0,2.0,5.0,3.0,13.0,6.0,7.0,5.0,9.0,5.0,7.0,7.0,8.0,1.0,4.0,-6.02,108.71,114.41,-5.70,-6.06,108.83,114.59,-5.76
Denver Nuggets,54,28,.659,—,110.7,106.7,4.19,4.0,34.0,7.0,20.0,21.0,20.0,10.0,34.0,18.0,7.0,3.0,6.0,4.0,7.0,3.0,12.0,4.0,12.0,6.0,10.0,8.0,39.0,18.0,15.0,10.0,13.0,3.0,23.0,11.0,6.0,1.0,9.0,6.0,8.0,4.0,12.0,4.0,7.0,4.0,9.0,6.0,3.0,3.0,3.95,113.76,109.62,4.14,4.20,113.74,109.35,4.39
Portland Trail Blazers,53,29,.646,1.0,114.7,110.5,4.43,6.0,32.0,9.0,21.0,20.0,24.0,6.0,29.0,23.0,9.0,1.0,8.0,2.0,7.0,3.0,6.0,10.0,12.0,6.0,11.0,7.0,34.0,23.0,19.0,6.0,4.0,6.0,29.0,8.0,5.0,2.0,8.0,7.0,8.0,7.0,11.0,4.0,6.0,3.0,10.0,5.0,5.0,1.0,4.20,115.45,111.07,4.38,4.44,115.63,111.01,4.62
Utah Jazz,50,32,.610,4.0,111.7,106.5,5.28,8.0,29.0,12.0,21.0,20.0,20.0,10.0,30.0,22.0,6.0,4.0,7.0,3.0,7.0,3.0,8.0,8.0,12.0,6.0,10.0,8.0,32.0,25.0,18.0,7.0,0.0,7.0,34.0,12.0,4.0,3.0,7.0,9.0,7.0,7.0,11.0,4.0,6.0,3.0,11.0,4.0,4.0,2.0,5.26,111.35,106.11,5.24,5.29,111.23,105.94,5.28
Oklahoma City Thunder,49,33,.598,5.0,114.5,111.1,3.56,10.0,27.0,14.0,22.0,19.0,21.0,9.0,28.0,24.0,6.0,4.0,8.0,2.0,7.0,3.0,9.0,7.0,10.0,8.0,9.0,9.0,37.0,20.0,12.0,13.0,6.0,7.0,23.0,12.0,2.0,4.0,12.0,3.0,9.0,6.0,9.0,5.0,6.0,5.0,6.0,10.0,5.0,0.0,3.40,110.85,107.53,3.31,3.56,110.71,107.22,3.49
Minnesota Timberwolves,36,46,.439,18.0,112.5,114.0,-1.02,21.0,25.0,16.0,11.0,30.0,14.0,16.0,22.0,30.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,11.0,9.0,9.0,8.0,10.0,27.0,30.0,9.0,16.0,8.0,5.0,19.0,22.0,4.0,4.0,7.0,7.0,6.0,9.0,8.0,6.0,4.0,7.0,5.0,9.0,2.0,4.0,-1.50,112.04,113.54,-1.51,-1.02,112.31,113.32,-1.01
Golden State Warriors,57,25,.695,—,117.7,111.2,6.42,3.0,30.0,11.0,27.0,14.0,22.0,8.0,35.0,17.0,6.0,4.0,8.0,2.0,8.0,2.0,12.0,6.0,13.0,3.0,10.0,8.0,41.0,16.0,16.0,9.0,7.0,7.0,34.0,10.0,8.0,1.0,7.0,7.0,10.0,5.0,11.0,2.0,7.0,4.0,9.0,5.0,5.0,1.0,6.46,116.63,110.24,6.39,6.42,116.60,110.24,6.37
Los Angeles Clippers,48,34,.585,9.0,115.1,114.3,1.09,12.0,26.0,15.0,22.0,19.0,20.0,10.0,28.0,24.0,6.0,4.0,7.0,3.0,7.0,3.0,7.0,11.0,11.0,5.0,10.0,8.0,32.0,27.0,16.0,7.0,6.0,2.0,23.0,18.0,4.0,3.0,11.0,3.0,6.0,9.0,7.0,9.0,6.0,5.0,13.0,2.0,1.0,3.0,0.85,113.14,112.33,0.81,1.09,113.29,112.22,1.06
Sacramento Kings,39,43,.476,18.0,114.2,115.3,-0.81,19.0,24.0,17.0,15.0,26.0,18.0,12.0,21.0,31.0,3.0,7.0,7.0,3.0,8.0,2.0,7.0,11.0,4.0,12.0,10.0,8.0,30.0,27.0,9.0,16.0,6.0,7.0,16.0,18.0,5.0,3.0,5.0,8.0,9.0,6.0,7.0,8.0,5.0,5.0,7.0,9.0,1.0,4.0,-1.12,111.17,112.19,-1.02,-0.81,111.29,112.00,-0.71
Los Angeles Lakers,37,45,.451,20.0,111.8,113.5,-1.33,20.0,22.0,19.0,15.0,26.0,12.0,18.0,25.0,27.0,1.0,9.0,5.0,5.0,6.0,4.0,7.0,11.0,9.0,7.0,9.0,9.0,28.0,29.0,9.0,16.0,5.0,4.0,16.0,25.0,3.0,5.0,10.0,4.0,8.0,7.0,6.0,9.0,3.0,6.0,5.0,11.0,2.0,3.0,-1.72,108.52,110.18,-1.66,-1.32,108.46,109.71,-1.26
Phoenix Suns,19,63,.232,38.0,107.5,116.8,-8.61,29.0,12.0,29.0,7.0,34.0,8.0,22.0,11.0,41.0,3.0,7.0,3.0,7.0,2.0,8.0,2.0,16.0,3.0,13.0,6.0,12.0,11.0,48.0,8.0,15.0,5.0,5.0,5.0,40.0,1.0,6.0,3.0,12.0,5.0,11.0,2.0,13.0,1.0,8.0,5.0,10.0,2.0,3.0,-9.34,106.29,115.55,-9.26,-8.61,106.59,115.11,-8.52
Houston Rockets,53,29,.646,—,113.9,109.1,4.96,5.0,31.0,10.0,22.0,19.0,21.0,9.0,32.0,20.0,8.0,2.0,6.0,4.0,7.0,3.0,8.0,10.0,14.0,4.0,10.0,6.0,33.0,24.0,20.0,5.0,5.0,7.0,29.0,12.0,1.0,5.0,9.0,6.0,11.0,4.0,8.0,6.0,8.0,4.0,12.0,3.0,4.0,1.0,4.77,116.25,111.43,4.82,4.97,116.45,111.43,5.03
San Antonio Spurs,48,34,.585,5.0,111.7,110.0,1.80,13.0,32.0,9.0,16.0,25.0,18.0,12.0,30.0,22.0,6.0,4.0,7.0,3.0,5.0,5.0,10.0,8.0,10.0,8.0,10.0,6.0,33.0,26.0,15.0,8.0,7.0,4.0,25.0,16.0,5.0,2.0,5.0,10.0,11.0,5.0,10.0,5.0,3.0,7.0,10.0,4.0,4.0,1.0,1.68,113.30,111.55,1.75,1.81,113.30,111.42,1.88
Memphis Grizzlies,33,49,.402,20.0,103.5,106.1,-2.08,23.0,21.0,20.0,12.0,29.0,9.0,21.0,24.0,28.0,3.0,7.0,3.0,7.0,3.0,7.0,9.0,9.0,7.0,11.0,8.0,8.0,23.0,36.0,10.0,13.0,6.0,9.0,14.0,19.0,4.0,2.0,9.0,6.0,5.0,10.0,2.0,14.0,4.0,7.0,7.0,7.0,2.0,3.0,-2.60,106.96,109.66,-2.70,-2.08,106.93,109.09,-2.17
New Orleans Pelicans,33,49,.402,20.0,115.4,116.8,-1.10,24.0,19.0,22.0,14.0,27.0,10.0,20.0,23.0,29.0,3.0,7.0,5.0,5.0,2.0,8.0,7.0,11.0,8.0,10.0,8.0,8.0,26.0,33.0,7.0,16.0,4.0,6.0,15.0,20.0,4.0,3.0,7.0,9.0,6.0,9.0,6.0,8.0,4.0,7.0,5.0,10.0,1.0,3.0,-1.33,111.85,113.10,-1.25,-1.10,111.98,112.98,-1.01
Dallas Mavericks,33,49,.402,20.0,108.9,110.1,-0.87,22.0,24.0,17.0,9.0,32.0,15.0,15.0,18.0,34.0,4.0,6.0,6.0,4.0,5.0,5.0,8.0,10.0,6.0,12.0,4.0,12.0,26.0,31.0,7.0,18.0,7.0,7.0,12.0,22.0,2.0,6.0,8.0,4.0,7.0,9.0,6.0,9.0,4.0,6.0,3.0,12.0,3.0,3.0,-1.28,110.19,111.41,-1.22,-0.86,110.29,111.08,-0.79
