Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Oct1,Oct2,Nov1,Nov2,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Toronto Raptors,58,24,.707,—,114.4,108.4,5.49,2.0,32.0,9.0,26.0,15.0,36.0,16.0,22.0,8.0,12.0,4.0,10.0,8.0,14.0,4.0,6.0,4.0,10.0,0.0,6.0,4.0,43.0,16.0,15.0,8.0,11.0,7.0,33.0,9.0,7.0,1.0,12.0,3.0,8.0,7.0,10.0,5.0,8.0,1.0,9.0,6.0,4.0,1.0,6.09,113.99,108.00,5.99,5.49,113.78,108.40,5.38
Philadelphia 76ers,51,31,.622,7.0,115.2,112.5,2.25,7.0,31.0,10.0,20.0,21.0,31.0,21.0,20.0,10.0,8.0,8.0,12.0,6.0,11.0,7.0,6.0,4.0,8.0,2.0,6.0,4.0,37.0,21.0,14.0,10.0,10.0,8.0,22.0,16.0,4.0,4.0,12.0,4.0,7.0,6.0,11.0,4.0,6.0,4.0,9.0,5.0,2.0,4.0,2.70,113.21,110.58,2.64,2.26,113.16,110.97,2.19
Boston Celtics,49,33,.598,9.0,112.4,108.0,3.90,9.0,28.0,13.0,21.0,20.0,35.0,17.0,14.0,16.0,10.0,6.0,13.0,5.0,12.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,37.0,21.0,12.0,12.0,5.0,6.0,24.0,12.0,5.0,2.0,7.0,8.0,9.0,5.0,11.0,4.0,5.0,6.0,8.0,7.0,4.0,1.0,4.44,112.78,108.35,4.43,3.90,112.57,108.69,3.88
Brooklyn Nets,42,40,.512,16.0,112.2,112.3,-0.40,14.0,23.0,18.0,19.0,22.0,29.0,23.0,13.0,17.0,8.0,8.0,10.0,8.0,11.0,7.0,2.0,8.0,6.0,4.0,5.0,5.0,30.0,29.0,12.0,11.0,12.0,8.0,16.0,22.0,3.0,5.0,5.0,10.0,9.0,6.0,11.0,4.0,4.0,6.0,7.0,7.0,3.0,2.0,-0.07,110.30,110.36,-0.06,-0.40,110.15,110.56,-0.41
New York Knicks,17,65,.207,41.0,104.6,113.8,-8.93,30.0,9.0,32.0,8.0,33.0,11.0,41.0,6.0,24.0,2.0,14.0,3.0,15.0,6.0,12.0,0.0,10.0,2.0,8.0,4.0,6.0,11.0,47.0,6.0,18.0,4.0,7.0,6.0,41.0,2.0,6.0,5.0,10.0,2.0,12.0,1.0,12.0,3.0,9.0,1.0,13.0,3.0,3.0,-9.21,105.13,114.39,-9.26,-8.92,105.31,114.30,-8.98
Milwaukee Bucks,60,22,.732,—,118.1,109.3,8.04,1.0,33.0,8.0,27.0,14.0,40.0,12.0,20.0,10.0,13.0,5.0,14.0,2.0,13.0,5.0,6.0,4.0,6.0,4.0,8.0,2.0,43.0,14.0,17.0,8.0,5.0,6.0,45.0,5.0,7.0,0.0,8.0,6.0,10.0,4.0,12.0,3.0,10.0,1.0,10.0,6.0,3.0,2.0,8.87,114.23,105.76,8.47,8.05,113.89,106.23,7.66
Indiana Pacers,48,34,.585,12.0,108.0,104.7,2.76,11.0,29.0,12.0,19.0,22.0,33.0,19.0,15.0,15.0,9.0,9.0,11.0,5.0,13.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,38.0,20.0,10.0,14.0,6.0,6.0,23.0,16.0,5.0,3.0,8.0,6.0,12.0,3.0,7.0,7.0,9.0,3.0,4.0,10.0,3.0,2.0,3.33,110.62,107.23,3.39,2.76,110.31,107.50,2.80
Detroit Pistons,41,41,.500,19.0,107.0,107.3,-0.56,16.0,26.0,15.0,15.0,26.0,27.0,25.0,14.0,16.0,10.0,8.0,8.0,8.0,9.0,9.0,4.0,6.0,5.0,5.0,5.0,5.0,26.0,30.0,15.0,11.0,6.0,9.0,16.0,21.0,4.0,3.0,8.0,4.0,4.0,11.0,6.0,10.0,7.0,3.0,10.0,6.0,2.0,4.0,-0.24,109.93,110.13,-0.20,-0.55,109.86,110.38,-0.53
Chicago Bulls,22,60,.268,38.0,104.9,113.4,-8.32,27.0,9.0,32.0,13.0,28.0,16.0,36.0,6.0,24.0,4.0,14.0,3.0,13.0,9.0,9.0,1.0,9.0,2.0,8.0,3.0,7.0,14.0,44.0,8.0,16.0,8.0,8.0,9.0,31.0,2.0,6.0,3.0,12.0,5.0,9.0,2.0,13.0,5.0,5.0,4.0,11.0,1.0,4.0,-8.41,105.45,113.94,-8.49,-8.32,105.49,113.90,-8.41
Cleveland Cavaliers,19,63,.232,41.0,104.5,114.1,-9.39,28.0,13.0,28.0,6.0,35.0,15.0,37.0,4.0,26.0,6.0,12.0,4.0,12.0,5.0,13.0,0.0,10.0,2.0,8.0,2.0,8.0,12.0,46.0,7.0,17.0,5.0,4.0,6.0,43.0,1.0,6.0,3.0,11.0,4.0,12.0,3.0,12.0,4.0,6.0,4.0,11.0,0.0,5.0,-9.61,108.50,118.54,-10.04,-9.39,108.83,118.64,-9.82
