Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,Home1,Home2,Road1,Road2,E1,E2,W1,W2,A1,A2,C1,C2,SE1,SE2,NW1,NW2,P1,P2,SW1,SW2,Pre1,Pre2,Post1,Post2,≤31,≤32,≥101,≥102,Dec1,Dec2,Jan1,Jan2,Feb1,Feb2,Mar1,Mar2,Apr1,Apr2,May1,May2,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,51,21,.708,—,115.3,109.5,5.67,2.0,27.0,9.0,24.0,12.0,21.0,9.0,30.0,12.0,7.0,3.0,8.0,2.0,6.0,4.0,11.0,4.0,7.0,5.0,12.0,3.0,24.0,11.0,27.0,10.0,9.0,3.0,23.0,8.0,4.0,1.0,6.0,7.0,12.0,3.0,11.0,3.0,12.0,4.0,6.0,3.0,5.82,118.01,112.14,5.87,5.67,117.96,112.22,5.74
Los Angeles Clippers,47,25,.653,4.0,114.0,107.8,6.02,6.0,26.0,10.0,21.0,15.0,20.0,10.0,27.0,15.0,4.0,6.0,9.0,1.0,7.0,3.0,10.0,5.0,9.0,3.0,8.0,7.0,24.0,14.0,23.0,11.0,3.0,4.0,31.0,7.0,4.0,1.0,12.0,4.0,8.0,7.0,8.0,5.0,11.0,4.0,4.0,4.0,6.18,118.39,112.13,6.26,6.02,118.34,112.23,6.11
Los Angeles Lakers,42,30,.583,9.0,109.5,106.8,2.77,9.0,21.0,15.0,21.0,15.0,17.0,13.0,25.0,17.0,4.0,6.0,8.0,2.0,5.0,5.0,10.0,5.0,4.0,8.0,11.0,4.0,24.0,13.0,18.0,17.0,7.0,5.0,22.0,13.0,3.0,2.0,12.0,4.0,9.0,5.0,6.0,7.0,6.0,9.0,6.0,3.0,2.79,110.52,107.84,2.68,2.76,110.28,107.60,2.67
Golden State Warriors,39,33,.542,12.0,113.7,112.7,1.10,14.0,25.0,11.0,14.0,22.0,14.0,16.0,25.0,17.0,3.0,7.0,8.0,2.0,3.0,7.0,10.0,5.0,5.0,7.0,10.0,5.0,19.0,18.0,20.0,15.0,6.0,4.0,25.0,18.0,2.0,2.0,9.0,7.0,8.0,7.0,4.0,8.0,8.0,8.0,8.0,1.0,1.06,111.74,110.65,1.09,1.10,111.61,110.47,1.14
Sacramento Kings,31,41,.431,20.0,113.7,117.4,-3.45,23.0,16.0,20.0,15.0,21.0,13.0,17.0,18.0,24.0,4.0,6.0,6.0,4.0,3.0,7.0,7.0,8.0,5.0,7.0,6.0,9.0,14.0,22.0,17.0,19.0,10.0,5.0,12.0,22.0,3.0,2.0,5.0,9.0,5.0,10.0,9.0,5.0,4.0,11.0,5.0,4.0,-3.68,114.40,118.00,-3.60,-3.45,114.59,117.94,-3.36
Dallas Mavericks,42,30,.583,—,112.4,110.2,2.26,8.0,21.0,15.0,21.0,15.0,21.0,9.0,21.0,21.0,6.0,4.0,6.0,4.0,9.0,1.0,8.0,7.0,6.0,9.0,7.0,5.0,18.0,16.0,24.0,14.0,5.0,4.0,26.0,17.0,1.0,3.0,7.0,9.0,8.0,4.0,9.0,5.0,10.0,6.0,7.0,3.0,2.26,116.16,113.79,2.37,2.26,116.18,113.80,2.38
Memphis Grizzlies,38,34,.528,4.0,113.3,112.3,1.07,15.0,18.0,18.0,20.0,16.0,19.0,11.0,19.0,23.0,6.0,4.0,5.0,5.0,8.0,2.0,7.0,8.0,6.0,9.0,6.0,6.0,16.0,16.0,22.0,18.0,3.0,7.0,23.0,21.0,1.0,3.0,7.0,3.0,7.0,9.0,7.0,8.0,10.0,7.0,6.0,4.0,1.03,112.77,111.77,1.00,1.07,112.69,111.63,1.06
San Antonio Spurs,33,39,.458,9.0,111.1,112.8,-1.58,20.0,14.0,22.0,19.0,17.0,16.0,14.0,17.0,25.0,3.0,7.0,7.0,3.0,6.0,4.0,5.0,10.0,6.0,9.0,6.0,6.0,18.0,14.0,15.0,25.0,7.0,8.0,18.0,20.0,2.0,2.0,9.0,7.0,6.0,3.0,7.0,9.0,7.0,10.0,2.0,8.0,-1.74,111.61,113.35,-1.74,-1.58,111.59,113.17,-1.57
New Orleans Pelicans,31,41,.431,11.0,114.6,114.9,-0.20,22.0,18.0,18.0,13.0,23.0,13.0,17.0,18.0,24.0,5.0,5.0,5.0,5.0,3.0,7.0,5.0,10.0,7.0,8.0,6.0,6.0,15.0,21.0,16.0,20.0,3.0,10.0,13.0,21.0,3.0,2.0,4.0,9.0,7.0,8.0,7.0,6.0,7.0,10.0,3.0,6.0,-0.29,114.47,114.78,-0.32,-0.20,114.52,114.73,-0.21
Houston Rockets,17,55,.236,25.0,108.8,116.7,-7.50,30.0,9.0,27.0,8.0,28.0,6.0,24.0,11.0,31.0,1.0,9.0,2.0,8.0,3.0,7.0,3.0,12.0,3.0,12.0,5.0,7.0,11.0,23.0,6.0,32.0,3.0,4.0,8.0,37.0,1.0,2.0,8.0,7.0,2.0,12.0,2.0,13.0,3.0,13.0,1.0,8.0,-7.90,107.85,115.69,-7.84,-7.50,107.93,115.35,-7.42
